week,away,home,season,spread_open,total_open,spread_close,total_close,spread_movement,total_movement,away_score,home_score,travel_distance,travel_long,travel_medium,divisional,away_ol_continuity,home_ol_continuity,away_ol_penalty,home_ol_penalty,actual_margin,actual_total,spread_clv,total_clv
1,MIN,CHI,2025,1.5,43.5,1.5,43.5,0.0,0.0,27,24,355.3550376532776,0,0,1,5,5,0.0,0.0,3,51,1.5,7.5
2,LAC,LV,2025,3.0,46.5,3.5,46.5,0.5,0.0,20,9,226.76308864781396,0,0,1,5,5,0.0,0.0,11,29,7.5,-17.5
2,TB,HOU,2025,-2.5,42.5,-2.5,42.5,0.0,0.0,20,19,789.7597447327563,0,0,0,5,5,0.0,0.0,1,39,3.5,-3.5
3,DET,BAL,2025,-4.5,53.5,-4.5,53.5,0.0,0.0,38,30,396.8193063385419,0,0,0,5,5,0.0,0.0,8,68,12.5,14.5
4,CIN,DEN,2025,-7.5,44.5,-7.5,44.5,0.0,0.0,3,28,1093.0070244895312,0,1,0,5,5,0.0,0.0,-25,31,-17.5,-13.5
4,NYJ,MIA,2025,-2.5,45.5,-3.0,44.5,-0.5,-1.0,21,27,1085.5371153751632,0,1,1,5,5,0.0,0.0,-6,48,-3.0,3.5
5,KC,JAX,2025,3.5,46.5,3.5,45.5,0.0,-1.0,28,31,944.9822137958663,0,0,0,5,5,0.0,0.0,-3,59,-6.5,13.5
6,BUF,ATL,2025,4.5,49.5,4.5,49.5,0.0,0.0,14,24,693.0609614290819,0,0,0,5,5,0.0,0.0,-10,38,-14.5,-11.5
6,CHI,WAS,2025,-4.5,49.5,-5.5,49.5,-1.0,0.0,25,24,601.0979106990069,0,0,0,5,5,0.0,0.0,1,49,6.5,-0.5
7,HOU,SEA,2025,-3.0,41.5,-3.0,41.5,0.0,0.0,19,27,1891.2589016200532,0,1,0,5,5,0.0,0.0,-8,46,-5.0,4.5
7,TB,DET,2025,-5.5,52.5,-6.0,53.5,-0.5,1.0,9,24,992.9911314218434,0,0,0,5,5,0.0,0.0,-15,33,-9.0,-20.5
