week,away,home,season,spread_open,total_open,spread_close,total_close,spread_movement,total_movement,divisional,travel_distance,travel_long,travel_medium,away_ol_continuity,home_ol_continuity,away_ol_penalty,home_ol_penalty
1,ATL,MIN,2025,-4.5,45.5,-4.5,45.5,0.0,0.0,0,0,0,0,5,5,0,0
1,BUF,NYJ,2025,8.5,44.5,6.5,45.5,-2.0,1.0,0,0,0,0,5,5,0,0
1,CAR,ARI,2025,-4.5,46.5,-6.5,44.5,-2.0,-2.0,0,0,0,0,5,5,0,0
1,CHI,DET,2025,-4.5,48.5,-5.5,47.5,-1.0,-1.0,0,0,0,0,5,5,0,0
1,CLE,BAL,2025,-12.5,44.5,-11.5,44.5,1.0,0.0,0,0,0,0,5,5,0,0
1,DEN,IND,2025,3.5,44.5,2.5,42.5,-1.0,-2.0,0,0,0,0,5,5,0,0
1,JAX,CIN,2025,-5.5,49.5,-3.5,50.5,2.0,1.0,0,0,0,0,5,5,0,0
1,LA,TEN,2025,5.5,45.5,6.0,41.5,0.5,-4.0,0,0,0,0,5,5,0,0
1,LAC,LV,2025,3.0,44.5,3.5,46.5,0.5,2.0,0,0,0,0,5,5,0,0
1,MIN,CHI,2025,1.5,43.5,1.5,43.5,0.0,0.0,0,0,0,0,5,5,0,0
1,NE,MIA,2025,-2.5,45.5,-1.5,44.5,1.0,-1.0,0,0,0,0,5,5,0,0
1,NYG,DAL,2025,-3.0,44.5,-6.0,44.5,-3.0,0.0,0,0,0,0,5,5,0,0
1,PHI,KC,2025,-1.5,45.5,-1.5,46.5,0.0,1.0,0,0,0,0,5,5,0,0
1,SEA,PIT,2025,-2.5,41.5,-2.5,40.5,0.0,-1.0,0,0,0,0,5,5,0,0
1,SF,NO,2025,7.0,44.5,6.5,43.5,-0.5,-1.0,0,0,0,0,5,5,0,0
1,TB,HOU,2025,-1.5,46.5,-3.0,42.5,-1.5,-4.0,0,0,0,0,5,5,0,0
1,WAS,GB,2025,-3.0,48.5,-3.5,48.5,-0.5,0.0,0,0,0,0,5,5,0,0
2,ARI,SF,2025,-1.5,42.5,-1.5,43.5,0.0,1.0,0,0,0,0,5,5,0,0
2,ATL,CAR,2025,2.5,44.5,3.5,43.5,1.0,-1.0,0,0,0,0,5,5,0,0
2,CIN,MIN,2025,-1.5,46.5,-4.5,42.5,-3.0,-4.0,0,0,0,0,5,5,0,0
2,DAL,CHI,2025,-2.5,46.5,-1.5,49.5,1.0,3.0,0,0,0,0,5,5,0,0
2,DEN,LAC,2025,-1.5,43.5,-2.5,45.5,-1.0,2.0,0,0,0,0,5,5,0,0
2,DET,BAL,2025,-6.0,51.5,-6.0,51.5,0.0,0.0,0,0,0,0,5,5,0,0
2,GB,CLE,2025,7.5,43.5,9.5,42.5,2.0,-1.0,0,0,0,0,5,5,0,0
2,HOU,JAX,2025,1.5,43.5,-1.5,43.5,-3.0,0.0,0,0,0,0,5,5,0,0
2,IND,TEN,2025,1.5,43.5,3.0,43.5,1.5,0.0,0,0,0,0,5,5,0,0
2,KC,NYG,2025,6.0,42.5,5.5,44.5,-0.5,2.0,0,0,0,0,5,5,0,0
2,LA,PHI,2025,-4.5,45.5,-3.5,45.5,1.0,0.0,0,0,0,0,5,5,0,0
2,LAC,LV,2025,3.0,46.5,3.5,46.5,0.5,0.0,0,0,0,0,5,5,0,0
2,LV,WAS,2025,-6.5,47.5,-6.0,47.5,0.5,0.0,0,0,0,0,5,5,0,0
2,MIA,BUF,2025,-10.0,48.5,-12.5,49.5,-2.5,1.0,0,0,0,0,5,5,0,0
