away,home,pred_score,actual_score,winner_correct,spread_error,total_error,model_spread,actual_margin,model_total,actual_total,spread_bet_correct,week
DAL,PHI,34.3-29.5,20-24,False,8.695785218702941,19.811778924051843,-4.695785218702941,4,63.81177892405184,44,True,1
KC,LAC,38.1-33.2,21-27,False,11.101286626418435,23.310042225100403,-5.1012866264184344,6,71.3100422251004,48,False,1
TB,ATL,28.5-21.8,23-20,True,3.842318653919976,7.365863989621786,-6.842318653919976,-3,50.365863989621786,43,False,1
CIN,CLE,29.1-17.7,17-16,True,10.467774222111329,13.83729504634546,-11.467774222111329,-1,46.83729504634546,33,False,1
LV,NE,15.2-33.5,20-13,False,25.12956786954398,15.6916836442237,18.12956786954398,-7,48.6916836442237,33,True,1
ARI,NO,26.4-17.8,20-13,True,1.688300440944312,11.09872496413292,-8.688300440944312,-7,44.09872496413292,33,False,1
PIT,NYJ,27.9-21.1,34-32,True,4.735021144793426,17.039962045248068,-6.735021144793426,-2,48.96003795475193,66,True,1
NYG,WAS,24.3-27.2,6-21,True,12.14664256565366,24.576806850791563,2.8533574343463384,15,51.57680685079156,27,False,1
CAR,JAX,24.3-24.4,10-26,True,15.809042425182502,12.787770629036167,0.1909575748174978,16,48.78777062903617,36,True,1
TEN,DEN,14.8-35.4,12-20,True,12.451095468820316,18.315868138998496,20.451095468820316,8,50.315868138998496,32,True,1
SF,SEA,23.4-33.7,17-13,False,14.257700906133282,26.93351077450125,10.257700906133282,-4,56.93351077450125,30,True,1
DET,GB,36.1-31.4,13-27,False,18.810687492195687,27.49829023429685,-4.8106874921956875,14,67.49829023429685,40,False,1
HOU,LA,31.7-37.2,9-14,True,0.4817132970463547,45.95218930461222,5.481713297046355,5,68.95218930461222,23,False,1
BAL,BUF,17.1-28.6,40-41,True,10.484597024357756,35.39130159491178,11.484597024357756,1,45.60869840508822,81,True,1
MIN,CHI,19.9-21.4,27-24,False,4.6635703926209695,9.832977971796405,1.6635703926209695,-3,41.1670220282036,51,False,1
WAS,GB,30.5-31.4,18-27,True,8.151289593890992,16.967169272925602,0.8487104061090084,9,61.9671692729256,45,False,2
JAX,CIN,23.1-35.5,27-31,True,8.341653566907253,0.6907594816575511,12.341653566907253,4,58.69075948165755,58,True,2
NYG,DAL,28.6-41.7,37-40,True,10.065903272065103,6.849478101105376,13.065903272065103,3,70.15052189889462,77,True,2
