game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score,away_score,home_score,margin,total,spread_close,spread_open,total_close,total_open
2024_01_BAL_KC,2024,1,BAL,KC,-5.551115123125783e-17,-2.775557561562892e-17,1,1,-2.775557561562892e-17,0,0,0,0,0,0,0,0,-0.6475601116331906,20,27,-7,47,,-1.5,,48.5
2024_01_GB_PHI,2024,1,GB,PHI,-5.551115123125783e-17,0.0,1,1,-5.551115123125783e-17,0,0,0,0,0,1,0,0,-1.307547877511689,29,34,-5,63,,,,
2024_01_PIT_ATL,2024,1,PIT,ATL,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,18,10,8,28,,,,
2024_01_ARI_BUF,2024,1,ARI,BUF,-8.326672684688674e-17,0.0,1,1,-8.326672684688674e-17,0,0,0,0,0,0,0,0,-1.9675356433901885,28,34,-6,62,,,,
2024_01_TEN_CHI,2024,1,TEN,CHI,0.0,-2.775557561562892e-17,1,1,2.775557561562892e-17,0,0,0,0,0,0,0,0,0.6724154201238071,17,24,-7,41,,,,
2024_01_NE_CIN,2024,1,NE,CIN,-5.551115123125783e-17,-5.551115123125783e-17,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,16,10,6,26,,-4.5,,47.5
2024_01_HOU_IND,2024,1,HOU,IND,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,29,27,2,56,,1.5,,44.5
2024_01_JAX_MIA,2024,1,JAX,MIA,-5.551115123125783e-17,-5.551115123125783e-17,1,1,0.0,0,0,0,0,0,1,0,0,0.0124276542453082,17,20,-3,37,,,,
2024_01_CAR_NO,2024,1,CAR,NO,-8.326672684688674e-17,-2.775557561562892e-17,1,1,-5.551115123125783e-17,0,0,0,0,0,0,0,0,-1.307547877511689,10,47,-37,57,,1.5,,43.5
2024_01_MIN_NYG,2024,1,MIN,NYG,-4.163336342344337e-17,0.0,1,1,-4.163336342344337e-17,0,0,0,0,0,0,0,0,-0.97755399457244,28,6,22,34,,2.5,,42.5
2024_01_LV_LAC,2024,1,LV,LAC,-2.775557561562892e-17,-2.775557561562892e-17,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,10,22,-12,32,,-6.5,,44.5
2024_01_DEN_SEA,2024,1,DEN,SEA,-2.775557561562892e-17,0.0,1,1,-2.775557561562892e-17,0,0,0,0,0,0,0,0,-0.6475601116331906,20,26,-6,46,,,,
2024_01_DAL_CLE,2024,1,DAL,CLE,-5.551115123125783e-17,-5.551115123125783e-17,1,1,0.0,0,0,0,0,1,0,0,0,0.0124276542453082,33,17,16,50,,,,
2024_01_WAS_TB,2024,1,WAS,TB,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,20,37,-17,57,,,,
2024_01_NYJ_SF,2024,1,NYJ,SF,0.0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0.0124276542453082,19,32,-13,51,,,,
2024_02_BUF_MIA,2024,2,BUF,MIA,0.0,0.0,3,4,0.0,0,0,3,2,0,1,0,0,0.0124276542453082,31,10,21,41,,,,
2024_02_LV_BAL,2024,2,LV,BAL,-5.551115123125783e-17,-4.163336342344337e-17,5,0,-1.3877787807814457e-17,0,1,1,5,0,0,0,0,-0.3175662286939411,26,23,3,49,,,,
2024_02_LAC_CAR,2024,2,LAC,CAR,0.0,-2.775557561562892e-17,3,3,2.775557561562892e-17,0,0,3,3,0,0,0,0,0.6724154201238071,26,3,23,29,,,,
2024_02_NO_DAL,2024,2,NO,DAL,-4.163336342344337e-17,-1.3877787807814457e-17,2,4,-2.775557561562892e-17,0,0,3,2,0,1,0,0,-0.6475601116331906,44,19,25,63,,,,
2024_02_TB_DET,2024,2,TB,DET,-5.551115123125783e-17,0.0,1,0,-5.551115123125783e-17,0,1,4,5,0,0,0,0,-1.307547877511689,20,16,4,36,,,,
2024_02_IND_GB,2024,2,IND,GB,-4.163336342344337e-17,0.0,0,0,-4.163336342344337e-17,1,1,5,5,0,0,0,0,-0.97755399457244,10,16,-6,26,,,,
2024_02_CLE_JAX,2024,2,CLE,JAX,-8.326672684688674e-17,0.0,3,3,-8.326672684688674e-17,0,0,3,3,0,0,0,0,-1.9675356433901885,18,13,5,31,,,,
2024_02_SF_MIN,2024,2,SF,MIN,-5.551115123125783e-17,0.0,3,3,-5.551115123125783e-17,0,0,3,3,0,0,0,0,-1.307547877511689,17,23,-6,40,,,,
2024_02_SEA_NE,2024,2,SEA,NE,0.0,-5.551115123125783e-17,3,3,5.551115123125783e-17,0,0,3,3,0,0,0,0,1.332403186002306,23,20,3,43,,,,
2024_02_NYJ_TEN,2024,2,NYJ,TEN,-8.326672684688674e-17,0.0,0,1,-8.326672684688674e-17,1,0,5,0,0,0,0,0,-1.9675356433901885,24,17,7,41,,,,
2024_02_NYG_WAS,2024,2,NYG,WAS,-2.775557561562892e-17,0.0,0,0,-2.775557561562892e-17,1,1,5,5,0,0,0,0,-0.6475601116331906,18,21,-3,39,,,,
2024_02_PIT_DEN,2024,2,PIT,DEN,-2.775557561562892e-17,-5.551115123125783e-17,3,3,2.775557561562892e-17,0,0,2,3,0,0,0,0,0.6724154201238071,13,6,7,19,,,,
2024_02_CIN_KC,2024,2,CIN,KC,-5.551115123125783e-17,-8.326672684688674e-17,0,0,2.775557561562892e-17,1,1,5,5,0,0,0,0,0.6724154201238071,25,26,-1,51,,,,
2024_02_CHI_HOU,2024,2,CHI,HOU,0.0,0.0,3,5,0.0,0,0,3,0,0,0,0,0,0.0124276542453082,13,19,-6,32,,,,
2024_02_ATL_PHI,2024,2,ATL,PHI,-6.938893903907227e-17,-5.551115123125783e-17,3,0,-1.3877787807814457e-17,0,1,3,5,0,1,0,0,-0.3175662286939411,22,21,1,43,,,,
2024_03_NE_NYJ,2024,3,NE,NYJ,-5.551115123125783e-17,-2.775557561562892e-17,1,3,-2.775557561562892e-17,0,0,4,3,0,0,0,0,-0.6475601116331906,3,24,-21,27,,,,
2024_03_NYG_CLE,2024,3,NYG,CLE,0.0,-5.551115123125783e-17,0,3,5.551115123125783e-17,1,0,5,1,0,0,0,0,1.332403186002306,21,15,6,36,,,,
2024_03_CHI_IND,2024,3,CHI,IND,0.0,-5.551115123125783e-17,3,0,5.551115123125783e-17,0,1,2,5,0,0,0,0,1.332403186002306,16,21,-5,37,,,,
2024_03_HOU_MIN,2024,3,HOU,MIN,-5.551115123125783e-17,0.0,1,0,-5.551115123125783e-17,0,1,4,5,0,0,0,0,-1.307547877511689,7,34,-27,41,,,,
2024_03_PHI_NO,2024,3,PHI,NO,0.0,-8.326672684688674e-17,4,1,8.326672684688674e-17,0,0,0,4,1,0,0,0,1.9923909518808047,15,12,3,27,,,,
2024_03_LAC_PIT,2024,3,LAC,PIT,-5.551115123125783e-17,0.0,4,2,-5.551115123125783e-17,0,0,2,3,0,0,0,0,-1.307547877511689,10,20,-10,30,,,,
2024_03_DEN_TB,2024,3,DEN,TB,-4.163336342344337e-17,0.0,3,0,-4.163336342344337e-17,0,1,2,5,0,0,0,0,-0.97755399457244,26,7,19,33,,,,
2024_03_GB_TEN,2024,3,GB,TEN,-8.326672684688674e-17,0.0,3,1,-8.326672684688674e-17,0,0,3,0,0,0,0,0,-1.9675356433901885,30,14,16,44,,,,
2024_03_CAR_LV,2024,3,CAR,LV,-2.775557561562892e-17,0.0,3,3,-2.775557561562892e-17,0,0,3,2,0,0,0,0,-0.6475601116331906,36,22,14,58,,,,
2024_03_MIA_SEA,2024,3,MIA,SEA,-5.551115123125783e-17,0.0,4,3,-5.551115123125783e-17,0,0,1,3,1,0,0,0,-1.307547877511689,3,24,-21,27,,,,
2024_03_DET_ARI,2024,3,DET,ARI,-5.551115123125783e-17,-4.163336342344337e-17,0,3,-1.3877787807814457e-17,1,0,5,2,0,0,0,0,-0.3175662286939411,20,13,7,33,,,,
2024_03_BAL_DAL,2024,3,BAL,DAL,-5.551115123125783e-17,0.0,0,5,-5.551115123125783e-17,1,0,5,1,0,0,0,0,-1.307547877511689,28,25,3,53,,,,
2024_03_KC_ATL,2024,3,KC,ATL,-5.551115123125783e-17,0.0,2,1,-5.551115123125783e-17,0,0,3,3,0,0,0,0,-1.307547877511689,22,17,5,39,,,,
2024_03_JAX_BUF,2024,3,JAX,BUF,0.0,-4.163336342344337e-17,0,0,4.163336342344337e-17,1,1,5,5,0,0,0,0,1.0024093030630563,10,47,-37,57,,,,
2024_03_WAS_CIN,2024,3,WAS,CIN,-5.551115123125783e-17,-2.775557561562892e-17,0,1,-2.775557561562892e-17,1,0,5,4,0,0,0,0,-0.6475601116331906,38,33,5,71,,,,
2024_04_DAL_NYG,2024,4,DAL,NYG,0.0,-1.3877787807814457e-17,0,0,1.3877787807814457e-17,1,1,5,5,0,0,0,0,0.3424215371845577,20,15,5,35,,,,
2024_04_NO_ATL,2024,4,NO,ATL,0.0,0.0,2,0,0.0,0,1,2,5,1,0,0,0,0.0124276542453082,24,26,-2,50,,,,
2024_04_CIN_CAR,2024,4,CIN,CAR,-5.551115123125783e-17,-5.551115123125783e-17,0,4,0.0,1,0,5,1,0,0,0,0,0.0124276542453082,34,24,10,58,,,,
2024_04_MIN_GB,2024,4,MIN,GB,0.0,0.0,0,3,0.0,1,0,5,3,0,0,0,0,0.0124276542453082,31,29,2,60,,,,
2024_04_JAX_HOU,2024,4,JAX,HOU,-8.326672684688674e-17,0.0,3,3,-8.326672684688674e-17,0,0,3,3,0,0,0,0,-1.9675356433901885,20,24,-4,44,,,,
2024_04_PIT_IND,2024,4,PIT,IND,0.0,-5.551115123125783e-17,1,1,5.551115123125783e-17,0,0,4,4,0,0,0,0,1.332403186002306,24,27,-3,51,,,,
2024_04_DEN_NYJ,2024,4,DEN,NYJ,-1.3877787807814457e-17,0.0,0,2,-1.3877787807814457e-17,1,0,5,3,0,0,0,0,-0.3175662286939411,10,9,1,19,,,,
2024_04_PHI_TB,2024,4,PHI,TB,0.0,-2.775557561562892e-17,4,3,2.775557561562892e-17,0,0,1,3,1,0,0,0,0.6724154201238071,16,33,-17,49,,3.5,,43.5
2024_04_WAS_ARI,2024,4,WAS,ARI,-4.163336342344337e-17,-5.551115123125783e-17,4,1,1.3877787807814457e-17,0,0,2,2,0,0,0,0,0.3424215371845577,42,14,28,56,,,,
2024_04_NE_SF,2024,4,NE,SF,0.0,-5.551115123125783e-17,3,0,5.551115123125783e-17,0,1,1,5,0,0,0,0,1.332403186002306,13,30,-17,43,,,,
2024_04_KC_LAC,2024,4,KC,LAC,-8.326672684688674e-17,0.0,3,2,-8.326672684688674e-17,0,0,3,1,0,0,0,0,-1.9675356433901885,17,10,7,27,,,,
2024_04_CLE_LV,2024,4,CLE,LV,-5.551115123125783e-17,-2.775557561562892e-17,2,3,-2.775557561562892e-17,0,0,2,2,0,0,0,0,-0.6475601116331906,16,20,-4,36,,,,
2024_04_BUF_BAL,2024,4,BUF,BAL,-5.551115123125783e-17,-5.551115123125783e-17,3,3,0.0,0,0,3,2,0,0,0,0,0.0124276542453082,10,35,-25,45,,,,
2024_04_TEN_MIA,2024,4,TEN,MIA,-5.551115123125783e-17,-2.775557561562892e-17,1,2,-2.775557561562892e-17,0,0,0,3,0,1,0,0,-0.6475601116331906,31,12,19,43,,,,
2024_04_SEA_DET,2024,4,SEA,DET,0.0,0.0,5,3,0.0,0,0,1,2,0,1,0,0,0.0124276542453082,29,42,-13,71,,,,
2024_05_TB_ATL,2024,5,TB,ATL,-6.938893903907227e-17,-8.326672684688674e-17,3,4,1.3877787807814457e-17,0,0,3,1,0,0,0,0,0.3424215371845577,30,36,-6,66,,,,
