week,away,home,spread,total,line_type,timestamp
1,DAL,PHI,-8.5,48.5,opening,2025-09-05T00:20:00Z
1,KC,LAC,3.0,46.5,opening,2025-09-06T00:00:00Z
1,ARI,NO,6.5,43.5,opening,2025-09-07T17:00:00Z
1,TB,ATL,1.5,46.5,opening,2025-09-07T17:00:00Z
1,CAR,JAX,-3.5,46.5,opening,2025-09-07T17:00:00Z
1,CIN,CLE,5.5,48.5,opening,2025-09-07T17:00:00Z
1,MIA,IND,-1.5,47.5,opening,2025-09-07T17:00:00Z
1,LV,NE,-2.5,43.5,opening,2025-09-07T17:00:00Z
1,NYG,WAS,-5.5,45.5,opening,2025-09-07T17:00:00Z
1,PIT,NYJ,2.5,38.5,opening,2025-09-07T17:00:00Z
1,TEN,DEN,-8.5,42.5,opening,2025-09-07T20:05:00Z
1,SF,SEA,2.5,43.5,opening,2025-09-07T20:05:00Z
1,DET,GB,-2.5,47.5,opening,2025-09-07T20:25:00Z
1,HOU,LA,-3.0,43.5,opening,2025-09-07T20:25:00Z
1,BAL,BUF,1.5,50.5,opening,2025-09-08T00:20:00Z
1,MIN,CHI,1.5,43.5,opening,2025-09-09T00:15:00Z
1,WAS,GB,-3.0,48.5,opening,2025-09-12T00:15:00Z
1,CLE,BAL,-12.5,44.5,opening,2025-09-14T17:00:00Z
1,BUF,NYJ,8.5,44.5,opening,2025-09-14T17:00:00Z
1,CHI,DET,-4.5,48.5,opening,2025-09-14T17:00:00Z
1,JAX,CIN,-5.5,49.5,opening,2025-09-14T17:00:00Z
1,NYG,DAL,-3.0,44.5,opening,2025-09-14T17:00:00Z
1,LA,TEN,5.5,45.5,opening,2025-09-14T17:00:00Z
1,NE,MIA,-2.5,45.5,opening,2025-09-14T17:00:00Z
1,SF,NO,7.0,44.5,opening,2025-09-14T17:00:00Z
1,SEA,PIT,-2.5,41.5,opening,2025-09-14T17:00:00Z
1,CAR,ARI,-4.5,46.5,opening,2025-09-14T20:05:00Z
1,DEN,IND,3.5,44.5,opening,2025-09-14T20:05:00Z
1,PHI,KC,-1.5,45.5,opening,2025-09-14T20:25:00Z
1,ATL,MIN,-4.5,45.5,opening,2025-09-15T00:20:00Z
1,TB,HOU,-1.5,46.5,opening,2025-09-15T23:00:00Z
1,LAC,LV,3.0,44.5,opening,2025-09-16T02:00:00Z
1,MIA,BUF,-8.5,48.5,opening,2025-09-19T00:15:00Z
1,ATL,CAR,-1.5,46.5,opening,2025-09-21T17:00:00Z
1,CIN,MIN,-1.5,47.5,opening,2025-09-21T17:00:00Z
1,GB,CLE,6.5,43.5,opening,2025-09-21T17:00:00Z
1,HOU,JAX,1.5,46.5,opening,2025-09-21T17:00:00Z
