week,away,home,closing_spread,closing_total,spread_price_home,spread_price_away,total_price_over,total_price_under,book_id,closing_time
1,DAL,PHI,-8.5,48.5,-108,-112,-108,-112,draftkings,2025-09-04T23:20:00Z
1,KC,LAC,3.0,47.5,-104,-118,-105,-115,fanduel,2025-09-05T23:00:00Z
1,TB,ATL,1.5,47.5,-118,-102,-115,-105,draftkings,2025-09-07T16:00:00Z
1,CIN,CLE,5.5,47.5,-115,-105,-120,100,draftkings,2025-09-07T16:00:00Z
1,MIA,IND,-1.5,47.5,-102,-118,100,-120,draftkings,2025-09-07T16:00:00Z
1,LV,NE,-2.5,44.5,-120,100,-105,-115,draftkings,2025-09-07T16:00:00Z
1,ARI,NO,6.0,44.5,-112,-108,-108,-112,draftkings,2025-09-07T16:00:00Z
1,PIT,NYJ,3.0,37.5,-112,-108,-112,-108,draftkings,2025-09-07T16:00:00Z
1,NYG,WAS,-6.5,45.5,-104,-118,-110,-110,fanduel,2025-09-07T16:00:00Z
1,CAR,JAX,-4.5,45.5,-108,-112,-112,-108,draftkings,2025-09-07T16:00:00Z
1,TEN,DEN,-8.5,42.5,-115,-105,-110,-110,fanduel,2025-09-07T19:05:00Z
1,SF,SEA,1.5,43.5,-102,-120,-104,-118,fanduel,2025-09-07T19:05:00Z
1,DET,GB,-1.5,47.5,-105,-115,-118,-104,fanduel,2025-09-07T19:25:00Z
1,HOU,LAR,-3.0,42.5,-118,-104,-115,-105,fanduel,2025-09-07T19:25:00Z
1,BAL,BUF,1.5,50.5,-112,-108,-115,-105,fanduel,2025-09-07T23:20:00Z
1,MIN,CHI,1.5,43.5,-122,100,-102,-120,fanduel,2025-09-08T23:15:00Z
2,WAS,GB,-3.0,48.5,-120,100,-118,-102,draftkings,2025-09-11T23:15:00Z
2,JAX,CIN,-3.5,49.5,-105,-115,-105,-115,draftkings,2025-09-14T16:00:00Z
2,NYG,DAL,-4.5,44.5,-120,100,-110,-110,draftkings,2025-09-14T16:00:00Z
2,CHI,DET,-6.0,46.5,-110,-110,-108,-112,draftkings,2025-09-14T16:00:00Z
2,LAR,TEN,5.5,41.5,-112,-108,-108,-112,draftkings,2025-09-14T16:00:00Z
2,NE,MIA,-1.5,43.5,-110,-110,-105,-115,draftkings,2025-09-14T16:00:00Z
2,SF,NO,3.0,40.5,-108,-112,-108,-112,draftkings,2025-09-14T16:00:00Z
2,BUF,NYJ,6.5,47.5,-115,-105,-110,-110,draftkings,2025-09-14T16:00:00Z
2,SEA,PIT,-3.5,40.5,-105,-115,-112,-108,draftkings,2025-09-14T16:00:00Z
2,CLE,BAL,-12.5,45.5,-110,-110,-110,-110,draftkings,2025-09-14T16:00:00Z
2,DEN,IND,2.5,43.5,-115,-105,-108,-112,draftkings,2025-09-14T19:05:00Z
2,CAR,ARI,-7.0,45.5,-110,-110,-110,-110,draftkings,2025-09-14T19:05:00Z
2,PHI,KC,1.5,46.5,-110,-110,-115,-105,fanduel,2025-09-14T19:25:00Z
2,ATL,MIN,-3.5,44.5,-105,-115,-110,-110,draftkings,2025-09-14T23:20:00Z
