week,game,bet_type,bet_side,line,edge,stake,result,profit,actual_margin,actual_total,predicted_margin,predicted_total,confidence
1,DAL@PHI,spread,home,-8.409090909090908,1.1171574480405404,61.66666666666667,WIN,56.05500000000001,4,44,-7.291933461050368,52.83391576727582,0.6166666666666667
1,DAL@PHI,total,over,48.13636363636363,4.697552130912186,61.66666666666667,LOSS,-61.66666666666667,4,44,-7.291933461050368,52.83391576727582,0.6166666666666667
1,KC@LAC,spread,away,3.0,2.1788842837598494,61.66666666666667,LOSS,-61.66666666666667,6,48,0.8211157162401506,53.75022500822409,0.6166666666666667
1,KC@LAC,total,over,46.59090909090909,7.1593159173149985,61.66666666666667,WIN,56.05500000000001,6,48,0.8211157162401506,53.75022500822409,0.6166666666666667
1,TB@ATL,spread,away,1.7727272727272727,2.5304542529275262,65.0,WIN,59.085,-3,43,-0.7577269802002535,48.17749522512396,0.65
1,CIN@CLE,spread,away,5.2272727272727275,4.917325201952508,65.0,WIN,59.085,-1,33,0.3099475253202195,47.54302192555095,0.65
1,MIA@IND,spread,home,-0.6363636363636364,3.892438025754863,65.0,WIN,59.085,25,41,3.2560743893912267,53.66820939726942,0.65
1,MIA@IND,total,over,46.40909090909091,7.259118488178515,65.0,LOSS,-65.0,25,41,3.2560743893912267,53.66820939726942,0.65
1,LV@NE,spread,home,-2.5,5.979435352741796,65.0,LOSS,-65.0,-7,33,3.4794353527417963,45.440384541446264,0.65
1,LV@NE,total,over,43.77272727272727,1.6676572687189903,65.0,LOSS,-65.0,-7,33,3.4794353527417963,45.440384541446264,0.65
1,ARI@NO,spread,away,6.409090909090909,4.1601350663263545,65.0,WIN,59.085,-7,33,2.2489558427645546,43.781515547943236,0.65
1,PIT@NYJ,spread,away,2.636363636363636,2.7994121972630324,65.0,WIN,59.085,-2,66,-0.16304856089939657,41.47920098012529,0.65
1,PIT@NYJ,total,over,38.09090909090909,3.388291889216198,65.0,WIN,59.085,-2,66,-0.16304856089939657,41.47920098012529,0.65
1,TEN@DEN,spread,home,-8.545454545454545,8.518877251084948,65.0,WIN,59.085,8,32,-0.02657729436959677,44.99055402813414,0.65
1,TEN@DEN,total,over,42.45454545454545,2.5360085735886884,65.0,LOSS,-65.0,8,32,-0.02657729436959677,44.99055402813414,0.65
1,SF@SEA,spread,home,2.409090909090909,2.3155284795799735,65.0,LOSS,-65.0,-4,30,4.724619388670883,47.52537221656435,0.65
1,SF@SEA,total,over,43.45454545454545,4.070826762018896,65.0,LOSS,-65.0,-4,30,4.724619388670883,47.52537221656435,0.65
1,DET@GB,total,over,47.18181818181818,6.057334202010338,61.66666666666667,LOSS,-61.66666666666667,14,40,-2.914580041814827,53.23915238382852,0.6166666666666667
1,BAL@BUF,spread,home,0.7727272727272727,3.2920280178595602,65.0,WIN,59.085,1,81,4.064755290586833,49.1680768122837,0.65
2,JAX@CIN,spread,home,-3.363636363636364,4.6681933508322855,65.0,WIN,59.085,4,58,1.3045569871959213,51.84614688763435,0.65
2,JAX@CIN,total,over,49.0,2.8461468876343474,65.0,WIN,59.085,4,58,1.3045569871959213,51.84614688763435,0.65
2,NYG@DAL,spread,home,-5.181818181818182,5.197000629172704,65.0,WIN,59.085,3,77,0.015182447354522566,51.9621283862791,0.65
2,NYG@DAL,total,over,44.5,7.4621283862790975,65.0,WIN,59.085,3,77,0.015182447354522566,51.9621283862791,0.65
2,CHI@DET,spread,home,-6.045454545454546,5.787130544048339,65.0,WIN,59.085,31,73,-0.2583240014062067,50.913652691873196,0.65
2,CHI@DET,total,over,46.68181818181818,4.231834510055016,65.0,WIN,59.085,31,73,-0.2583240014062067,50.913652691873196,0.65
