away,home,away_OFF_EPA,home_DEF_EPA,home_OFF_EPA,away_DEF_EPA,away_OFF_SR,home_DEF_SR,home_OFF_SR,away_DEF_SR,away_PF,home_PF,away_PF_adj,home_PF_adj,wind_kph,is_dome,away_injury,home_injury
MIN,LAC,-0.010128540956157076,0.11341489060243037,0.020068566266023265,-0.02728059387159407,,,,,34.625,31.39821428571429,34.625,31.39821428571429,9.7,1,0.0,0.0
MIA,ATL,-0.05385832293384378,-0.025611111775627284,-0.029558634704968615,0.12395357950341801,,,,,29.905714285714286,23.11,29.905714285714286,23.11,19.8,1,0.0,0.0
CHI,BAL,0.06854523307074105,0.1881708020442643,-0.10023260925350387,-0.11927513151333244,,,,,35.2825,25.4625,35.2825,25.4625,3.1,0,0.0,0.0
BUF,CAR,0.11207696883864071,0.07805228521898941,0.02146907453688629,0.04542310810913845,,,,,37.94,32.1725,37.94,32.1725,9.4,0,0.0,0.0
NYJ,CIN,-0.12143907116980447,0.20862453421068763,-0.027945180212961693,0.08257964809150609,,,,,21.985,31.622857142857143,21.985,31.622857142857143,9.7,0,0.0,0.0
CLE,NE,-0.165731706364688,-0.01762792359358785,0.19470023183980767,-0.11534159791913545,,,,,19.97392857142857,37.941785714285714,19.97392857142857,37.941785714285714,5.2,0,0.0,0.0
SF,HOU,0.013532035855869935,-0.2183227104442784,0.0031639565362351005,0.04698804002707784,,,,,28.518571428571427,33.2425,28.518571428571427,33.2425,11.9,1,0.0,0.0
NYG,PHI,-0.020999599959617445,0.0003982212972208077,0.03978302500387132,0.011465783454408279,,,,,33.99392857142857,34.74321428571429,33.99392857142857,34.74321428571429,5.4,0,0.0,0.0
TB,NO,0.04585974952591741,0.031535311459452486,-0.06836018975101098,0.01800060808993266,,,,,36.42928571428571,23.952857142857145,36.42928571428571,23.952857142857145,14.1,1,0.0,0.0
DAL,DEN,0.20947532938756255,-0.13073447898591842,0.07519866698187438,0.08599017885225138,,,,,52.511428571428574,34.02607142857143,52.511428571428574,34.02607142857143,3.4,0,0.0,0.0
TEN,IND,-0.24800061729120262,-0.010004378540658276,0.21952718459717652,0.04092502316433005,,,,,13.916785714285714,42.8375,13.916785714285714,42.8375,13.0,1,0.0,0.0
GB,PIT,0.14472713927814182,0.013144671597102564,0.1306596574888089,0.04369246017225413,,,,,35.440000000000005,38.6075,35.440000000000005,38.6075,5.5,0,0.0,0.0
WAS,KC,0.02470302769205654,-0.12733665527228047,0.192529316033765,0.08941871081705988,,,,,35.90571428571428,44.88857142857143,35.90571428571428,44.88857142857143,13.8,0,0.0,0.0
