away,home,Exp score (away-home),Model spread home-,Spread used (home-),Edge_pts,Model total,Total used,Edge_total_pts,Home win %,Home cover %,Over %,EV_spread,EV_total,Kelly_spread_pct,Kelly_total_pct,Stake_spread,Stake_total,Rec_spread,Rec_total,Best_bet
PIT,CIN,32.8-35.5,2.7105052294462015,2.697361240372146,0.013143989074055451,68.13763885189184,68.3276269550965,-0.1899881032046693,59.5,68.5,49.2,0.30772727272727285,-0.030181818181818143,25.0,0.0,2500.0,0.0,"BET CIN +2.7 @ 25.0% (EV: +30.8%, Prob: 68.5%)",SKIP,"SPREAD: BET CIN +2.7 @ 25.0% (EV: +30.8%, Prob: 68.5%)"
LA,JAX,35.6-24.4,-11.19135716627511,-11.209889079697838,0.018531913422728863,60.01147873670846,59.98410237322245,0.027376363486013133,16.0,2.5,50.2,0.8613636363636364,-0.04163636363636358,25.0,0.0,2500.0,0.0,"BET LA +11.2 @ 25.0% (EV: +86.1%, Prob: 97.5%)",SKIP,"SPREAD: BET LA +11.2 @ 25.0% (EV: +86.1%, Prob: 97.5%)"
NO,CHI,14.0-21.4,7.40424794165623,7.379991742662126,0.02425619899410414,35.510481134169325,35.460782967074984,0.04969816709434127,74.4,90.5,50.2,0.7277272727272729,-0.04163636363636358,25.0,0.0,2500.0,0.0,"BET CHI +7.4 @ 25.0% (EV: +72.8%, Prob: 90.5%)",SKIP,"SPREAD: BET CHI +7.4 @ 25.0% (EV: +72.8%, Prob: 90.5%)"
MIA,CLE,24.7-17.7,-7.057250207115104,-7.064401768934385,0.007151561819280339,42.39831275815475,42.410816335436905,-0.012503577282153344,26.5,10.5,50.1,0.7086363636363637,-0.0435454545454545,25.0,0.0,2500.0,0.0,"BET MIA +7.1 @ 25.0% (EV: +70.9%, Prob: 89.5%)",SKIP,"SPREAD: BET MIA +7.1 @ 25.0% (EV: +70.9%, Prob: 89.5%)"
NE,TEN,32.2-16.1,-15.998679554644763,-16.095668230384707,0.09698867573994363,48.3111627214042,48.284284478413,0.026878242991202228,7.8,0.2,50.0,0.9052727272727273,-0.045454545454545414,25.0,0.0,2500.0,0.0,"BET NE +16.1 @ 25.0% (EV: +90.5%, Prob: 99.8%)",SKIP,"SPREAD: BET NE +16.1 @ 25.0% (EV: +90.5%, Prob: 99.8%)"
LV,KC,13.2-33.7,20.480257152615316,20.458402886700235,0.021854265915081328,47.041617013483304,46.950696966559384,0.09092004692391953,96.6,100.0,50.7,0.9090909090909092,-0.03209090909090906,25.0,0.0,2500.0,0.0,"BET KC +20.5 @ 25.0% (EV: +90.9%, Prob: 100.0%)",SKIP,"SPREAD: BET KC +20.5 @ 25.0% (EV: +90.9%, Prob: 100.0%)"
PHI,MIN,33.2-24.7,-8.514236708832092,-8.559860239881779,0.04562353104968686,58.032412944993304,57.88678684931525,0.14562609567805396,22.6,6.6,50.4,0.7830909090909091,-0.03781818181818175,25.0,0.0,2500.0,0.0,"BET PHI +8.6 @ 25.0% (EV: +78.3%, Prob: 93.4%)",SKIP,"SPREAD: BET PHI +8.6 @ 25.0% (EV: +78.3%, Prob: 93.4%)"
CAR,NYJ,20.7-21.1,0.4774055464467314,0.4877526328612838,-0.010347086414552398,41.80797809140731,41.80033126909754,0.007646822309766321,51.5,53.2,49.7,0.015636363636363726,-0.03972727272727289,1.7200000000000097,0.0,172.00000000000097,0.0,SKIP,SKIP,NO PLAY
NYG,DEN,28.5-35.4,6.847983336020152,6.853519657257081,-0.005536321236928821,63.9591286312807,63.92422000237872,0.034908628901980876,72.8,88.6,49.9,0.6914545454545453,-0.0435454545454545,25.0,0.0,2500.0,0.0,"BET DEN +6.9 @ 25.0% (EV: +69.1%, Prob: 88.6%)",SKIP,"SPREAD: BET DEN +6.9 @ 25.0% (EV: +69.1%, Prob: 88.6%)"
IND,LAC,41.0-33.2,-7.8853008246248,-7.869252403125358,-0.016048421499442078,74.07279153835441,74.18674383421931,-0.1139522958649053,24.5,8.3,49.6,0.7506363636363638,-0.03781818181818175,25.0,0.0,2500.0,0.0,"BET IND +7.9 @ 25.0% (EV: +75.1%, Prob: 91.7%)",SKIP,"SPREAD: BET IND +7.9 @ 25.0% (EV: +75.1%, Prob: 91.7%)"
WAS,DAL,30.5-41.7,11.07823314199054,11.140745732082653,-0.06251259009211374,72.21034943561344,72.17976689632155,0.030582539291884814,83.6,97.5,50.2,0.8613636363636364,-0.04163636363636358,25.0,0.0,2500.0,0.0,"BET DAL +11.1 @ 25.0% (EV: +86.1%, Prob: 97.5%)",SKIP,"SPREAD: BET DAL +11.1 @ 25.0% (EV: +86.1%, Prob: 97.5%)"
GB,ARI,30.1-27.7,-2.5553303909108958,-2.462537964767794,-0.0927924261431019,57.94776136160379,57.77144591664944,0.1763154449543478,41.4,33.4,50.3,0.2714545454545456,-0.03972727272727267,25.0,0.0,2500.0,0.0,"BET GB +2.5 @ 25.0% (EV: +27.1%, Prob: 66.6%)",SKIP,"SPREAD: BET GB +2.5 @ 25.0% (EV: +27.1%, Prob: 66.6%)"
ATL,SF,20.3-24.6,4.298479112871538,4.3568329762975,-0.05835386342596216,44.83356305004026,44.92981034665975,-0.09624729661948805,65.0,77.8,49.7,0.4852727272727274,-0.03972727272727289,25.0,0.0,2500.0,0.0,"BET SF +4.4 @ 25.0% (EV: +48.5%, Prob: 77.8%)",SKIP,"SPREAD: BET SF +4.4 @ 25.0% (EV: +48.5%, Prob: 77.8%)"
TB,DET,28.5-37.4,8.822998123354276,8.849445141437307,-0.026447018083031182,65.90241326239851,65.86243440272648,0.03997885967203274,78.6,94.0,50.0,0.7945454545454546,-0.045454545454545414,25.0,0.0,2500.0,0.0,"BET DET +8.8 @ 25.0% (EV: +79.5%, Prob: 94.0%)",SKIP,"SPREAD: BET DET +8.8 @ 25.0% (EV: +79.5%, Prob: 94.0%)"
HOU,SEA,31.6-33.7,2.010943834586062,2.0794235718449343,-0.06847973725887213,65.33654943335353,65.25240236924824,0.08414706410528083,56.9,64.0,50.4,0.22181818181818191,-0.03781818181818175,24.40000000000001,0.0,2440.000000000001,0.0,"BET SEA +2.1 @ 24.4% (EV: +22.2%, Prob: 64.0%)",SKIP,"SPREAD: BET SEA +2.1 @ 24.4% (EV: +22.2%, Prob: 64.0%)"
