away,home,Model spread home-,Spread used (home-),Edge_pts,Model total,Total used,Edge_total_pts
DAL,PHI,-4.685232748955773,-4.715642929077148,0.03041018012137542,63.79487073940425,63.7119140625,0.0829566769042529
KC,LAC,-4.262947612532831,-4.303432464599609,0.04048485206677821,70.45529548195908,70.51411437988281,-0.05881889792372874
TB,ATL,-6.662120237031148,-6.623212814331055,-0.03890742270009362,50.71286287162531,50.71559143066406,-0.0027285590387506886
CIN,CLE,-11.163811279235631,-11.178503036499023,0.014691757263392446,46.79492157001831,46.785423278808594,0.00949829120971657
MIA,IND,12.33842978281924,12.292938232421875,0.04549155039736519,70.60615253635262,70.54182434082031,0.06432819553231184
LV,NE,17.43145117580599,17.405672073364258,0.02577910244173154,49.33158483512392,49.33519744873047,-0.0036126136065490755
ARI,NO,-7.458025978663607,-7.459785461425781,0.0017594827621740805,44.96868819011381,45.12015151977539,-0.15146332966158127
PIT,NYJ,-6.69501035451314,-6.679477691650391,-0.015532662862749014,49.38521538829643,49.254817962646484,0.13039742564994583
NYG,WAS,2.6481673664347753,2.636594772338867,0.011572594095908162,51.73637453349873,51.677223205566406,0.05915132793232658
CAR,JAX,0.14534983552649391,0.08257484436035156,0.06277499116614235,48.75352350986678,48.662872314453125,0.09065119541365618
TEN,DEN,19.85080295816195,19.891494750976562,-0.04069179281461288,50.90790736650775,50.801002502441406,0.10690486406634392
SF,SEA,10.127519174357486,10.21487808227539,-0.08735890791790446,57.02396799460844,56.99895095825195,0.025017036356487665
DET,GB,-4.6243577151403334,-4.5316162109375,-0.09274150420283345,67.3729321885193,67.39240264892578,-0.019470460406481038
HOU,LA,5.174904269284419,5.180440902709961,-0.0055366334255415595,68.40266730617068,68.4625244140625,-0.05985710789181553
BAL,BUF,11.746153998925807,11.643695831298828,0.10245816762697935,45.95419543488507,45.959285736083984,-0.005090301198912073
MIN,CHI,1.5991603528431848,1.6559791564941406,-0.05681880365095582,41.41352656239108,41.439697265625,-0.02617070323392312
