away,home,away_OFF_EPA,home_DEF_EPA,home_OFF_EPA,away_DEF_EPA,away_OFF_SR,home_DEF_SR,home_OFF_SR,away_DEF_SR,away_PF,home_PF,away_PF_adj,home_PF_adj,wind_kph,is_dome,away_injury,home_injury
PIT,CIN,0.1306596574888089,0.23104181384892342,0.07282503086766384,0.013144671597102564,0.15265966538316775,0.0021120881309725226,0.13398185845114718,0.07627868596462348,38.6075,40.285,38.6075,40.285,20.2,0,0.0,0.0
LA,JAX,0.046809635301710534,0.03862210539660223,-0.01963597685711024,-0.05808564075824353,0.06111088345450559,0.028713062841970942,0.027013852623735415,0.0955455044698047,42.20357142857143,27.18357142857143,41.879091832517354,27.18357142857143,23.2,0,0.0,0.0
NO,CHI,-0.13320069214776586,-0.06352559858123205,0.023997474954505382,-0.026107716565177796,0.023251886338487307,0.12898207319029686,0.06103642919407339,0.0747842009357709,19.4075,27.885714285714286,16.496374999999997,23.70285714285714,28.1,0,0.0,0.0
MIA,CLE,-0.044143690510852804,-0.09040583360954971,-0.17346410482202992,0.019722962126422206,0.08323150459956476,0.1293320169645056,0.0,0.09420812276989467,34.255,22.675,29.11675,19.27375,33.8,0,0.0,0.0
NE,TEN,0.1281056231667549,0.09211557702797248,-0.19824182829860132,-0.08843406260735483,0.1373266187492993,0.0655714393876422,0.0,0.13659403729210226,37.87875,17.419999999999998,37.87875,17.419999999999998,16.4,0,0.0,0.0
LV,KC,-0.28521239996518466,-0.12733665527228047,0.192529316033765,0.02398921852958051,0.007951292479901683,0.17070123157069594,0.19890746228247644,0.09867769949930258,18.32,44.88857142857143,18.32,44.88857142857143,13.1,0,0.0,0.0
PHI,MIN,0.12756993843292158,0.10272794643702839,-0.11735576040482736,0.043906627628618536,0.13330554379941836,0.029920747784353767,0.022694687265909057,0.03159138634094688,39.0925,27.51357142857143,39.0925,27.51357142857143,7.9,1,0.0,0.0
CAR,NYJ,-0.045737890529661596,0.1124242872604251,-0.07902546546246257,0.08653235302952803,0.06006032132919231,0.02635459739525841,0.08184179755265034,0.06737904266077892,28.585,27.494999999999997,24.297250000000002,23.370749999999997,29.2,0,0.0,0.0
NYG,DEN,0.02394779811040955,-0.07199446065203624,0.1122844500202185,0.1147310363760297,0.09371350442255266,0.1166609553911136,0.12627995751455828,0.007976141588650931,33.64375,40.136250000000004,33.582119453594,40.136250000000004,6.1,0,0.0,0.0
IND,LAC,0.28195017887022716,0.047463701998534634,0.08985269196363062,-0.032227728028503495,0.28195017887022716,0.11267136394862945,0.11262652350432514,0.0789000132615735,48.440000000000005,37.51,48.28408471106252,37.51,6.3,1,0.0,0.0
WAS,DAL,0.02470302769205654,0.0993654629457755,0.15495418368846522,0.08941871081705988,0.09418981303449356,0.046198781179589775,0.15660880509529274,0.021787605653392342,35.90571428571428,47.519999999999996,35.90571428571428,47.519999999999996,15.1,1,0.0,0.0
GB,ARI,0.14472713927814182,0.045543124301863136,-0.01789168277543643,0.04369246017225413,0.16202435865254952,0.022038729867963493,0.02722732205224865,0.0562818475389323,35.440000000000005,31.03107142857143,35.440000000000005,31.03107142857143,12.4,1,0.0,0.0
ATL,SF,-0.0440155383380725,0.08678476068432742,0.0024481679700347437,0.009386712022835777,0.06817877362256046,0.032718555529830606,0.03144456701057842,0.04715715849892248,24.15642857142857,27.490000000000002,23.85106142235693,27.490000000000002,6.4,0,0.0,0.0
TB,DET,0.03697255745376979,-0.12766964283874543,0.03769532175127053,-0.05266572651929244,0.1481627640353274,0.1866914270169088,0.09286210091121394,0.1395848303605469,33.53625,42.46642857142857,33.53625,42.46642857142857,22.3,1,0.0,0.0
HOU,SEA,0.07502444845119813,-0.014938659320853833,0.05025487003376442,-0.1932695662035402,0.15416445036135343,0.10480222511158296,0.10896619857245307,0.1997048350768485,37.34392857142857,38.120357142857145,37.14901568751736,38.120357142857145,3.7,0,0.0,0.0
