week,game,bet_type,side,line,edge,result,profit,actual_margin,predicted_margin,actual_total,predicted_total
5,SF@LAR,spread,away,8.5,3.200000047683716,LOSS,-110.0,-3.0,5.299999952316284,,
5,SF@LAR,total,over,43.5,4.2130513191223145,WIN,90.9,,,49.0,47.713051319122314
5,MIN@CLE,total,under,36.5,4.699999809265137,LOSS,-110.0,,,38.0,31.800000190734863
5,LV@IND,spread,home,-7.0,24.16666603088379,WIN,90.9,34.0,31.16666603088379,,
5,LV@IND,total,over,47.5,8.5,LOSS,-110.0,,,46.0,56.0
5,NYG@NO,spread,home,-1.5,13.011748313903809,WIN,90.9,12.0,14.511748313903809,,
5,NYG@NO,total,under,42.5,5.4573163986206055,WIN,90.9,,,40.0,37.042683601379395
5,DAL@NYJ,spread,away,-2.5,7.5,WIN,90.9,-15.0,-10.0,,
5,DAL@NYJ,total,over,47.5,12.5,WIN,90.9,,,59.0,60.0
5,DEN@PHI,spread,away,3.5,6.276216506958008,WIN,90.9,-4.0,-2.776216506958008,,
5,DEN@PHI,total,under,43.5,6.311275482177734,WIN,90.9,,,38.0,37.188724517822266
5,MIA@CAR,spread,home,1.5,5.0,WIN,90.9,3.0,3.5,,
5,MIA@CAR,total,over,45.5,2.4855687618255615,WIN,90.9,,,51.0,47.98556876182556
5,HOU@BAL,spread,away,-2.5,13.999866485595703,WIN,90.9,-34.0,-16.499866485595703,,
5,HOU@BAL,total,over,40.5,6.017898082733154,WIN,90.9,,,54.0,46.517898082733154
5,TEN@ARI,spread,away,7.5,2.481524705886841,LOSS,-110.0,-1.0,5.018475294113159,,
5,TB@SEA,spread,home,-3.5,5.094059467315674,WIN,90.9,-3.0,8.594059467315674,,
5,TB@SEA,total,over,44.5,23.5,WIN,90.9,,,73.0,68.0
5,DET@CIN,spread,away,-10.5,2.7361180782318115,WIN,90.9,-13.0,-13.236118078231812,,
5,DET@CIN,total,over,49.5,10.367509841918945,WIN,90.9,,,61.0,59.867509841918945
5,WAS@LAC,spread,away,2.5,6.840009689331055,WIN,90.9,-17.0,-4.340009689331055,,
5,NE@BUF,spread,away,8.5,7.03321647644043,LOSS,-110.0,-3.0,1.4667835235595703,,
5,KC@JAX,total,over,46.5,7.81638765335083,WIN,90.9,,,59.0,54.31638765335083
6,PHI@NYG,spread,home,7.0,13.832528114318848,WIN,90.9,17.0,6.832528114318848,,
6,PHI@NYG,total,over,40.5,6.176302909851074,WIN,90.9,,,51.0,46.676302909851074
6,DEN@NYJ,total,under,43.5,15.96229362487793,WIN,90.9,,,24.0,27.53770637512207
6,ARI@IND,spread,away,7.0,1.25,LOSS,-110.0,4.0,5.75,,
6,ARI@IND,total,over,46.5,9.90658950805664,WIN,90.9,,,58.0,56.40658950805664
6,LAC@MIA,spread,away,-4.5,2.6797738075256348,WIN,90.9,-2.0,-7.179773807525635,,
6,LAC@MIA,total,over,44.5,10.306082725524902,WIN,90.9,,,56.0,54.8060827255249
6,NE@NO,spread,away,-3.5,3.200000047683716,WIN,90.9,-6.0,-6.700000047683716,,
6,NE@NO,total,over,45.5,4.554356098175049,LOSS,-110.0,,,44.0,50.05435609817505
6,CLE@PIT,spread,home,-5.5,9.321722984313965,WIN,90.9,14.0,14.821722984313965,,
6,CLE@PIT,total,under,37.5,9.167144775390625,WIN,90.9,,,32.0,28.332855224609375
6,DAL@CAR,spread,away,-3.0,1.25,PUSH,0.0,3.0,-4.25,,
6,DAL@CAR,total,over,49.5,7.703684329986572,WIN,90.9,,,57.0,57.20368432998657
6,SEA@JAX,spread,away,-1.5,3.200000047683716,WIN,90.9,-8.0,-4.700000047683716,,
6,SEA@JAX,total,under,47.5,16.12594223022461,WIN,90.9,,,32.0,31.37405776977539
6,LAR@BAL,spread,away,-7.5,4.055350303649902,WIN,90.9,-14.0,-11.555350303649902,,
6,LAR@BAL,total,under,44.5,16.367773056030273,WIN,90.9,,,20.0,28.132226943969727
6,TEN@LV,spread,home,-3.5,8.857684135437012,WIN,90.9,10.0,12.357684135437012,,
6,TEN@LV,total,under,41.5,9.908730506896973,WIN,90.9,,,30.0,31.591269493103027
6,CIN@GB,spread,home,-14.0,2.200000047683716,WIN,90.9,9.0,16.200000047683716,,
6,SF@TB,spread,home,-3.0,5.0,WIN,90.9,11.0,8.0,,
