week,game,bet_type,side,line,edge,result,profit,actual_margin,predicted_margin,opening_line,closing_line,clv,actual_total,predicted_total
5,SF@LAR,spread,away,8.5,7.296625137329102,LOSS,-110.0,-3.0,1.2033748626708984,8.5,8.5,0.0,,
5,SF@LAR,total,over,43.5,5.869950294494629,WIN,90.9,,,43.5,43.5,0.0,49.0,49.36995029449463
5,MIN@CLE,spread,home,3.5,2.4166667461395264,LOSS,-110.0,-4.0,-1.0833332538604736,4.5,3.5,-1.0,,
5,MIN@CLE,total,under,35.5,6.32973575592041,LOSS,-110.0,,,36.5,35.5,1.0,38.0,29.17026424407959
5,LV@IND,spread,home,-7.0,23.875,WIN,90.9,34.0,30.875,-7.0,-7.0,0.0,,
5,LV@IND,total,over,47.5,7.822456359863281,LOSS,-110.0,,,47.5,47.5,0.0,46.0,55.32245635986328
5,NYG@NO,spread,home,-1.5,11.5,WIN,90.9,12.0,13.0,-1.5,-1.5,0.0,,
5,NYG@NO,total,under,41.5,5.5,WIN,90.9,,,42.5,41.5,1.0,40.0,36.0
5,DAL@NYJ,spread,away,-1.5,8.261356353759766,WIN,90.9,-15.0,-9.761356353759766,-2.5,-1.5,1.0,,
5,DAL@NYJ,total,over,48.5,8.5,WIN,90.9,,,47.5,48.5,1.0,59.0,57.0
5,DEN@PHI,spread,away,4.5,8.833333015441895,LOSS,-110.0,-4.0,-4.3333330154418945,3.5,4.5,1.0,,
5,DEN@PHI,total,under,44.5,5.5,WIN,90.9,,,43.5,44.5,-1.0,38.0,39.0
5,MIA@CAR,spread,home,1.5,6.875,WIN,90.9,3.0,5.375,1.5,1.5,0.0,,
5,MIA@CAR,total,over,44.5,2.5,WIN,90.9,,,45.5,44.5,-1.0,51.0,47.0
5,HOU@BAL,spread,away,-2.5,13.331892013549805,WIN,90.9,-34.0,-15.831892013549805,-2.5,-2.5,0.0,,
5,HOU@BAL,total,over,40.5,6.508094310760498,WIN,90.9,,,40.5,40.5,0.0,54.0,47.0080943107605
5,TEN@ARI,spread,away,7.5,1.75,LOSS,-110.0,-1.0,5.75,7.5,7.5,0.0,,
5,TB@SEA,spread,home,-3.5,4.833333492279053,WIN,90.9,-3.0,8.333333492279053,-3.5,-3.5,0.0,,
5,TB@SEA,total,over,44.5,23.52643394470215,WIN,90.9,,,44.5,44.5,0.0,73.0,68.02643394470215
5,DET@CIN,spread,away,-10.5,5.235134124755859,WIN,90.9,-13.0,-15.73513412475586,-10.5,-10.5,0.0,,
5,DET@CIN,total,over,49.5,13.166666984558105,WIN,90.9,,,49.5,49.5,0.0,61.0,62.666666984558105
