team,week,season,ol_continuity_full,ol_continuity_count,ol_position_shifts,ol_snaps_together_last3,center_missing,left_tackle_missing
ARI,1,2022,0,0,0,0.3,0,0
ATL,1,2022,0,0,0,0.3,0,0
BAL,1,2022,0,0,0,0.3,0,0
BUF,1,2022,0,0,0,0.3,0,0
CAR,1,2022,0,0,0,0.3,0,0
CHI,1,2022,0,0,0,0.3,0,0
CIN,1,2022,0,0,0,0.3,0,0
CLE,1,2022,0,0,0,0.3,0,0
DAL,1,2022,0,0,0,0.3,0,0
DEN,1,2022,0,0,0,0.3,0,0
DET,1,2022,0,0,0,0.3,0,0
GB,1,2022,0,0,0,0.3,0,0
HOU,1,2022,0,0,0,0.3,0,0
IND,1,2022,0,0,0,0.3,0,0
JAX,1,2022,0,0,0,0.3,0,0
KC,1,2022,0,0,0,0.3,0,0
LA,1,2022,0,0,0,0.3,0,0
LAC,1,2022,0,0,0,0.3,0,0
LV,1,2022,0,0,0,0.3,0,0
MIA,1,2022,0,0,0,0.3,1,0
MIN,1,2022,0,0,0,0.3,0,0
NE,1,2022,0,0,0,0.3,0,0
NO,1,2022,0,0,0,0.3,0,0
NYG,1,2022,0,0,0,0.3,0,0
NYJ,1,2022,0,0,0,0.3,0,0
PHI,1,2022,0,0,0,0.3,0,0
PIT,1,2022,0,0,0,0.3,0,0
SEA,1,2022,0,0,0,0.3,0,0
SF,1,2022,0,0,0,0.3,0,0
TB,1,2022,0,0,0,0.3,1,0
TEN,1,2022,0,0,0,0.3,0,0
WAS,1,2022,0,0,0,0.3,0,0
ARI,2,2022,0,1,3,0.3,0,0
ATL,2,2022,0,2,3,0.3,0,0
BAL,2,2022,0,3,2,0.3,0,0
BUF,2,2022,0,2,2,0.3,0,0
CAR,2,2022,0,2,3,0.3,0,0
CHI,2,2022,0,4,0,0.3,0,0
CIN,2,2022,1,5,0,0.8,0,0
CLE,2,2022,0,3,2,0.3,0,0
DAL,2,2022,0,3,2,0.3,0,0
DEN,2,2022,1,5,0,0.8,0,0
DET,2,2022,0,0,3,0.3,0,0
GB,2,2022,0,2,2,0.3,0,0
HOU,2,2022,0,2,2,0.3,0,0
IND,2,2022,1,5,0,0.8,0,0
JAX,2,2022,0,3,2,0.3,0,0
KC,2,2022,0,2,2,0.3,0,0
LA,2,2022,0,4,0,0.3,1,0
LAC,2,2022,0,2,2,0.3,0,0
LV,2,2022,0,2,1,0.3,1,0
MIA,2,2022,0,2,3,0.3,1,0
MIN,2,2022,1,5,0,0.8,0,0
NE,2,2022,0,1,4,0.3,0,0
NO,2,2022,0,3,2,0.3,0,0
NYG,2,2022,1,5,0,0.8,0,0
NYJ,2,2022,0,3,2,0.3,0,0
PHI,2,2022,1,5,0,0.8,0,0
PIT,2,2022,1,5,0,0.8,0,0
SEA,2,2022,1,5,0,0.8,0,0
SF,2,2022,1,5,0,0.8,0,0
TB,2,2022,0,2,2,0.3,1,0
TEN,2,2022,0,4,0,0.3,0,0
WAS,2,2022,1,5,0,0.8,0,0
ARI,3,2022,1,5,0,0.8,0,0
ATL,3,2022,0,2,2,0.3,0,0
BAL,3,2022,0,4,0,0.3,0,0
BUF,3,2022,0,4,0,0.3,0,0
CAR,3,2022,0,2,3,0.3,0,0
CHI,3,2022,1,5,0,0.8,0,0
CIN,3,2022,1,5,0,0.8,0,0
CLE,3,2022,0,4,0,0.3,0,0
DAL,3,2022,0,3,2,0.3,0,0
DEN,3,2022,0,3,2,0.3,0,0
DET,3,2022,1,5,0,0.8,0,0
GB,3,2022,0,4,0,0.3,0,0
HOU,3,2022,0,3,2,0.3,0,0
IND,3,2022,0,1,4,0.3,0,0
JAX,3,2022,1,5,0,0.8,0,0
KC,3,2022,0,2,3,0.3,0,0
LA,3,2022,0,3,2,0.3,1,0
LAC,3,2022,0,3,2,0.3,0,0
LV,3,2022,0,1,2,0.3,1,0
MIA,3,2022,0,0,5,0.3,1,0
MIN,3,2022,1,5,0,0.8,0,0
NE,3,2022,1,5,0,0.8,0,0
NO,3,2022,0,4,0,0.3,0,0
NYG,3,2022,0,3,0,0.3,0,0
NYJ,3,2022,0,3,2,0.3,0,0
PHI,3,2022,1,5,0,0.8,0,0
PIT,3,2022,1,5,0,0.8,0,0
SEA,3,2022,0,2,2,0.3,0,0
SF,3,2022,0,3,2,0.3,0,0
TB,3,2022,0,1,4,0.3,1,0
TEN,3,2022,0,4,0,0.3,0,0
WAS,3,2022,0,0,4,0.3,1,0
ARI,4,2022,0,1,3,0.3,0,0
