team,season,week,off_epa_per_play,def_epa_per_play,plays_offensive,plays_defensive,data_source
ARI,2022,1,0.0,0.0,0,0,no_data
ARI,2022,2,0.011699377559125423,0.3657108545303345,82,83,rolling
ARI,2022,3,0.025807993486523628,0.17257171869277954,182,165,rolling
ARI,2022,4,-0.01056697964668274,0.1427348405122757,281,229,rolling
ARI,2022,5,-0.025068948045372963,0.037791598588228226,370,295,rolling
ARI,2022,6,-0.017553389072418213,0.05168324336409569,455,380,rolling
ARI,2022,7,-0.04881805181503296,0.022843338549137115,540,467,rolling
ARI,2022,8,-0.02886403724551201,0.022933539003133774,625,559,rolling
ARI,2022,9,-0.02919774316251278,0.023384172469377518,720,649,rolling
ARI,2022,10,-0.040654927492141724,0.025863246992230415,804,738,rolling
ARI,2022,11,-0.03826990723609924,0.0046869912184774876,889,819,rolling
ARI,2022,12,-0.04566014185547829,0.028699489310383797,975,892,rolling
ARI,2022,13,-0.043734826147556305,0.027032019570469856,1057,973,rolling
ARI,2022,14,-0.043734826147556305,0.027032019570469856,1057,973,rolling
ARI,2022,15,-0.06443389505147934,0.015165350399911404,1146,1050,rolling
ARI,2022,16,-0.07259171456098557,0.008261709474027157,1227,1134,rolling
ARI,2022,17,-0.08122063428163528,-0.0010879059555009007,1323,1234,rolling
ARI,2022,18,-0.0781603530049324,-0.004507491365075111,1411,1314,rolling
ARI,2023,1,-0.09016202390193939,-0.0014895570930093527,1478,1393,previous_season
ARI,2023,2,-0.25008684396743774,-0.19955018162727356,76,89,rolling
ARI,2023,3,-0.06995265930891037,-0.0318385548889637,162,174,rolling
ARI,2023,4,0.021696489304304123,-0.0024157348088920116,239,270,rolling
ARI,2023,5,0.03659624606370926,0.07997714728116989,325,338,rolling
ARI,2023,6,-0.02077886089682579,0.0605446957051754,397,435,rolling
ARI,2023,7,-0.04577116668224335,0.05989020690321922,490,507,rolling
ARI,2023,8,-0.0604972243309021,0.05195297300815582,573,578,rolling
ARI,2023,9,-0.06575381755828857,0.048139628022909164,665,660,rolling
ARI,2023,10,-0.1095571368932724,0.0350482277572155,732,749,rolling
ARI,2023,11,-0.09698924422264099,0.0321698896586895,813,835,rolling
ARI,2023,12,-0.09305538982152939,0.027593744918704033,884,913,rolling
ARI,2023,13,-0.09821394085884094,0.042471714317798615,973,992,rolling
ARI,2023,14,-0.08646991848945618,0.02648504264652729,1056,1071,rolling
ARI,2023,15,-0.08646991848945618,0.02648504264652729,1056,1071,rolling
ARI,2023,16,-0.07570303231477737,0.04623853787779808,1148,1143,rolling
ARI,2023,17,-0.07267177850008011,0.05056915432214737,1226,1230,rolling
ARI,2023,18,-0.05096597969532013,0.05998332425951958,1315,1295,rolling
ARI,2024,1,-0.04300769045948982,0.06228123977780342,1403,1363,previous_season
ARI,2024,2,0.14116284251213074,0.19135740399360657,76,80,rolling
ARI,2024,3,0.2337215393781662,0.039650578051805496,156,146,rolling
ARI,2024,4,0.11694267392158508,0.022361434996128082,228,231,rolling
ARI,2024,5,0.07435785233974457,0.11608879268169403,300,315,rolling
ARI,2024,6,0.06327556073665619,0.08431592583656311,374,392,rolling
ARI,2024,7,0.030893942341208458,0.09809238463640213,449,483,rolling
ARI,2024,8,0.038120441138744354,0.09920456260442734,522,561,rolling
ARI,2024,9,0.06340061128139496,0.11139554530382156,605,639,rolling
ARI,2024,10,0.061182960867881775,0.07521142065525055,678,730,rolling
ARI,2024,11,0.08532872796058655,0.06462424248456955,749,798,rolling
ARI,2024,12,0.08532872796058655,0.06462424248456955,749,798,rolling
ARI,2024,13,0.06339693069458008,0.055957406759262085,821,875,rolling
ARI,2024,14,0.05896807089447975,0.053065456449985504,924,942,rolling
ARI,2024,15,0.044014472514390945,0.056314267218112946,1011,1025,rolling
ARI,2024,16,0.054277122020721436,0.05335752293467522,1094,1090,rolling
ARI,2024,17,0.05925145745277405,0.06274492293596268,1184,1179,rolling
ARI,2024,18,0.05036144703626633,0.05669424310326576,1277,1250,rolling
ARI,2025,1,0.06276989728212357,0.04973108693957329,1363,1343,previous_season
ARI,2025,2,0.016025027260184288,-0.09094731509685516,81,95,rolling
ARI,2025,3,0.0276778656989336,-0.04757970944046974,150,194,rolling
ARI,2025,4,0.01676664501428604,-0.040415599942207336,234,271,rolling
ARI,2025,5,0.01082959957420826,-0.016944361850619316,317,353,rolling
ARI,2025,6,-0.005166945513337851,-0.018581824377179146,404,435,rolling
ARI,2025,7,0.017162157222628593,0.00864574033766985,494,510,rolling
ARI,2025,8,0.020501716062426567,0.022987792268395424,582,582,rolling
ARI,2025,9,0.020501716062426567,0.022987792268395424,582,582,rolling
ARI,2025,10,0.020501716062426567,0.022987792268395424,582,582,rolling
ARI,2025,11,0.020501716062426567,0.022987792268395424,582,582,rolling
ARI,2025,12,0.020501716062426567,0.022987792268395424,582,582,rolling
ARI,2025,13,0.020501716062426567,0.022987792268395424,582,582,rolling
ARI,2025,14,0.020501716062426567,0.022987792268395424,582,582,rolling
ARI,2025,15,0.020501716062426567,0.022987792268395424,582,582,rolling
ARI,2025,16,0.020501716062426567,0.022987792268395424,582,582,rolling
ARI,2025,17,0.020501716062426567,0.022987792268395424,582,582,rolling
ARI,2025,18,0.020501716062426567,0.022987792268395424,582,582,rolling
ATL,2022,1,0.0,0.0,0,0,no_data
ATL,2022,2,0.011905268765985966,0.04101329669356346,98,77,rolling
ATL,2022,3,-0.052505575120449066,-0.022570308297872543,173,153,rolling
ATL,2022,4,0.04450502246618271,0.038376666605472565,243,240,rolling
ATL,2022,5,0.046646423637866974,0.026913251727819443,312,329,rolling
ATL,2022,6,0.037173960357904434,0.037148915231227875,394,419,rolling
ATL,2022,7,0.04064718633890152,0.010669340379536152,466,493,rolling
ATL,2022,8,0.03513726219534874,0.04379608854651451,528,576,rolling
ATL,2022,9,0.030231371521949768,0.03793786093592644,618,675,rolling
ATL,2022,10,0.020836343988776207,0.03208835422992706,693,758,rolling
ATL,2022,11,0.004259391222149134,0.02959098480641842,772,843,rolling
ATL,2022,12,0.007793092168867588,0.029355090111494064,841,930,rolling
ATL,2022,13,0.007528535556048155,0.03303268551826477,910,1006,rolling
ATL,2022,14,0.007657838519662619,0.036775946617126465,980,1090,rolling
ATL,2022,15,0.007657838519662619,0.036775946617126465,980,1090,rolling
ATL,2022,16,0.007656315807253122,0.03603978827595711,1069,1158,rolling
ATL,2022,17,-0.002883077599108219,0.0317428782582283,1151,1222,rolling
ATL,2022,18,-0.006416556425392628,0.027450712397694588,1231,1310,rolling
ATL,2023,1,-0.0022644910495728254,0.019297868013381958,1312,1382,previous_season
ATL,2023,2,-0.06448813527822495,-0.21329782903194427,69,91,rolling
ATL,2023,3,-0.004004760179668665,-0.09608118236064911,166,160,rolling
ATL,2023,4,-0.09809581190347672,-0.09870791435241699,250,243,rolling
ATL,2023,5,-0.11625177413225174,-0.051594968885183334,323,321,rolling
ATL,2023,6,-0.1013622060418129,-0.053192138671875,421,396,rolling
ATL,2023,7,-0.10735923796892166,-0.05092860385775566,520,461,rolling
ATL,2023,8,-0.09479488432407379,-0.05404258891940117,598,550,rolling
ATL,2023,9,-0.08464369177818298,-0.045601967722177505,685,638,rolling
ATL,2023,10,-0.083271823823452,-0.04230860620737076,776,730,rolling
ATL,2023,11,-0.07425545156002045,-0.036426275968551636,862,811,rolling
ATL,2023,12,-0.07425545156002045,-0.036426275968551636,862,811,rolling
ATL,2023,13,-0.06545428931713104,-0.03756650909781456,939,897,rolling
ATL,2023,14,-0.07439848780632019,-0.057408273220062256,1025,982,rolling
ATL,2023,15,-0.07375704497098923,-0.05309669300913811,1113,1070,rolling
ATL,2023,16,-0.08234643191099167,-0.06086190417408943,1177,1149,rolling
ATL,2023,17,-0.06920089572668076,-0.06684789806604385,1260,1234,rolling
ATL,2023,18,-0.07526601105928421,-0.05712680146098137,1336,1326,rolling
ATL,2024,1,-0.08694301545619965,-0.04381225258111954,1415,1415,previous_season
ATL,2024,2,-0.24301089346408844,-0.04055573046207428,69,84,rolling
ATL,2024,3,-0.04633720964193344,0.02479773946106434,142,170,rolling
ATL,2024,4,-0.03238486126065254,0.0454288087785244,218,257,rolling
ATL,2024,5,-0.003219160484150052,0.04601726680994034,291,348,rolling
ATL,2024,6,0.035953883081674576,0.07119300216436386,400,415,rolling
ATL,2024,7,0.06410635262727737,0.04386976361274719,482,501,rolling
ATL,2024,8,0.03134541213512421,0.06075837463140488,574,578,rolling
ATL,2024,9,0.04623313993215561,0.05802476033568382,650,669,rolling
ATL,2024,10,0.0433514378964901,0.04609270766377449,724,763,rolling
ATL,2024,11,0.03417001664638519,0.04081561043858528,818,833,rolling
ATL,2024,12,0.01683647185564041,0.06164824962615967,894,909,rolling
ATL,2024,13,0.01683647185564041,0.06164824962615967,894,909,rolling
ATL,2024,14,-0.0005623624892905354,0.04873783513903618,987,970,rolling
ATL,2024,15,-0.00047923639067448676,0.06742369383573532,1078,1050,rolling
ATL,2024,16,-0.013832353986799717,0.04141838103532791,1157,1133,rolling
ATL,2024,17,-0.008701244369149208,0.01659758947789669,1237,1211,rolling
ATL,2024,18,-0.002097544725984335,0.025339800864458084,1317,1311,rolling
ATL,2025,1,0.011400165036320686,0.043904535472393036,1412,1396,previous_season
ATL,2025,2,0.01088162325322628,0.07608795166015625,91,74,rolling
ATL,2025,3,0.011386890895664692,-0.13199633359909058,173,139,rolling
ATL,2025,4,-0.1119852140545845,-0.0640200600028038,253,211,rolling
ATL,2025,5,-0.03265063837170601,-0.0037521428894251585,336,285,rolling
ATL,2025,6,-0.03265063837170601,-0.0037521428894251585,336,285,rolling
ATL,2025,7,-0.014954308047890663,-0.02047836408019066,423,356,rolling
ATL,2025,8,-0.024570384994149208,-0.008965118788182735,500,434,rolling
ATL,2025,9,-0.04858599603176117,0.02099495567381382,566,518,rolling
ATL,2025,10,-0.04858599603176117,0.02099495567381382,566,518,rolling
ATL,2025,11,-0.04858599603176117,0.02099495567381382,566,518,rolling
ATL,2025,12,-0.04858599603176117,0.02099495567381382,566,518,rolling
ATL,2025,13,-0.04858599603176117,0.02099495567381382,566,518,rolling
ATL,2025,14,-0.04858599603176117,0.02099495567381382,566,518,rolling
ATL,2025,15,-0.04858599603176117,0.02099495567381382,566,518,rolling
ATL,2025,16,-0.04858599603176117,0.02099495567381382,566,518,rolling
ATL,2025,17,-0.04858599603176117,0.02099495567381382,566,518,rolling
ATL,2025,18,-0.04858599603176117,0.02099495567381382,566,518,rolling
BAL,2022,1,0.0,0.0,0,0,no_data
BAL,2022,2,0.016642753034830093,-0.1953902244567871,70,99,rolling
BAL,2022,3,0.16227343678474426,0.05582026019692421,146,186,rolling
BAL,2022,4,0.1658257097005844,0.02650405652821064,222,267,rolling
BAL,2022,5,0.1092568039894104,0.02411867305636406,309,345,rolling
BAL,2022,6,0.09232305735349655,0.016699165105819702,388,420,rolling
BAL,2022,7,0.07837986946105957,0.020390093326568604,464,501,rolling
BAL,2022,8,0.07126328349113464,0.019634995609521866,543,577,rolling
BAL,2022,9,0.08417528867721558,0.02751161903142929,636,663,rolling
BAL,2022,10,0.08840382099151611,0.01058280374854803,718,732,rolling
BAL,2022,11,0.08840382099151611,0.01058280374854803,718,732,rolling
BAL,2022,12,0.06487231701612473,-0.01707560569047928,804,804,rolling
