season,week,team,games_played,points_per_game,points_allowed_per_game,point_diff_per_game,home_points_per_game,away_points_per_game,home_points_allowed,away_points_allowed,recent_points,recent_allowed,wins,losses,win_pct
2022,1,TB,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,IND,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,CLE,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,ARI,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,JAX,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,LAR,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,DAL,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,KC,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,NE,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,PHI,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,BAL,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,CIN,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,BUF,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,LV,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,LAC,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,DET,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,SEA,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,HOU,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,PIT,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,NO,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,MIN,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,SF,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,TEN,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,MIA,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,GB,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,CAR,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
2022,1,NYJ,0,21.0,21.0,0.0,24.0,20.0,20.0,24.0,21.0,21.0,0,0,0.5
