season,week,away,home,spread_line,total_line,gameday,away_score,home_score
2025,1,DAL,PHI,8.5,47.5,2025-09-04,20.0,24.0
2025,1,KC,LAC,-3.0,47.5,2025-09-05,21.0,27.0
2025,1,TB,ATL,-1.5,47.5,2025-09-07,23.0,20.0
2025,1,CIN,CLE,-5.5,47.5,2025-09-07,17.0,16.0
2025,1,MIA,IND,1.5,47.5,2025-09-07,8.0,33.0
2025,1,CAR,JAX,4.5,45.5,2025-09-07,10.0,26.0
2025,1,LV,NE,2.5,44.5,2025-09-07,20.0,13.0
2025,1,ARI,NO,-6.0,44.5,2025-09-07,20.0,13.0
2025,1,PIT,NYJ,-3.0,37.5,2025-09-07,34.0,32.0
2025,1,NYG,WAS,6.0,45.5,2025-09-07,6.0,21.0
2025,1,TEN,DEN,8.5,42.5,2025-09-07,12.0,20.0
2025,1,SF,SEA,-2.5,43.5,2025-09-07,17.0,13.0
2025,1,DET,GB,1.5,48.5,2025-09-07,13.0,27.0
2025,1,HOU,LAR,3.5,43.5,2025-09-07,9.0,14.0
2025,1,BAL,BUF,-1.5,50.5,2025-09-07,40.0,41.0
2025,1,MIN,CHI,-1.5,43.5,2025-09-08,27.0,24.0
2025,2,WAS,GB,3.5,48.5,2025-09-11,18.0,27.0
2025,2,CLE,BAL,12.5,46.5,2025-09-14,17.0,41.0
2025,2,JAX,CIN,3.5,49.5,2025-09-14,27.0,31.0
2025,2,NYG,DAL,4.5,44.5,2025-09-14,37.0,40.0
2025,2,CHI,DET,6.0,46.5,2025-09-14,21.0,52.0
2025,2,NE,MIA,1.5,43.5,2025-09-14,33.0,27.0
2025,2,SF,NO,-3.0,40.5,2025-09-14,26.0,21.0
2025,2,BUF,NYJ,-6.0,47.5,2025-09-14,30.0,10.0
2025,2,SEA,PIT,3.5,40.5,2025-09-14,31.0,17.0
2025,2,LAR,TEN,-5.5,41.5,2025-09-14,33.0,19.0
2025,2,CAR,ARI,7.0,45.5,2025-09-14,22.0,27.0
2025,2,DEN,IND,-2.5,43.5,2025-09-14,28.0,29.0
2025,2,PHI,KC,-1.5,46.5,2025-09-14,20.0,17.0
2025,2,ATL,MIN,3.5,44.5,2025-09-14,22.0,6.0
2025,2,TB,HOU,2.5,42.5,2025-09-15,20.0,19.0
2025,2,LAC,LV,-3.5,46.5,2025-09-15,20.0,9.0
2025,3,MIA,BUF,12.5,50.5,2025-09-18,21.0,31.0
2025,3,ATL,CAR,-5.5,44.5,2025-09-21,0.0,30.0
2025,3,GB,CLE,-8.5,41.5,2025-09-21,10.0,13.0
2025,3,HOU,JAX,1.5,43.5,2025-09-21,10.0,17.0
2025,3,CIN,MIN,3.0,41.5,2025-09-21,10.0,48.0
2025,3,PIT,NE,-1.5,44.5,2025-09-21,21.0,14.0
2025,3,LAR,PHI,3.5,45.5,2025-09-21,26.0,33.0
2025,3,NYJ,TB,6.5,43.5,2025-09-21,27.0,29.0
2025,3,IND,TEN,-6.0,43.5,2025-09-21,41.0,20.0
2025,3,LV,WAS,2.5,43.5,2025-09-21,24.0,41.0
2025,3,DEN,LAC,2.5,45.5,2025-09-21,20.0,23.0
2025,3,NO,SEA,7.5,41.5,2025-09-21,13.0,44.0
2025,3,DAL,CHI,-1.5,49.5,2025-09-21,14.0,31.0
2025,3,ARI,SF,1.5,44.5,2025-09-21,15.0,16.0
2025,3,KC,NYG,-6.0,44.5,2025-09-21,22.0,9.0
2025,3,DET,BAL,4.5,53.5,2025-09-22,38.0,30.0
2025,4,SEA,ARI,-1.5,43.5,2025-09-25,23.0,20.0
2025,4,MIN,PIT,-2.5,41.5,2025-09-28,21.0,24.0
2025,4,WAS,ATL,2.5,43.5,2025-09-28,27.0,34.0
2025,4,NO,BUF,15.5,48.5,2025-09-28,19.0,31.0
2025,4,CLE,DET,10.0,44.5,2025-09-28,10.0,34.0
2025,4,TEN,HOU,7.5,39.5,2025-09-28,0.0,26.0
2025,4,CAR,NE,5.5,42.5,2025-09-28,13.0,42.0
2025,4,LAC,NYG,-6.0,43.5,2025-09-28,18.0,21.0
2025,4,PHI,TB,-3.5,44.5,2025-09-28,31.0,25.0
2025,4,IND,LAR,3.5,49.5,2025-09-28,20.0,27.0
2025,4,JAX,SF,3.5,45.5,2025-09-28,26.0,21.0
2025,4,BAL,KC,-2.5,48.5,2025-09-28,20.0,37.0
2025,4,CHI,LV,1.5,47.5,2025-09-28,25.0,24.0
2025,4,GB,DAL,-7.0,47.5,2025-09-28,40.0,40.0
2025,4,NYJ,MIA,2.5,44.5,2025-09-29,21.0,27.0
2025,4,CIN,DEN,7.5,44.5,2025-09-29,3.0,28.0
2025,5,SF,LAR,8.5,43.5,2025-10-02,26.0,23.0
2025,5,MIN,CLE,-3.5,35.5,2025-10-05,21.0,17.0
2025,5,HOU,BAL,-2.5,41.5,2025-10-05,44.0,10.0
2025,5,MIA,CAR,-1.5,44.5,2025-10-05,24.0,27.0
2025,5,LV,IND,7.0,46.5,2025-10-05,6.0,40.0
2025,5,NYG,NO,1.5,41.5,2025-10-05,14.0,26.0
2025,5,DAL,NYJ,1.5,48.5,2025-10-05,37.0,22.0
2025,5,DEN,PHI,3.5,44.5,2025-10-05,21.0,17.0
