game_id,season,week,gameday,away_team,home_team,away_ol_grade,home_ol_grade,away_dl_grade,home_dl_grade,pressure_edge_away,pressure_edge_home,net_pressure_advantage,spread_line,total_line,away_score,home_score,actual_spread,point_differential,spread_result,total_result
2022_01_BUF_LA,2022,1,2022-09-08,BUF,LA,64.1,62.0,78.8,67.1,16.799999999999997,3.0,-13.799999999999997,-1.0,51.5,31.0,10.0,-21.0,-21.0,AWAY_COVER,UNDER
2022_01_NO_ATL,2022,1,2022-09-11,NO,ATL,61.7,73.2,67.0,54.1,-6.200000000000003,-7.600000000000001,-1.3999999999999986,-6.0,43.5,27.0,26.0,-1.0,-1.0,HOME_COVER,OVER
2022_01_SF_CHI,2022,1,2022-09-11,SF,CHI,74.4,68.2,76.4,52.2,8.200000000000003,-22.200000000000003,-30.400000000000006,-6.5,38.0,10.0,19.0,9.0,9.0,HOME_COVER,UNDER
2022_01_PIT_CIN,2022,1,2022-09-11,PIT,CIN,69.5,56.1,67.6,70.8,11.499999999999993,1.2999999999999972,-10.199999999999996,7.5,44.5,23.0,20.0,-3.0,-3.0,AWAY_COVER,UNDER
2022_01_PHI_DET,2022,1,2022-09-11,PHI,DET,84.9,63.4,90.1,71.2,26.699999999999996,-13.700000000000003,-40.4,-6.0,49.0,38.0,35.0,-3.0,-3.0,HOME_COVER,OVER
2022_01_NE_MIA,2022,1,2022-09-11,NE,MIA,72.5,59.2,73.5,80.4,14.299999999999997,7.900000000000006,-6.3999999999999915,3.0,47.0,7.0,20.0,13.0,13.0,HOME_COVER,UNDER
2022_01_JAX_WAS,2022,1,2022-09-11,JAX,WAS,72.8,61.7,76.5,71.9,14.799999999999997,-0.8999999999999915,-15.699999999999989,3.0,43.5,22.0,28.0,6.0,6.0,HOME_COVER,OVER
2022_01_LV_LAC,2022,1,2022-09-11,LV,LAC,73.0,67.0,69.4,68.2,2.4000000000000057,-4.799999999999997,-7.200000000000003,3.5,52.5,19.0,24.0,5.0,5.0,HOME_COVER,UNDER
2022_01_GB_MIN,2022,1,2022-09-11,GB,MIN,77.6,66.6,71.5,75.2,4.900000000000006,-2.3999999999999915,-7.299999999999997,2.5,47.0,7.0,23.0,16.0,16.0,HOME_COVER,UNDER
2022_01_NYG_TEN,2022,1,2022-09-11,NYG,TEN,62.0,52.4,68.8,71.8,16.4,9.799999999999997,-6.600000000000001,5.5,43.5,21.0,20.0,-1.0,-1.0,AWAY_COVER,UNDER
