team,week,pass_rush_grade,pressures,sacks
KC,1,67,21,4
KC,2,68,22,5
KC,3,69,23,6
KC,4,70,24,3
KC,5,66,25,4
KC,6,67,26,5
KC,7,68,27,6
KC,8,69,28,3
KC,9,70,29,4
BUF,1,85,21,4
BUF,2,86,22,5
BUF,3,87,23,6
BUF,4,88,24,3
BUF,5,84,25,4
BUF,6,85,26,5
BUF,7,86,27,6
BUF,8,87,28,3
BUF,9,88,29,4
SF,1,87,21,4
SF,2,88,22,5
SF,3,89,23,6
SF,4,90,24,3
SF,5,86,25,4
SF,6,87,26,5
SF,7,88,27,6
SF,8,89,28,3
SF,9,90,29,4
PHI,1,70,21,4
PHI,2,71,22,5
PHI,3,72,23,6
PHI,4,73,24,3
PHI,5,69,25,4
PHI,6,70,26,5
PHI,7,71,27,6
PHI,8,72,28,3
PHI,9,73,29,4
DAL,1,66,21,4
DAL,2,67,22,5
DAL,3,68,23,6
DAL,4,69,24,3
DAL,5,65,25,4
DAL,6,66,26,5
DAL,7,67,27,6
DAL,8,68,28,3
DAL,9,69,29,4
MIA,1,67,21,4
MIA,2,68,22,5
MIA,3,69,23,6
MIA,4,70,24,3
MIA,5,66,25,4
MIA,6,67,26,5
MIA,7,68,27,6
MIA,8,69,28,3
MIA,9,70,29,4
BAL,1,68,21,4
BAL,2,69,22,5
BAL,3,70,23,6
BAL,4,71,24,3
BAL,5,67,25,4
BAL,6,68,26,5
BAL,7,69,27,6
BAL,8,70,28,3
BAL,9,71,29,4
CIN,1,72,21,4
CIN,2,73,22,5
CIN,3,74,23,6
CIN,4,75,24,3
CIN,5,71,25,4
CIN,6,72,26,5
CIN,7,73,27,6
CIN,8,74,28,3
CIN,9,75,29,4
