team,week,pass_block_grade,pressures_allowed,sacks_allowed
KC,1,63,16,3
KC,2,64,17,4
KC,3,65,18,2
KC,4,66,19,3
KC,5,62,20,4
KC,6,63,21,2
KC,7,64,22,3
KC,8,65,15,4
KC,9,66,16,2
BUF,1,74,16,3
BUF,2,75,17,4
BUF,3,76,18,2
BUF,4,77,19,3
BUF,5,73,20,4
BUF,6,74,21,2
BUF,7,75,22,3
BUF,8,76,15,4
BUF,9,77,16,2
SF,1,89,16,3
SF,2,90,17,4
SF,3,91,18,2
SF,4,92,19,3
SF,5,88,20,4
SF,6,89,21,2
SF,7,90,22,3
SF,8,91,15,4
SF,9,92,16,2
PHI,1,82,16,3
PHI,2,83,17,4
PHI,3,84,18,2
PHI,4,85,19,3
PHI,5,81,20,4
PHI,6,82,21,2
PHI,7,83,22,3
PHI,8,84,15,4
PHI,9,85,16,2
DAL,1,74,16,3
DAL,2,75,17,4
DAL,3,76,18,2
DAL,4,77,19,3
DAL,5,73,20,4
DAL,6,74,21,2
DAL,7,75,22,3
DAL,8,76,15,4
DAL,9,77,16,2
MIA,1,69,16,3
MIA,2,70,17,4
MIA,3,71,18,2
MIA,4,72,19,3
MIA,5,68,20,4
MIA,6,69,21,2
MIA,7,70,22,3
MIA,8,71,15,4
MIA,9,72,16,2
BAL,1,83,16,3
BAL,2,84,17,4
BAL,3,85,18,2
BAL,4,86,19,3
BAL,5,82,20,4
BAL,6,83,21,2
BAL,7,84,22,3
BAL,8,85,15,4
BAL,9,86,16,2
CIN,1,90,16,3
CIN,2,91,17,4
CIN,3,92,18,2
CIN,4,93,19,3
CIN,5,89,20,4
CIN,6,90,21,2
CIN,7,91,22,3
CIN,8,92,15,4
CIN,9,93,16,2
