game_id,season,week,away_team,home_team,spread_line,total_line,spread_mean,total_mean,spread_sd,total_sd,spread_raw,spread_raw_sd,total_raw,total_raw_sd,p_home_cover,p_away_cover,p_over,p_under,p_home_cover_centered,p_over_centered,calibration_method,spread_bet,spread_edge,spread_conviction,total_bet,total_edge,total_conviction,actual_home_score,actual_away_score,actual_spread,actual_total,spread_result,total_result
2022_01_BUF_LA,2022,1,BUF,LA,-1.0,51.5,-1.06754216498006,51.56754216498007,19.364843141460486,18.837436410438087,-4.91,12.32403748777161,32.61,11.990742262262165,0.441822960921023,0.558177039078977,0.29590284759666996,0.70409715240333,0.5,0.47,linear,AWAY,0.034177039078976956,MEDIUM,UNDER,0.18009715240333002,HIGH,10.0,31.0,-21.0,41.0,1.0,1.0
2022_01_NO_ATL,2022,1,NO,ATL,-6.0,43.5,-5.95150179051029,43.5484982094897,13.219522607303063,15.25340121780426,8.85,10.22386913061782,33.51,11.819048185027421,0.8601807543489375,0.13981924565106252,0.569987878074546,0.430012121925454,0.47,0.48,linear,HOME,0.25,HIGH,OVER,0.04598787807454596,MEDIUM,26.0,27.0,-1.0,53.0,1.0,1.0
2022_01_CLE_CAR,2022,1,CLE,CAR,2.5,42.5,2.0912179725213487,42.90878202747866,16.99954920547336,16.65707148596482,-7.05,11.173517798795507,26.93,10.866696830223985,0.27960366492134237,0.7203963350786576,0.475309454559951,0.524690545440049,0.6,0.55,linear,AWAY,0.1963963350786576,HIGH,UNDER,0.0006905454400489841,LOW,24.0,26.0,-2.0,50.0,1.0,0.0
2022_01_SF_CHI,2022,1,SF,CHI,-6.5,38.0,-6.499999999999999,38.00000000000001,14.14813391362437,9.752286604587058,-7.86,12.0482529853917,32.36,8.3048419611694,0.5663111143030407,0.4336888856969593,0.7979043494585507,0.2020956505414493,0.53,0.5,linear,HOME,0.04231111430304069,MEDIUM,OVER,0.25,HIGH,19.0,10.0,9.0,29.0,1.0,0.0
2022_01_PIT_CIN,2022,1,PIT,CIN,7.5,44.5,7.6834450963956415,44.683445096395644,18.4299338753247,21.68068027472974,7.3,9.997499687421852,23.86,11.775415066994455,0.36947153486004336,0.6305284651399566,0.3535094637873275,0.6464905362126725,0.38,0.54,linear,AWAY,0.10652846513995662,HIGH,UNDER,0.12249053621267247,HIGH,20.0,23.0,-3.0,43.0,1.0,1.0
2022_01_PHI_DET,2022,1,PHI,DET,-6.0,49.0,-6.000000000000011,49.00000000000001,13.871110399061122,12.317879256378358,3.52,13.20869410653453,46.66,11.729637675563554,0.7278796349973922,0.27212036500260783,0.6364302698197508,0.3635697301802492,0.52,0.49,linear,HOME,0.20387963499739215,HIGH,OVER,0.1124302698197508,HIGH,35.0,38.0,-3.0,73.0,1.0,1.0
2022_01_IND_HOU,2022,1,IND,HOU,-7.0,46.0,-7.0,45.99999999999998,18.761492477945353,19.361983369479482,-4.04,9.380746238972677,17.28,9.680991684739741,0.6915670468891191,0.3084329531108809,0.158602063783859,0.841397936216141,0.52,0.37,linear,HOME,0.16756704688911905,HIGH,UNDER,0.25,HIGH,20.0,20.0,0.0,40.0,1.0,1.0
2022_01_NE_MIA,2022,1,NE,MIA,3.0,47.0,3.0476102023842486,47.04761020238424,14.517853321303024,14.444875712574868,15.61,11.19990624960763,36.07,11.165352659007237,0.7012428799789219,0.2987571200210781,0.5016425208748373,0.4983574791251627,0.43,0.44,linear,HOME,0.17724287997892185,HIGH,,0.0,,20.0,7.0,13.0,27.0,1.0,
2022_01_BAL_NYJ,2022,1,BAL,NYJ,-6.5,44.0,-6.614648629655645,44.114648629655655,15.161812380990243,15.718834351667674,-14.62,9.946637622835166,28.46,10.30089316515806,0.4263033753477443,0.5736966246522557,0.4498111158696586,0.5501888841303414,0.54,0.39,linear,AWAY,0.04969662465225566,MEDIUM,UNDER,0.026188884130341372,LOW,9.0,24.0,-15.0,33.0,1.0,1.0
2022_01_JAX_WAS,2022,1,JAX,WAS,3.0,43.5,2.507934485896264,43.99206551410372,19.025804097380348,17.750515689790895,-7.7,9.864583113340371,21.98,9.368009393675907,0.22668039173473864,0.7733196082652614,0.3155083692126557,0.6844916307873443,0.57,0.5,linear,AWAY,0.24931960826526134,HIGH,UNDER,0.1604916307873443,HIGH,28.0,22.0,6.0,50.0,0.0,0.0
2022_01_KC_ARI,2022,1,KC,ARI,-6.0,54.0,-6.120203274985882,54.120203274985876,16.160935945948914,13.786394326153378,-20.82,10.795721374692846,35.42,9.193671736580548,0.29273178206024886,0.7072682179397511,0.21279426391788958,0.7872057360821104,0.39,0.41,linear,AWAY,0.18326821793975112,HIGH,UNDER,0.25,HIGH,21.0,44.0,-23.0,65.0,1.0,0.0
2022_01_LV_LAC,2022,1,LV,LAC,3.5,52.5,3.4096905222437157,52.59030947775628,18.516170268765265,15.666350322015282,-5.1,11.060289327137875,31.02,9.29621428324455,0.28104474247296596,0.718955257527034,0.18489172540284016,0.8151082745971598,0.53,0.45,linear,AWAY,0.19495525752703402,HIGH,UNDER,0.25,HIGH,24.0,19.0,5.0,43.0,0.0,1.0
2022_01_GB_MIN,2022,1,GB,MIN,2.5,47.0,2.674987876688602,47.17498787668861,17.43336147926377,16.105566312141313,8.41,10.876667688221426,28.87,10.075370960912556,0.5838122205015203,0.41618777949847974,0.34329686709169693,0.6567031329083031,0.47,0.45,linear,HOME,0.05981222050152024,MEDIUM,UNDER,0.13270313290830305,HIGH,23.0,7.0,16.0,30.0,1.0,1.0
2022_01_NYG_TEN,2022,1,NYG,TEN,5.5,43.5,5.500000000000004,43.49999999999998,19.509372106759358,18.92954304783927,2.69,9.754686053379679,20.09,9.464771523919635,0.34223544625432034,0.6577645537456797,0.277793878401563,0.722206121598437,0.46,0.46,linear,AWAY,0.13376455374567964,HIGH,UNDER,0.19820612159843698,HIGH,20.0,21.0,-1.0,41.0,1.0,1.0
2022_01_TB_DAL,2022,1,TB,DAL,-2.5,49.5,-2.4433582787651984,49.55664172123481,17.366532368920144,16.460975932667562,5.05,11.284834956701848,32.07,10.744538147356543,0.6833405108205953,0.3166594891794047,0.32961698680035756,0.6703830131996424,0.5,0.48,linear,HOME,0.1593405108205953,HIGH,UNDER,0.14638301319964242,HIGH,3.0,19.0,-16.0,22.0,0.0,1.0
