game_id,season,week,away_team,home_team,spread_line,total_line,spread_mean,total_mean,spread_sd,total_sd,spread_raw,spread_raw_sd,total_raw,total_raw_sd,p_home_cover,p_away_cover,p_over,p_under,p_home_cover_centered,p_over_centered,calibration_method,spread_bet,spread_edge,spread_conviction,total_bet,total_edge,total_conviction,actual_home_score,actual_away_score,actual_spread,actual_total,home_covered,spread_result,over_hit,total_result
2025_01_DAL_PHI,2025,1,DAL,PHI,8.5,47.5,8.394310838720628,47.60568916127937,16.451940976798266,14.558983123399818,-8.1755,12.357738456125375,35.3455,10.945324561199635,0.01,0.99,0.4489795918367347,0.5510204081632653,0.5435,0.4295,isotonic,AWAY,0.46599999999999997,HIGH,UNDER,0.02702040816326523,LOW,24.0,20.0,4.0,44.0,0.0,1.0,0.0,1.0
2025_01_KC_LAC,2025,1,KC,LAC,-3.0,47.5,-3.002920505552275,47.50292050555227,12.124618342026002,12.10038291402557,-8.3555,11.464559291573314,44.8915,11.442278083930665,0.4857142857142857,0.5142857142857142,0.6363636363636364,0.36363636363636365,0.536,0.515,isotonic,,0.0,,OVER,0.11236363636363633,HIGH,27.0,21.0,6.0,48.0,1.0,,1.0,1.0
2025_01_TB_ATL,2025,1,TB,ATL,-1.5,47.5,-1.5291950797483742,47.52919507974839,16.49946195257621,15.502062379885317,-3.4485,11.326223896338973,32.5085,10.638464539114656,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.5075,0.487,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,20.0,23.0,-3.0,43.0,0.0,,0.0,1.0
2025_01_CIN_CLE,2025,1,CIN,CLE,-5.5,47.5,-5.500000000000002,47.5,16.411109621229148,16.500550021135655,-5.5295,8.205554810614576,12.1465,8.25027501056783,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.4685,0.5005,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,16.0,17.0,-1.0,33.0,1.0,,0.0,1.0
2025_01_MIA_IND,2025,1,MIA,IND,1.5,47.5,1.542596596990069,47.54259659699007,15.679148545908205,13.390114333376149,14.0805,12.561171113793492,37.8415,10.729136859505521,0.9746685289387077,0.0253314710612923,0.4666666666666667,0.5333333333333333,0.445,0.522,isotonic,HOME,0.4506685289387077,HIGH,UNDER,0.009333333333333305,LOW,33.0,8.0,25.0,41.0,1.0,1.0,0.0,1.0
2025_01_CAR_JAX,2025,1,CAR,JAX,4.5,45.5,4.4999999999999964,45.5,21.192018096443764,19.526863316979508,2.7315,10.596009048221882,20.4265,9.763431658489756,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.502,0.535,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,26.0,10.0,16.0,36.0,1.0,,0.0,1.0
2025_01_LV_NE,2025,1,LV,NE,2.5,44.5,2.5912167341035994,44.591216734103604,14.4471784331578,13.601243922176135,18.7305,10.67632285714515,32.4995,10.057633904154596,0.99,0.010000000000000009,0.4489795918367347,0.5510204081632653,0.5335,0.496,isotonic,HOME,0.46599999999999997,HIGH,UNDER,0.02702040816326523,LOW,13.0,20.0,-7.0,33.0,0.0,0.0,0.0,1.0
2025_01_ARI_NO,2025,1,ARI,NO,-6.0,44.5,-5.8172900000000025,44.68271,18.17293881918662,19.535323190720447,1.106,9.201454450248614,19.805,9.84834884638029,0.7777777777777778,0.2222222222222222,0.4489795918367347,0.5510204081632653,0.482,0.533,isotonic,HOME,0.25377777777777777,HIGH,UNDER,0.02702040816326523,LOW,13.0,20.0,-7.0,33.0,0.0,0.0,0.0,1.0
2025_01_PIT_NYJ,2025,1,PIT,NYJ,-3.0,37.5,-3.1470374999999935,37.6470375,17.84229903869156,18.942776339177257,-4.14,9.004243444065692,17.417,9.555213812364432,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.5305,0.427,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,32.0,34.0,-2.0,66.0,1.0,,1.0,0.0
2025_01_NYG_WAS,2025,1,NYG,WAS,6.0,45.5,6.2618137496332364,45.761813749633234,19.95863915452362,18.260849162337724,11.159,10.678329410539835,23.857,9.779956594995706,0.7777777777777778,0.2222222222222222,0.4489795918367347,0.5510204081632653,0.49,0.5245,isotonic,HOME,0.25377777777777777,HIGH,UNDER,0.02702040816326523,LOW,21.0,6.0,15.0,27.0,1.0,1.0,0.0,1.0
2025_01_TEN_DEN,2025,1,TEN,DEN,8.5,42.5,8.529686115506326,42.52968611550634,19.34940823745898,19.838032328731842,4.69,9.803412671105914,21.488,10.049122150715455,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.5075,0.4125,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,20.0,12.0,8.0,32.0,0.0,,0.0,1.0
2025_01_SF_SEA,2025,1,SF,SEA,-2.5,43.5,-2.485386406147456,43.514613593852545,12.575932368879092,10.992235141692502,2.957,13.251269788212749,45.71,11.56995678470754,0.7777777777777778,0.2222222222222222,0.99,0.010000000000000009,0.5185,0.465,isotonic,HOME,0.25377777777777777,HIGH,OVER,0.46599999999999997,HIGH,13.0,17.0,-4.0,30.0,0.0,0.0,0.0,0.0
2025_01_DET_GB,2025,1,DET,GB,1.5,48.5,1.4963463027477146,48.50365369725229,14.090055538071738,11.558149571129949,0.6215,13.683319690411388,47.0755,11.22456234113384,0.4857142857142857,0.5142857142857142,0.6363636363636364,0.36363636363636365,0.45,0.534,isotonic,,0.0,,OVER,0.11236363636363633,HIGH,27.0,13.0,14.0,40.0,1.0,,0.0,0.0
2025_01_HOU_LA,2025,1,HOU,LA,3.5,43.5,3.5013487099372207,43.501348709937226,11.208281912331058,9.991486462082198,16.5365,13.27955826637317,51.5285,11.8405315653479,0.7777777777777778,0.2222222222222222,0.99,0.010000000000000009,0.5185,0.504,isotonic,HOME,0.25377777777777777,HIGH,OVER,0.46599999999999997,HIGH,14.0,9.0,5.0,23.0,1.0,1.0,0.0,0.0
2025_01_BAL_BUF,2025,1,BAL,BUF,-1.5,50.5,-1.4854804432710653,50.514519556728935,14.390385508962025,12.004634755913987,4.981,12.87014525947551,45.074,10.74027578789297,0.7777777777777778,0.2222222222222222,0.59375,0.40625,0.5275,0.4595,isotonic,HOME,0.25377777777777777,HIGH,OVER,0.06974999999999998,HIGH,41.0,40.0,1.0,81.0,1.0,1.0,1.0,1.0
2025_01_MIN_CHI,2025,1,MIN,CHI,-1.5,43.5,-1.1315561800910572,43.86844381990893,15.617349566363885,15.558956289097642,17.1355,9.951740538719848,26.6865,9.890865369117103,0.99,0.010000000000000009,0.4489795918367347,0.5510204081632653,0.4735,0.5475,isotonic,HOME,0.46599999999999997,HIGH,UNDER,0.02702040816326523,LOW,24.0,27.0,-3.0,51.0,0.0,0.0,1.0,0.0
2025_02_WAS_GB,2025,2,WAS,GB,3.5,48.5,3.499513355702982,48.50048664429703,11.118543534574696,9.914068453956506,3.447,13.44351854984401,58.636,11.98722253067824,0.4857142857142857,0.5142857142857142,0.99,0.010000000000000009,0.497,0.501,isotonic,,0.0,,OVER,0.46599999999999997,HIGH,27.0,18.0,9.0,45.0,1.0,,0.0,0.0
2025_02_CLE_BAL,2025,2,CLE,BAL,12.5,46.5,12.500000000000002,46.50000000000001,8.156316284086587,8.505082157580194,44.3165,9.628049010573221,54.8905,10.03974649829367,0.99,0.010000000000000009,0.99,0.010000000000000009,0.498,0.569,isotonic,HOME,0.46599999999999997,HIGH,OVER,0.46599999999999997,HIGH,41.0,17.0,24.0,58.0,1.0,1.0,1.0,1.0
2025_02_JAX_CIN,2025,2,JAX,CIN,3.5,49.5,3.3777771994627264,49.62222280053727,17.155924085188992,15.999243468433123,-11.953,11.471172172014509,32.758,10.738968106852726,0.01,0.99,0.4489795918367347,0.5510204081632653,0.486,0.4935,isotonic,AWAY,0.46599999999999997,HIGH,UNDER,0.02702040816326523,LOW,31.0,27.0,4.0,58.0,1.0,0.0,1.0,0.0
2025_02_NYG_DAL,2025,2,NYG,DAL,4.5,44.5,4.499999999999995,44.499999999999986,19.138132589153,18.801013563103453,3.4295,9.569066294576498,17.7085,9.400506781551726,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.4955,0.4255,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,40.0,37.0,3.0,77.0,0.0,,1.0,0.0
2025_02_CHI_DET,2025,2,CHI,DET,6.0,46.5,6.3317152314756555,46.831715231475656,19.359345703173656,18.661787640581164,15.193,10.217277083450364,23.847,9.84106655805152,0.7777777777777778,0.2222222222222222,0.4489795918367347,0.5510204081632653,0.453,0.511,isotonic,HOME,0.25377777777777777,HIGH,UNDER,0.02702040816326523,LOW,52.0,21.0,31.0,73.0,1.0,1.0,1.0,0.0
2025_02_NE_MIA,2025,2,NE,MIA,1.5,43.5,1.4999999999999973,43.500000000000014,14.478457065585406,14.972135418837222,-2.8295,7.239228532792704,9.1905,7.48606770941861,0.28932229262511977,0.7106777073748802,0.4489795918367347,0.5510204081632653,0.5115,0.436,isotonic,AWAY,0.1866777073748802,HIGH,UNDER,0.02702040816326523,LOW,27.0,33.0,-6.0,60.0,0.0,1.0,1.0,0.0
2025_02_SF_NO,2025,2,SF,NO,-3.0,40.5,-3.0102053307008854,40.51020533070089,11.699640752757336,11.295413736858755,-18.9985,11.869856686160958,41.0265,11.465112199625436,0.01,0.99,0.9613784790801074,0.03862152091989257,0.484,0.5305,isotonic,AWAY,0.46599999999999997,HIGH,OVER,0.4373784790801074,HIGH,21.0,26.0,-5.0,47.0,0.0,1.0,1.0,1.0
2025_02_BUF_NYJ,2025,2,BUF,NYJ,-6.0,47.5,-6.015568408456321,47.515568408456325,14.644992278343883,12.872522498612382,-19.368,11.624567776911105,37.605,10.212246324878773,0.05935886765472706,0.9406411323452729,0.4666666666666667,0.5333333333333333,0.4595,0.495,isotonic,AWAY,0.4166411323452729,HIGH,UNDER,0.009333333333333305,LOW,10.0,30.0,-20.0,40.0,0.0,1.0,0.0,1.0
