game_id,season,week,away_team,home_team,market_spread,market_total,our_spread,our_total,raw_spread,raw_total,p_home_cover,p_away_cover,p_over,p_under,p_home_win,spread_bet,spread_confidence,total_bet,total_confidence,moneyline_bet,actual_home,actual_away,actual_margin,actual_total,spread_win,total_win,ml_win
BUF@LA_W1,2022,1,BUF,LA,-1.0,51.5,-1.0,51.5,3.8,26.4,0.505,0.495,0.52,0.48,0.48,Pass,0.505,Pass,0.52,Pass,10.0,31.0,-21.0,41.0,,,
NO@ATL_W1,2022,1,NO,ATL,-6.0,43.5,-6.0,43.5,1.9,35.2,0.51,0.49,0.435,0.565,0.28,Pass,0.51,Pass,0.565,NO,26.0,27.0,-1.0,53.0,,,1.0
CLE@CAR_W1,2022,1,CLE,CAR,2.5,42.5,2.5,42.5,0.5,31.2,0.425,0.575,0.45,0.55,0.605,Away ATS,0.575,Pass,0.55,Pass,24.0,26.0,-2.0,50.0,1.0,,
SF@CHI_W1,2022,1,SF,CHI,-6.5,38.0,-6.5,38.0,10.9,36.4,0.5,0.5,0.485,0.515,0.275,Pass,0.5,Pass,0.515,SF,19.0,10.0,9.0,29.0,,,0.0
PIT@CIN_W1,2022,1,PIT,CIN,7.5,44.5,7.5,44.5,5.0,28.7,0.515,0.485,0.43,0.57,0.745,Pass,0.515,Pass,0.57,CIN,20.0,23.0,-3.0,43.0,,,0.0
PHI@DET_W1,2022,1,PHI,DET,-6.0,49.0,-6.0,49.0,11.9,29.9,0.515,0.485,0.495,0.505,0.3,Pass,0.515,Pass,0.505,PHI,35.0,38.0,-3.0,73.0,,,1.0
IND@HOU_W1,2022,1,IND,HOU,-7.0,46.0,-7.0,46.0,-2.4,30.0,0.485,0.515,0.48,0.52,0.255,Pass,0.515,Pass,0.52,IND,20.0,20.0,0.0,40.0,,,0.0
NE@MIA_W1,2022,1,NE,MIA,3.0,47.0,3.0,47.0,3.1,24.6,0.485,0.515,0.47,0.53,0.53,Pass,0.515,Pass,0.53,Pass,20.0,7.0,13.0,27.0,,,
BAL@NYJ_W1,2022,1,BAL,NYJ,-6.5,44.0,-6.5,44.0,1.5,24.8,0.46,0.54,0.49,0.51,0.26,Pass,0.54,Pass,0.51,BAL,9.0,24.0,-15.0,33.0,,,1.0
JAX@WAS_W1,2022,1,JAX,WAS,3.0,43.5,3.0,43.5,6.2,27.2,0.535,0.465,0.535,0.465,0.57,Pass,0.535,Pass,0.535,Pass,28.0,22.0,6.0,50.0,,,
