game_id,season,week,away_team,home_team,spread_line,total_line,p_home_cover,p_over,actual_spread,actual_total,home_covered,over_hit,has_pff
2024_01_BAL_KC,2024,1,BAL,KC,-3.0,46.0,0.54,0.58,7.0,47.0,1.0,1.0,False
2024_01_GB_PHI,2024,1,GB,PHI,-2.0,49.5,0.48,0.46,5.0,63.0,1.0,1.0,True
2024_01_PIT_ATL,2024,1,PIT,ATL,-4.0,43.0,0.54,0.38,-8.0,28.0,0.0,0.0,True
2024_01_ARI_BUF,2024,1,ARI,BUF,-6.5,46.0,0.48,0.5,6.0,62.0,1.0,1.0,False
2024_01_TEN_CHI,2024,1,TEN,CHI,-4.0,43.0,0.58,0.36,7.0,41.0,1.0,0.0,True
2024_01_NE_CIN,2024,1,NE,CIN,-7.5,40.5,0.52,0.52,-6.0,26.0,1.0,0.0,True
2024_01_HOU_IND,2024,1,HOU,IND,3.0,49.0,0.5,0.46,-2.0,56.0,0.0,1.0,False
2024_01_JAX_MIA,2024,1,JAX,MIA,-3.5,49.5,0.6,0.42,3.0,37.0,1.0,0.0,True
2024_01_CAR_NO,2024,1,CAR,NO,-3.5,41.5,0.54,0.56,37.0,57.0,1.0,1.0,True
2024_01_MIN_NYG,2024,1,MIN,NYG,1.5,42.5,0.54,0.46,-22.0,34.0,0.0,0.0,True
2024_01_LV_LAC,2024,1,LV,LAC,-2.5,41.0,0.54,0.52,12.0,32.0,1.0,0.0,True
2024_01_DEN_SEA,2024,1,DEN,SEA,-6.0,42.0,0.52,0.4,6.0,46.0,1.0,1.0,True
2024_01_DAL_CLE,2024,1,DAL,CLE,-2.5,42.0,0.52,0.5,-16.0,50.0,0.0,1.0,False
2024_01_WAS_TB,2024,1,WAS,TB,-4.0,42.0,0.52,0.48,17.0,57.0,1.0,1.0,True
2024_01_NYJ_SF,2024,1,NYJ,SF,-4.0,43.0,0.42,0.54,13.0,51.0,1.0,1.0,True
2024_02_BUF_MIA,2024,2,BUF,MIA,-2.5,48.5,0.44,0.48,-21.0,41.0,0.0,0.0,True
2024_02_LV_BAL,2024,2,LV,BAL,-8.5,41.0,0.58,0.42,-3.0,49.0,1.0,1.0,False
2024_02_LAC_CAR,2024,2,LAC,CAR,5.5,39.0,0.64,0.44,-23.0,29.0,0.0,0.0,True
2024_02_NO_DAL,2024,2,NO,DAL,-6.0,47.0,0.4,0.4,-25.0,63.0,0.0,1.0,True
2024_02_TB_DET,2024,2,TB,DET,-7.5,51.5,0.5,0.54,-4.0,36.0,1.0,0.0,True
2024_02_IND_GB,2024,2,IND,GB,2.5,41.5,0.48,0.54,6.0,26.0,1.0,0.0,True
2024_02_CLE_JAX,2024,2,CLE,JAX,-3.0,41.5,0.36,0.46,-5.0,31.0,0.0,0.0,False
2024_02_SF_MIN,2024,2,SF,MIN,4.5,46.5,0.56,0.42,6.0,40.0,1.0,0.0,True
2024_02_SEA_NE,2024,2,SEA,NE,3.5,39.0,0.54,0.5,-3.0,43.0,0.0,1.0,True
2024_02_NYJ_TEN,2024,2,NYJ,TEN,4.0,41.5,0.48,0.56,-7.0,41.0,0.0,0.0,True
2024_02_NYG_WAS,2024,2,NYG,WAS,-1.5,42.5,0.52,0.52,3.0,39.0,1.0,0.0,True
2024_02_PIT_DEN,2024,2,PIT,DEN,2.5,36.5,0.5,0.58,-7.0,19.0,0.0,0.0,True
2024_02_CIN_KC,2024,2,CIN,KC,-6.0,47.5,0.62,0.48,1.0,51.0,1.0,1.0,True
2024_02_CHI_HOU,2024,2,CHI,HOU,-6.5,45.5,0.44,0.66,6.0,32.0,1.0,0.0,False
2024_02_ATL_PHI,2024,2,ATL,PHI,-5.5,46.5,0.5,0.62,-1.0,43.0,1.0,0.0,True
2024_03_NE_NYJ,2024,3,NE,NYJ,-6.0,39.0,0.5,0.52,21.0,27.0,1.0,0.0,True
2024_03_NYG_CLE,2024,3,NYG,CLE,-6.5,38.0,0.48,0.46,-6.0,36.0,1.0,0.0,False
2024_03_CHI_IND,2024,3,CHI,IND,-1.0,43.0,0.48,0.42,5.0,37.0,1.0,0.0,True
2024_03_HOU_MIN,2024,3,HOU,MIN,1.5,46.0,0.46,0.54,27.0,41.0,1.0,0.0,False
