team,pressure_sim,pressure_real,epa_real,epa_input,score_sim,score_real,pressure_bias,epa_bias,score_bias
IND,0.21782178217821782,0.1864406779661017,-0.26847526,0.1654055793769657,42.0,20.0,0.03138110421211612,0.4338808436878025,22.0
DAL,0.24166666666666667,0.2857142857142857,-0.23038156,0.11397251347079869,21.0,17.0,-0.04404761904761903,0.3443540767766535,4.0
WAS,0.2702702702702703,0.23684210526315788,-0.102747805,0.07770173031167357,10.0,14.0,0.033428165007112404,0.1804495357282576,-4.0
JAX,0.24242424242424243,0.07317073170731707,-0.10984744,0.036162705568131025,14.0,30.0,0.16925351071692535,0.14601014688378197,-16.0
PIT,0.296,0.15,-0.07913996,0.057853409110975876,24.0,27.0,0.146,0.1369933719033724,-3.0
MIA,0.19463087248322147,0.11363636363636363,-0.11735639,-0.0015239230706356466,7.0,6.0,0.08099450884685784,0.11583246669033542,1.0
KC,0.30097087378640774,0.425,-0.019584835,0.09343568887561554,14.0,21.0,-0.12402912621359224,0.11302052345126862,-7.0
MIN,0.3469387755102041,0.42424242424242425,-0.122334786,-0.06919075385667384,0.0,27.0,-0.07730364873222018,0.05314403190277517,-27.0
DEN,0.2345679012345679,0.12195121951219512,-0.03993598,0.005292142275720802,7.0,18.0,0.11261668172237277,0.04522812226787206,-11.0
DET,0.20967741935483872,0.37209302325581395,0.075612344,0.10385234281420705,35.0,24.0,-0.16241560390097523,0.028239998966455432,11.0
HOU,0.22448979591836735,0.20833333333333334,-0.06517031,-0.05089178646448998,35.0,15.0,0.016156462585034004,0.014278523973189308,20.0
NE,0.31896551724137934,0.3,0.01882925,0.028772602207027355,35.0,24.0,0.018965517241379348,0.009943351498804966,11.0
TEN,0.18421052631578946,0.3333333333333333,-0.10395413,-0.13960034400224683,0.0,20.0,-0.14912280701754385,-0.03564621508121488,-20.0
GB,0.22535211267605634,0.18421052631578946,0.15526313,0.10386708797886962,24.0,13.0,0.04114158636026688,-0.051396037917584236,11.0
LAC,0.32592592592592595,0.41025641025641024,0.13954458,0.04398764597135594,10.0,27.0,-0.08433048433048429,-0.09555693043512295,-17.0
CAR,0.3496932515337423,0.12,0.103778705,-0.036181956354994285,17.0,16.0,0.22969325153374232,-0.13996066135587165,1.0
ATL,0.20909090909090908,0.11904761904761904,0.118275985,-0.022892813081853113,28.0,23.0,0.09004329004329004,-0.1411687982035801,5.0
BUF,0.22727272727272727,0.25806451612903225,0.34815034,0.16298084706068033,42.0,28.0,-0.030791788856304986,-0.18516949564218527,14.0
ARI,0.2815533980582524,0.42105263157894735,0.21503405,0.020820745325181588,10.0,27.0,-0.13949923352069493,-0.19421330740442505,-17.0
NYG,0.18055555555555555,0.1282051282051282,0.18128994,-0.0297286931890994,14.0,24.0,0.05235042735042736,-0.2110186342615634,-10.0
BAL,0.2803030303030303,0.2222222222222222,0.45414606,0.13864758901763705,7.0,28.0,0.058080808080808066,-0.31549846834968776,-21.0
LV,0.2550335570469799,0.10869565217391304,0.29084238,-0.07698582112789149,21.0,29.0,0.14633790487306686,-0.3678282052278518,-8.0
CIN,0.19791666666666666,0.1509433962264151,0.3129391,-0.06675545487087219,7.0,42.0,0.04697327044025157,-0.3796945622889325,-35.0
SF,0.24203821656050956,0.17857142857142858,0.43633667,0.010058686020784025,20.0,34.0,0.06346678798908098,-0.4262779803248123,-14.0
CHI,0.18292682926829268,0.19148936170212766,0.4724987,-0.049617883982136804,35.0,47.0,-0.00856253243383498,-0.5221165691036731,-12.0
SEA,0.28688524590163933,0.037037037037037035,0.8929349,0.021155251073651,17.0,38.0,0.2498482088646023,-0.8717796673299745,-21.0
