posteam,season,week,first_down_success_rate,second_down_success_rate,early_down_success_rate
ARI,2022,1,0.48,0.6666666666666666,0.5652173913043478
ARI,2022,2,0.6764705882352942,0.6153846153846154,0.65
ARI,2022,3,0.46875,0.5384615384615384,0.5
ARI,2022,4,0.5185185185185185,0.7083333333333334,0.6078431372549019
ARI,2022,5,0.5862068965517241,0.4583333333333333,0.5283018867924528
ARI,2022,6,0.46153846153846156,0.4166666666666667,0.44
ARI,2022,7,0.4444444444444444,0.6666666666666666,0.5416666666666666
ARI,2022,8,0.46875,0.6,0.5263157894736842
ARI,2022,9,0.34782608695652173,0.6363636363636364,0.4888888888888889
ARI,2022,10,0.52,0.5238095238095238,0.5217391304347826
ARI,2022,11,0.3448275862068966,0.5416666666666666,0.4339622641509434
ARI,2022,12,0.5357142857142857,0.45454545454545453,0.5
ARI,2022,14,0.5666666666666667,0.4,0.5
ARI,2022,15,0.36,0.5454545454545454,0.44680851063829785
ARI,2022,16,0.39285714285714285,0.44,0.41509433962264153
ARI,2022,17,0.3448275862068966,0.6785714285714286,0.5087719298245614
ARI,2022,18,0.38095238095238093,0.5,0.43243243243243246
ARI,2023,1,0.4583333333333333,0.3684210526315789,0.4186046511627907
ARI,2023,2,0.4827586206896552,0.5714285714285714,0.52
ARI,2023,3,0.52,0.5625,0.5365853658536586
ARI,2023,4,0.5172413793103449,0.5,0.5102040816326531
ARI,2023,5,0.36,0.4444444444444444,0.3953488372093023
ARI,2023,6,0.43333333333333335,0.45454545454545453,0.4423076923076923
ARI,2023,7,0.44,0.45,0.4444444444444444
ARI,2023,8,0.6451612903225806,0.6,0.625
ARI,2023,9,0.3333333333333333,0.2857142857142857,0.3142857142857143
ARI,2023,10,0.5714285714285714,0.5,0.5416666666666666
ARI,2023,11,0.5384615384615384,0.4444444444444444,0.5
ARI,2023,12,0.44,0.47368421052631576,0.45454545454545453
ARI,2023,13,0.2916666666666667,0.35,0.3181818181818182
ARI,2023,15,0.4482758620689655,0.5652173913043478,0.5
ARI,2023,16,0.5416666666666666,0.4444444444444444,0.5
ARI,2023,17,0.6285714285714286,0.72,0.6666666666666666
ARI,2023,18,0.41935483870967744,0.4782608695652174,0.4444444444444444
ARI,2024,1,0.5,0.38095238095238093,0.4444444444444444
ARI,2024,2,0.4642857142857143,0.6956521739130435,0.5686274509803921
ARI,2024,3,0.5384615384615384,0.5625,0.5476190476190477
ARI,2024,4,0.6,0.6842105263157895,0.6363636363636364
ARI,2024,5,0.5,0.5,0.5
ARI,2024,6,0.52,0.6,0.5555555555555556
