posteam,season,down,distance_bucket,score_diff_bucket,time_bucket,pass_count,run_count,total_plays,pass_rate,run_rate
ARI,2022,1.0,long,down_14+,Q3-Q4,15.0,12.0,27,0.5555555555555556,0.4444444444444444
ARI,2022,1.0,long,down_14+,Q4_late,20.0,10.0,30,0.6666666666666666,0.3333333333333333
ARI,2022,1.0,long,down_7-13,Q2-Q3,26.0,23.0,49,0.5306122448979592,0.46938775510204084
ARI,2022,1.0,long,down_7-13,Q3-Q4,14.0,9.0,23,0.6086956521739131,0.391304347826087
ARI,2022,1.0,long,down_7-13,Q4_late,29.0,9.0,38,0.7631578947368421,0.23684210526315788
ARI,2022,1.0,long,down_1-6,Q1-Q2,15.0,13.0,28,0.5357142857142857,0.4642857142857143
ARI,2022,1.0,long,down_1-6,Q2-Q3,18.0,26.0,44,0.4090909090909091,0.5909090909090909
ARI,2022,1.0,long,tied,Q1-Q2,8.0,30.0,38,0.21052631578947367,0.7894736842105263
ARI,2022,2.0,long,down_7-13,Q2-Q3,20.0,4.0,24,0.8333333333333334,0.16666666666666666
ARI,2022,2.0,long,down_1-6,Q2-Q3,18.0,4.0,22,0.8181818181818182,0.18181818181818182
ARI,2023,1.0,long,down_14+,Q2-Q3,12.0,8.0,20,0.6,0.4
ARI,2023,1.0,long,down_14+,Q4_late,27.0,10.0,37,0.7297297297297297,0.2702702702702703
ARI,2023,1.0,long,down_7-13,Q1-Q2,11.0,10.0,21,0.5238095238095238,0.47619047619047616
ARI,2023,1.0,long,down_7-13,Q2-Q3,10.0,13.0,23,0.43478260869565216,0.5652173913043478
ARI,2023,1.0,long,down_7-13,Q3-Q4,11.0,27.0,38,0.2894736842105263,0.7105263157894737
ARI,2023,1.0,long,down_1-6,Q2-Q3,15.0,22.0,37,0.40540540540540543,0.5945945945945946
ARI,2023,1.0,long,tied,Q1-Q2,28.0,29.0,57,0.49122807017543857,0.5087719298245614
ARI,2023,2.0,long,tied,Q1-Q2,12.0,9.0,21,0.5714285714285714,0.42857142857142855
ARI,2024,1.0,long,down_7-13,Q2-Q3,10.0,18.0,28,0.35714285714285715,0.6428571428571429
ARI,2024,1.0,long,down_7-13,Q3-Q4,11.0,14.0,25,0.44,0.56
ARI,2024,1.0,long,down_7-13,Q4_late,24.0,4.0,28,0.8571428571428571,0.14285714285714285
ARI,2024,1.0,long,tied,Q1-Q2,25.0,31.0,56,0.44642857142857145,0.5535714285714286
ARI,2024,1.0,long,tied,Q2-Q3,16.0,13.0,29,0.5517241379310345,0.4482758620689655
ARI,2024,2.0,long,tied,Q1-Q2,11.0,9.0,20,0.55,0.45
ARI,2025,1.0,long,tied,Q1-Q2,16.0,10.0,26,0.6153846153846154,0.38461538461538464
ATL,2022,1.0,long,down_7-13,Q2-Q3,14.0,10.0,24,0.5833333333333334,0.4166666666666667
ATL,2022,1.0,long,down_7-13,Q3-Q4,8.0,24.0,32,0.25,0.75
ATL,2022,1.0,long,down_1-6,Q1-Q2,16.0,15.0,31,0.5161290322580645,0.4838709677419355
ATL,2022,1.0,long,down_1-6,Q2-Q3,8.0,18.0,26,0.3076923076923077,0.6923076923076923
ATL,2022,1.0,long,down_1-6,Q3-Q4,8.0,21.0,29,0.27586206896551724,0.7241379310344828
ATL,2022,1.0,long,down_1-6,Q4_late,10.0,16.0,26,0.38461538461538464,0.6153846153846154
ATL,2022,1.0,long,tied,Q1-Q2,13.0,29.0,42,0.30952380952380953,0.6904761904761905
ATL,2023,1.0,long,down_14+,Q3-Q4,8.0,12.0,20,0.4,0.6
ATL,2023,1.0,long,down_7-13,Q2-Q3,18.0,10.0,28,0.6428571428571429,0.35714285714285715
ATL,2023,1.0,long,down_7-13,Q3-Q4,8.0,21.0,29,0.27586206896551724,0.7241379310344828
ATL,2023,1.0,long,down_7-13,Q4_late,13.0,7.0,20,0.65,0.35
ATL,2023,1.0,long,down_1-6,Q1-Q2,9.0,17.0,26,0.34615384615384615,0.6538461538461539
ATL,2023,1.0,long,down_1-6,Q2-Q3,10.0,12.0,22,0.45454545454545453,0.5454545454545454
ATL,2023,1.0,long,down_1-6,Q4_late,9.0,18.0,27,0.3333333333333333,0.6666666666666666
ATL,2023,1.0,long,tied,Q1-Q2,20.0,31.0,51,0.39215686274509803,0.6078431372549019
ATL,2023,1.0,long,tied,Q2-Q3,23.0,20.0,43,0.5348837209302325,0.46511627906976744
ATL,2023,1.0,long,up_1-6,Q3-Q4,3.0,17.0,20,0.15,0.85
ATL,2023,1.0,long,up_1-6,Q4_late,6.0,19.0,25,0.24,0.76
ATL,2023,2.0,long,tied,Q2-Q3,10.0,11.0,21,0.47619047619047616,0.5238095238095238
ATL,2024,1.0,long,down_14+,Q4_late,13.0,7.0,20,0.65,0.35
ATL,2024,1.0,long,down_7-13,Q2-Q3,18.0,19.0,37,0.4864864864864865,0.5135135135135135
ATL,2024,1.0,long,down_7-13,Q3-Q4,15.0,19.0,34,0.4411764705882353,0.5588235294117647
ATL,2024,1.0,long,down_1-6,Q2-Q3,16.0,13.0,29,0.5517241379310345,0.4482758620689655
ATL,2024,1.0,long,down_1-6,Q4_late,12.0,18.0,30,0.4,0.6
ATL,2024,1.0,long,tied,Q1-Q2,22.0,41.0,63,0.3492063492063492,0.6507936507936508
ATL,2024,1.0,long,tied,Q2-Q3,11.0,11.0,22,0.5,0.5
ATL,2024,1.0,long,up_1-6,Q2-Q3,11.0,19.0,30,0.36666666666666664,0.6333333333333333
ATL,2024,1.0,long,up_1-6,Q3-Q4,11.0,19.0,30,0.36666666666666664,0.6333333333333333
ATL,2024,2.0,long,tied,Q1-Q2,21.0,3.0,24,0.875,0.125
ATL,2025,1.0,long,tied,Q1-Q2,8.0,19.0,27,0.2962962962962963,0.7037037037037037
BAL,2022,1.0,long,down_1-6,Q2-Q3,12.0,21.0,33,0.36363636363636365,0.6363636363636364
BAL,2022,1.0,long,tied,Q1-Q2,28.0,28.0,56,0.5,0.5
BAL,2022,1.0,long,tied,Q2-Q3,12.0,12.0,24,0.5,0.5
BAL,2022,1.0,long,up_1-6,Q1-Q2,13.0,14.0,27,0.48148148148148145,0.5185185185185185
BAL,2022,1.0,long,up_1-6,Q2-Q3,13.0,20.0,33,0.3939393939393939,0.6060606060606061
BAL,2022,1.0,long,up_1-6,Q3-Q4,14.0,23.0,37,0.3783783783783784,0.6216216216216216
BAL,2022,1.0,long,up_1-6,Q4_late,12.0,22.0,34,0.35294117647058826,0.6470588235294118
BAL,2022,2.0,long,tied,Q1-Q2,13.0,9.0,22,0.5909090909090909,0.4090909090909091
BAL,2023,1.0,long,down_1-6,Q2-Q3,14.0,12.0,26,0.5384615384615384,0.46153846153846156
BAL,2023,1.0,long,tied,Q1-Q2,26.0,38.0,64,0.40625,0.59375
BAL,2023,1.0,long,tied,Q2-Q3,18.0,8.0,26,0.6923076923076923,0.3076923076923077
BAL,2023,1.0,long,up_1-6,Q1-Q2,10.0,10.0,20,0.5,0.5
BAL,2023,1.0,long,up_1-6,Q2-Q3,25.0,23.0,48,0.5208333333333334,0.4791666666666667
BAL,2023,1.0,long,up_1-6,Q3-Q4,13.0,21.0,34,0.38235294117647056,0.6176470588235294
BAL,2023,1.0,long,up_7-13,Q2-Q3,8.0,12.0,20,0.4,0.6
BAL,2023,1.0,long,up_7-13,Q4_late,2.0,27.0,29,0.06896551724137931,0.9310344827586207
BAL,2023,1.0,long,up_14+,Q3-Q4,8.0,16.0,24,0.3333333333333333,0.6666666666666666
BAL,2023,1.0,long,up_14+,Q4_late,5.0,22.0,27,0.18518518518518517,0.8148148148148148
BAL,2024,1.0,long,down_7-13,Q4_late,13.0,10.0,23,0.5652173913043478,0.43478260869565216
BAL,2024,1.0,long,down_1-6,Q2-Q3,16.0,14.0,30,0.5333333333333333,0.4666666666666667
BAL,2024,1.0,long,down_1-6,Q3-Q4,12.0,10.0,22,0.5454545454545454,0.45454545454545453
BAL,2024,1.0,long,tied,Q1-Q2,17.0,44.0,61,0.2786885245901639,0.7213114754098361
BAL,2024,1.0,long,tied,Q2-Q3,18.0,14.0,32,0.5625,0.4375
BAL,2024,1.0,long,up_1-6,Q1-Q2,8.0,14.0,22,0.36363636363636365,0.6363636363636364
BAL,2024,1.0,long,up_1-6,Q2-Q3,16.0,23.0,39,0.41025641025641024,0.5897435897435898
BAL,2024,1.0,long,up_7-13,Q2-Q3,12.0,17.0,29,0.41379310344827586,0.5862068965517241
BAL,2024,1.0,long,up_7-13,Q3-Q4,7.0,16.0,23,0.30434782608695654,0.6956521739130435
BAL,2024,1.0,long,up_14+,Q3-Q4,7.0,20.0,27,0.25925925925925924,0.7407407407407407
BAL,2024,1.0,long,up_14+,Q4_late,3.0,24.0,27,0.1111111111111111,0.8888888888888888
BAL,2024,2.0,long,tied,Q1-Q2,19.0,10.0,29,0.6551724137931034,0.3448275862068966
BAL,2024,2.0,long,tied,Q2-Q3,14.0,6.0,20,0.7,0.3
BUF,2022,1.0,long,down_1-6,Q2-Q3,12.0,8.0,20,0.6,0.4
BUF,2022,1.0,long,down_1-6,Q4_late,13.0,10.0,23,0.5652173913043478,0.43478260869565216
BUF,2022,1.0,long,tied,Q1-Q2,39.0,28.0,67,0.582089552238806,0.417910447761194
BUF,2022,1.0,long,tied,Q2-Q3,30.0,11.0,41,0.7317073170731707,0.2682926829268293
BUF,2022,1.0,long,tied,Q3-Q4,14.0,6.0,20,0.7,0.3
BUF,2022,1.0,long,up_1-6,Q2-Q3,27.0,15.0,42,0.6428571428571429,0.35714285714285715
BUF,2022,1.0,long,up_1-6,Q3-Q4,16.0,17.0,33,0.48484848484848486,0.5151515151515151
BUF,2022,1.0,long,up_7-13,Q3-Q4,14.0,14.0,28,0.5,0.5
BUF,2022,1.0,long,up_7-13,Q4_late,4.0,16.0,20,0.2,0.8
BUF,2022,2.0,long,tied,Q1-Q2,20.0,8.0,28,0.7142857142857143,0.2857142857142857
BUF,2023,1.0,long,down_7-13,Q1-Q2,13.0,7.0,20,0.65,0.35
BUF,2023,1.0,long,down_7-13,Q2-Q3,24.0,12.0,36,0.6666666666666666,0.3333333333333333
BUF,2023,1.0,long,down_7-13,Q3-Q4,7.0,14.0,21,0.3333333333333333,0.6666666666666666
BUF,2023,1.0,long,down_1-6,Q2-Q3,9.0,11.0,20,0.45,0.55
BUF,2023,1.0,long,down_1-6,Q4_late,10.0,21.0,31,0.3225806451612903,0.6774193548387096
BUF,2023,1.0,long,tied,Q1-Q2,34.0,38.0,72,0.4722222222222222,0.5277777777777778
BUF,2023,1.0,long,up_1-6,Q1-Q2,16.0,13.0,29,0.5517241379310345,0.4482758620689655
BUF,2023,1.0,long,up_1-6,Q2-Q3,23.0,14.0,37,0.6216216216216216,0.3783783783783784
BUF,2023,1.0,long,up_1-6,Q3-Q4,11.0,10.0,21,0.5238095238095238,0.47619047619047616
BUF,2023,1.0,long,up_1-6,Q4_late,5.0,15.0,20,0.25,0.75
BUF,2023,1.0,long,up_7-13,Q2-Q3,13.0,17.0,30,0.43333333333333335,0.5666666666666667
BUF,2023,1.0,long,up_7-13,Q3-Q4,13.0,14.0,27,0.48148148148148145,0.5185185185185185
BUF,2023,1.0,long,up_14+,Q4_late,3.0,19.0,22,0.13636363636363635,0.8636363636363636
BUF,2023,2.0,medium,tied,Q1-Q2,13.0,9.0,22,0.5909090909090909,0.4090909090909091
BUF,2024,1.0,long,down_7-13,Q1-Q2,11.0,19.0,30,0.36666666666666664,0.6333333333333333
BUF,2024,1.0,long,down_7-13,Q2-Q3,21.0,13.0,34,0.6176470588235294,0.38235294117647056
BUF,2024,1.0,long,down_1-6,Q2-Q3,14.0,17.0,31,0.45161290322580644,0.5483870967741935
BUF,2024,1.0,long,tied,Q1-Q2,19.0,22.0,41,0.4634146341463415,0.5365853658536586
BUF,2024,1.0,long,up_1-6,Q1-Q2,11.0,11.0,22,0.5,0.5
BUF,2024,1.0,long,up_1-6,Q2-Q3,21.0,17.0,38,0.5526315789473685,0.4473684210526316
BUF,2024,1.0,long,up_1-6,Q3-Q4,11.0,24.0,35,0.3142857142857143,0.6857142857142857
BUF,2024,1.0,long,up_1-6,Q4_late,8.0,13.0,21,0.38095238095238093,0.6190476190476191
BUF,2024,1.0,long,up_7-13,Q3-Q4,11.0,13.0,24,0.4583333333333333,0.5416666666666666
BUF,2024,1.0,long,up_14+,Q4_late,4.0,23.0,27,0.14814814814814814,0.8518518518518519
BUF,2025,1.0,long,tied,Q1-Q2,9.0,19.0,28,0.32142857142857145,0.6785714285714286
CAR,2022,1.0,long,down_14+,Q4_late,20.0,4.0,24,0.8333333333333334,0.16666666666666666
CAR,2022,1.0,long,tied,Q1-Q2,23.0,29.0,52,0.4423076923076923,0.5576923076923077
CAR,2022,1.0,long,up_1-6,Q2-Q3,14.0,18.0,32,0.4375,0.5625
CAR,2022,1.0,long,up_1-6,Q3-Q4,9.0,15.0,24,0.375,0.625
CAR,2022,1.0,long,up_7-13,Q4_late,2.0,18.0,20,0.1,0.9
CAR,2022,2.0,long,tied,Q1-Q2,9.0,14.0,23,0.391304347826087,0.6086956521739131
CAR,2023,1.0,long,down_14+,Q3-Q4,12.0,15.0,27,0.4444444444444444,0.5555555555555556
CAR,2023,1.0,long,down_14+,Q4_late,41.0,8.0,49,0.8367346938775511,0.16326530612244897
CAR,2023,1.0,long,down_7-13,Q2-Q3,25.0,27.0,52,0.4807692307692308,0.5192307692307693
CAR,2023,1.0,long,down_7-13,Q3-Q4,8.0,14.0,22,0.36363636363636365,0.6363636363636364
CAR,2023,1.0,long,down_7-13,Q4_late,24.0,17.0,41,0.5853658536585366,0.4146341463414634
CAR,2023,1.0,long,down_1-6,Q2-Q3,16.0,13.0,29,0.5517241379310345,0.4482758620689655
CAR,2023,1.0,long,down_1-6,Q3-Q4,11.0,25.0,36,0.3055555555555556,0.6944444444444444
CAR,2023,1.0,long,tied,Q1-Q2,20.0,33.0,53,0.37735849056603776,0.6226415094339622
CAR,2023,2.0,long,down_1-6,Q3-Q4,16.0,7.0,23,0.6956521739130435,0.30434782608695654
CAR,2024,1.0,long,down_14+,Q2-Q3,16.0,8.0,24,0.6666666666666666,0.3333333333333333
CAR,2024,1.0,long,down_14+,Q3-Q4,14.0,18.0,32,0.4375,0.5625
CAR,2024,1.0,long,down_14+,Q4_late,28.0,9.0,37,0.7567567567567568,0.24324324324324326
CAR,2024,1.0,long,down_7-13,Q1-Q2,9.0,12.0,21,0.42857142857142855,0.5714285714285714
CAR,2024,1.0,long,down_7-13,Q2-Q3,14.0,16.0,30,0.4666666666666667,0.5333333333333333
CAR,2024,1.0,long,tied,Q1-Q2,23.0,31.0,54,0.42592592592592593,0.5740740740740741
CAR,2024,1.0,long,tied,Q2-Q3,8.0,12.0,20,0.4,0.6
CAR,2025,1.0,long,down_14+,Q4_late,13.0,9.0,22,0.5909090909090909,0.4090909090909091
CAR,2025,1.0,long,down_7-13,Q2-Q3,9.0,18.0,27,0.3333333333333333,0.6666666666666666
CAR,2025,1.0,long,tied,Q1-Q2,11.0,9.0,20,0.55,0.45
CHI,2022,1.0,long,down_14+,Q3-Q4,6.0,15.0,21,0.2857142857142857,0.7142857142857143
CHI,2022,1.0,long,down_14+,Q4_late,14.0,11.0,25,0.56,0.44
CHI,2022,1.0,long,down_7-13,Q2-Q3,5.0,15.0,20,0.25,0.75
CHI,2022,1.0,long,down_7-13,Q3-Q4,6.0,17.0,23,0.2608695652173913,0.7391304347826086
CHI,2022,1.0,long,down_1-6,Q1-Q2,8.0,14.0,22,0.36363636363636365,0.6363636363636364
CHI,2022,1.0,long,down_1-6,Q2-Q3,17.0,17.0,34,0.5,0.5
CHI,2022,1.0,long,down_1-6,Q3-Q4,7.0,15.0,22,0.3181818181818182,0.6818181818181818
CHI,2022,1.0,long,tied,Q1-Q2,26.0,32.0,58,0.4482758620689655,0.5517241379310345
CHI,2022,2.0,long,tied,Q1-Q2,10.0,15.0,25,0.4,0.6
CHI,2023,1.0,long,down_7-13,Q4_late,13.0,9.0,22,0.5909090909090909,0.4090909090909091
CHI,2023,1.0,long,down_1-6,Q2-Q3,12.0,13.0,25,0.48,0.52
CHI,2023,1.0,long,down_1-6,Q3-Q4,10.0,14.0,24,0.4166666666666667,0.5833333333333334
CHI,2023,1.0,long,tied,Q1-Q2,35.0,28.0,63,0.5555555555555556,0.4444444444444444
CHI,2023,1.0,long,tied,Q2-Q3,10.0,10.0,20,0.5,0.5
CHI,2023,1.0,long,up_1-6,Q1-Q2,8.0,17.0,25,0.32,0.68
CHI,2023,1.0,long,up_1-6,Q2-Q3,12.0,8.0,20,0.6,0.4
CHI,2023,1.0,long,up_7-13,Q3-Q4,12.0,21.0,33,0.36363636363636365,0.6363636363636364
CHI,2023,1.0,long,up_7-13,Q4_late,3.0,18.0,21,0.14285714285714285,0.8571428571428571
CHI,2024,1.0,long,down_14+,Q3-Q4,13.0,10.0,23,0.5652173913043478,0.43478260869565216
CHI,2024,1.0,long,down_14+,Q4_late,19.0,8.0,27,0.7037037037037037,0.2962962962962963
CHI,2024,1.0,long,down_7-13,Q2-Q3,24.0,17.0,41,0.5853658536585366,0.4146341463414634
CHI,2024,1.0,long,down_7-13,Q3-Q4,11.0,15.0,26,0.4230769230769231,0.5769230769230769
CHI,2024,1.0,long,down_1-6,Q1-Q2,10.0,14.0,24,0.4166666666666667,0.5833333333333334
CHI,2024,1.0,long,down_1-6,Q2-Q3,11.0,17.0,28,0.39285714285714285,0.6071428571428571
CHI,2024,1.0,long,tied,Q1-Q2,9.0,19.0,28,0.32142857142857145,0.6785714285714286
