posteam,season,week,down,distance_bucket,score_diff_bucket,time_bucket,pass_count,run_count,total_plays,pass_rate,run_rate
ARI,2022,1,1.0,long,down_14+,2min,1.0,2.0,3,0.3333333333333333,0.6666666666666666
ARI,2022,1,1.0,long,down_14+,Q1-Q2,2.0,2.0,4,0.5,0.5
ARI,2022,1,1.0,long,down_14+,Q3-Q4,5.0,2.0,7,0.7142857142857143,0.2857142857142857
ARI,2022,1,1.0,long,down_14+,Q4_late,2.0,2.0,4,0.5,0.5
ARI,2022,1,1.0,long,down_7-13,Q2-Q3,2.0,2.0,4,0.5,0.5
ARI,2022,1,2.0,medium,down_14+,Q3-Q4,1.0,1.0,2,0.5,0.5
ARI,2022,1,2.0,medium,down_7-13,Q2-Q3,3.0,0.0,3,1.0,0.0
ARI,2022,1,2.0,long,down_14+,Q1-Q2,3.0,0.0,3,1.0,0.0
ARI,2022,1,2.0,long,down_14+,Q3-Q4,3.0,1.0,4,0.75,0.25
ARI,2022,1,3.0,medium,down_14+,Q4_late,2.0,0.0,2,1.0,0.0
ARI,2022,1,3.0,medium,down_7-13,Q2-Q3,2.0,0.0,2,1.0,0.0
ARI,2022,2,1.0,long,down_14+,Q2-Q3,2.0,3.0,5,0.4,0.6
ARI,2022,2,1.0,long,down_14+,Q3-Q4,6.0,4.0,10,0.6,0.4
ARI,2022,2,1.0,long,down_14+,Q4_late,3.0,1.0,4,0.75,0.25
ARI,2022,2,1.0,long,down_7-13,2min,1.0,1.0,2,0.5,0.5
ARI,2022,2,1.0,long,down_7-13,Q1-Q2,1.0,1.0,2,0.5,0.5
ARI,2022,2,1.0,long,down_7-13,Q2-Q3,0.0,2.0,2,0.0,1.0
ARI,2022,2,1.0,long,down_7-13,Q4_late,4.0,0.0,4,1.0,0.0
ARI,2022,2,1.0,long,tied,Q4_late,3.0,0.0,3,1.0,0.0
ARI,2022,2,2.0,short,down_14+,Q4_late,0.0,2.0,2,0.0,1.0
ARI,2022,2,2.0,medium,down_14+,Q2-Q3,0.0,2.0,2,0.0,1.0
ARI,2022,2,2.0,medium,down_14+,Q3-Q4,2.0,1.0,3,0.6666666666666666,0.3333333333333333
ARI,2022,2,2.0,medium,down_7-13,2min,2.0,0.0,2,1.0,0.0
ARI,2022,2,2.0,medium,down_7-13,Q1-Q2,1.0,1.0,2,0.5,0.5
ARI,2022,2,2.0,medium,down_7-13,Q2-Q3,2.0,0.0,2,1.0,0.0
ARI,2022,2,2.0,long,down_14+,Q3-Q4,2.0,0.0,2,1.0,0.0
ARI,2022,2,2.0,long,down_14+,Q4_late,2.0,0.0,2,1.0,0.0
ARI,2022,2,2.0,long,down_7-13,Q4_late,1.0,1.0,2,0.5,0.5
ARI,2022,2,3.0,medium,down_14+,Q3-Q4,2.0,0.0,2,1.0,0.0
ARI,2022,3,1.0,long,down_7-13,Q1-Q2,2.0,0.0,2,1.0,0.0
ARI,2022,3,1.0,long,down_7-13,Q2-Q3,9.0,1.0,10,0.9,0.1
ARI,2022,3,1.0,long,down_7-13,Q3-Q4,5.0,2.0,7,0.7142857142857143,0.2857142857142857
ARI,2022,3,1.0,long,down_7-13,Q4_late,6.0,3.0,9,0.6666666666666666,0.3333333333333333
ARI,2022,3,2.0,short,down_7-13,Q3-Q4,1.0,1.0,2,0.5,0.5
ARI,2022,3,2.0,medium,down_7-13,Q3-Q4,2.0,0.0,2,1.0,0.0
ARI,2022,3,2.0,medium,down_7-13,Q4_late,2.0,1.0,3,0.6666666666666666,0.3333333333333333
ARI,2022,3,2.0,long,down_7-13,Q2-Q3,7.0,1.0,8,0.875,0.125
ARI,2022,3,2.0,long,down_7-13,Q3-Q4,1.0,1.0,2,0.5,0.5
ARI,2022,3,2.0,long,down_7-13,Q4_late,4.0,0.0,4,1.0,0.0
ARI,2022,3,3.0,short,down_7-13,Q2-Q3,0.0,2.0,2,0.0,1.0
ARI,2022,3,3.0,short,down_7-13,Q3-Q4,1.0,2.0,3,0.3333333333333333,0.6666666666666666
ARI,2022,3,3.0,long,down_7-13,Q2-Q3,3.0,0.0,3,1.0,0.0
