team,season,week,off_pr_allowed,dropbacks,pressures_allowed,def_pr_created,opp_dropbacks,pressures_created
ARI,2025,1,0.12195121951219512,41,5,0.0392156862745098,51,2
ATL,2025,1,0.0784313725490196,51,4,0.05263157894736842,38,2
BAL,2025,1,0.17391304347826086,23,4,0.05263157894736842,57,3
BUF,2025,1,0.05263157894736842,57,3,0.17391304347826086,23,4
CAR,2025,1,0.11627906976744186,43,5,0.030303030303030304,33,1
CHI,2025,1,0.08695652173913043,46,4,0.16666666666666666,30,5
CIN,2025,1,0.2413793103448276,29,7,0.09433962264150944,53,5
CLE,2025,1,0.09433962264150944,53,5,0.2413793103448276,29,7
DAL,2025,1,0.02564102564102564,39,1,0.15151515151515152,33,5
DEN,2025,1,0.10416666666666667,48,5,0.3888888888888889,36,14
DET,2025,1,0.18181818181818182,44,8,0.08333333333333333,24,2
GB,2025,1,0.08333333333333333,24,2,0.18181818181818182,44,8
HOU,2025,1,0.18421052631578946,38,7,0.17647058823529413,34,6
IND,2025,1,0.058823529411764705,34,2,0.16216216216216217,37,6
JAX,2025,1,0.030303030303030304,33,1,0.11627906976744186,43,5
KC,2025,1,0.16666666666666666,48,8,0.09302325581395349,43,4
LA,2025,1,0.17647058823529413,34,6,0.18421052631578946,38,7
LAC,2025,1,0.09302325581395349,43,4,0.16666666666666666,48,8
LV,2025,1,0.21052631578947367,38,8,0.2037037037037037,54,11
MIA,2025,1,0.16216216216216217,37,6,0.058823529411764705,34,2
MIN,2025,1,0.16666666666666666,30,5,0.08695652173913043,46,4
NE,2025,1,0.2037037037037037,54,11,0.21052631578947367,38,8
NO,2025,1,0.0392156862745098,51,2,0.12195121951219512,41,5
NYG,2025,1,0.1568627450980392,51,8,0.0975609756097561,41,4
NYJ,2025,1,0.23076923076923078,26,6,0.19444444444444445,36,7
PHI,2025,1,0.15151515151515152,33,5,0.02564102564102564,39,1
PIT,2025,1,0.19444444444444445,36,7,0.23076923076923078,26,6
SEA,2025,1,0.11538461538461539,26,3,0.19047619047619047,42,8
SF,2025,1,0.19047619047619047,42,8,0.11538461538461539,26,3
TB,2025,1,0.05263157894736842,38,2,0.0784313725490196,51,4
TEN,2025,1,0.3888888888888889,36,14,0.10416666666666667,48,5
WAS,2025,1,0.0975609756097561,41,4,0.1568627450980392,51,8
ARI,2025,2,0.11764705882352941,34,4,0.15384615384615385,65,10
ATL,2025,2,0.19230769230769232,26,5,0.3,30,9
BAL,2025,2,0.1111111111111111,36,4,0.17307692307692307,52,9
BUF,2025,2,0.058823529411764705,34,2,0.22580645161290322,31,7
CAR,2025,2,0.15384615384615385,65,10,0.11764705882352941,34,4
CHI,2025,2,0.09090909090909091,44,4,0.13333333333333333,30,4
CIN,2025,2,0.17647058823529413,51,9,0.08888888888888889,45,4
CLE,2025,2,0.17307692307692307,52,9,0.1111111111111111,36,4
DAL,2025,2,0.11290322580645161,62,7,0.15217391304347827,46,7
DEN,2025,2,0.0,36,0,0.15,40,6
DET,2025,2,0.13333333333333333,30,4,0.09090909090909091,44,4
GB,2025,2,0.08108108108108109,37,3,0.18181818181818182,55,10
HOU,2025,2,0.15625,32,5,0.1346153846153846,52,7
IND,2025,2,0.15,40,6,0.0,36,0
JAX,2025,2,0.08888888888888889,45,4,0.17647058823529413,51,9
KC,2025,2,0.21951219512195122,41,9,0.15384615384615385,26,4
LA,2025,2,0.16666666666666666,36,6,0.20930232558139536,43,9
LAC,2025,2,0.09090909090909091,33,3,0.09433962264150944,53,5
LV,2025,2,0.09433962264150944,53,5,0.09090909090909091,33,3
MIA,2025,2,0.16666666666666666,42,7,0.09375,32,3
MIN,2025,2,0.3,30,9,0.19230769230769232,26,5
NE,2025,2,0.09375,32,3,0.16666666666666666,42,7
NO,2025,2,0.11363636363636363,44,5,0.13636363636363635,44,6
NYG,2025,2,0.15217391304347827,46,7,0.11290322580645161,62,7
NYJ,2025,2,0.22580645161290322,31,7,0.058823529411764705,34,2
PHI,2025,2,0.15384615384615385,26,4,0.21951219512195122,41,9
PIT,2025,2,0.16666666666666666,42,7,0.2222222222222222,36,8
SEA,2025,2,0.2222222222222222,36,8,0.16666666666666666,42,7
SF,2025,2,0.13636363636363635,44,6,0.11363636363636363,44,5
TB,2025,2,0.1346153846153846,52,7,0.15625,32,5
TEN,2025,2,0.20930232558139536,43,9,0.16666666666666666,36,6
WAS,2025,2,0.18181818181818182,55,10,0.08108108108108109,37,3
ARI,2025,3,0.0975609756097561,41,4,0.18181818181818182,44,8
ATL,2025,3,0.044444444444444446,45,2,0.10344827586206896,29,3
BAL,2025,3,0.17073170731707318,41,7,0.2,30,6
BUF,2025,3,0.058823529411764705,34,2,0.02702702702702703,37,1
CAR,2025,3,0.10344827586206896,29,3,0.044444444444444446,45,2
CHI,2025,3,0.03225806451612903,31,1,0.13725490196078433,51,7
CIN,2025,3,0.29411764705882354,34,10,0.13333333333333333,30,4
CLE,2025,3,0.2222222222222222,45,10,0.14285714285714285,35,5
DAL,2025,3,0.13725490196078433,51,7,0.03225806451612903,31,1
DEN,2025,3,0.14285714285714285,35,5,0.2413793103448276,58,14
DET,2025,3,0.2,30,6,0.17073170731707318,41,7
GB,2025,3,0.14285714285714285,35,5,0.2222222222222222,45,10
HOU,2025,3,0.1111111111111111,45,5,0.08888888888888889,45,4
IND,2025,3,0.06896551724137931,29,2,0.14,50,7
JAX,2025,3,0.08888888888888889,45,4,0.1111111111111111,45,5
KC,2025,3,0.1956521739130435,46,9,0.21428571428571427,42,9
LA,2025,3,0.2,35,7,0.1,40,4
LAC,2025,3,0.2413793103448276,58,14,0.14285714285714285,35,5
LV,2025,3,0.25,36,9,0.12,25,3
MIA,2025,3,0.02702702702702703,37,1,0.058823529411764705,34,2
MIN,2025,3,0.13333333333333333,30,4,0.29411764705882354,34,10
NE,2025,3,0.16,50,8,0.1111111111111111,27,3
NO,2025,3,0.14583333333333334,48,7,0.09523809523809523,21,2
NYG,2025,3,0.21428571428571427,42,9,0.1956521739130435,46,9
NYJ,2025,3,0.2,50,10,0.05263157894736842,38,2
PHI,2025,3,0.1,40,4,0.2,35,7
PIT,2025,3,0.1111111111111111,27,3,0.16,50,8
SEA,2025,3,0.09523809523809523,21,2,0.14583333333333334,48,7
SF,2025,3,0.18181818181818182,44,8,0.0975609756097561,41,4
TB,2025,3,0.05263157894736842,38,2,0.2,50,10
TEN,2025,3,0.14,50,7,0.06896551724137931,29,2
WAS,2025,3,0.12,25,3,0.25,36,9
ARI,2025,4,0.12962962962962962,54,7,0.09375,32,3
ATL,2025,4,0.06896551724137931,29,2,0.14285714285714285,35,5
BAL,2025,4,0.21951219512195122,41,9,0.06976744186046512,43,3
BUF,2025,4,0.2413793103448276,29,7,0.14285714285714285,35,5
CAR,2025,4,0.0975609756097561,41,4,0.043478260869565216,23,1
CHI,2025,4,0.045454545454545456,44,2,0.045454545454545456,22,1
CIN,2025,4,0.15151515151515152,33,5,0.022727272727272728,44,1
CLE,2025,4,0.25,40,10,0.16666666666666666,30,5
DAL,2025,4,0.09523809523809523,42,4,0.1,50,5
DEN,2025,4,0.022727272727272728,44,1,0.15151515151515152,33,5
DET,2025,4,0.16666666666666666,30,5,0.25,40,10
GB,2025,4,0.1,50,5,0.09523809523809523,42,4
HOU,2025,4,0.14285714285714285,35,5,0.21212121212121213,33,7
IND,2025,4,0.2,40,8,0.1875,48,9
JAX,2025,4,0.0,34,0,0.09302325581395349,43,4
KC,2025,4,0.06976744186046512,43,3,0.21951219512195122,41,9
LA,2025,4,0.1875,48,9,0.2,40,8
LAC,2025,4,0.25,48,12,0.23529411764705882,34,8
LV,2025,4,0.045454545454545456,22,1,0.045454545454545456,44,2
MIA,2025,4,0.0,29,0,0.075,40,3
MIN,2025,4,0.22807017543859648,57,13,0.12,25,3
NE,2025,4,0.043478260869565216,23,1,0.0975609756097561,41,4
NO,2025,4,0.14285714285714285,35,5,0.2413793103448276,29,7
NYG,2025,4,0.23529411764705882,34,8,0.25,48,12
NYJ,2025,4,0.075,40,3,0.0,29,0
PHI,2025,4,0.0967741935483871,31,3,0.043478260869565216,46,2
PIT,2025,4,0.12,25,3,0.22807017543859648,57,13
SEA,2025,4,0.09375,32,3,0.12962962962962962,54,7
SF,2025,4,0.09302325581395349,43,4,0.0,34,0
TB,2025,4,0.043478260869565216,46,2,0.0967741935483871,31,3
TEN,2025,4,0.21212121212121213,33,7,0.14285714285714285,35,5
WAS,2025,4,0.14285714285714285,35,5,0.06896551724137931,29,2
ARI,2025,5,0.125,40,5,0.09090909090909091,44,4
BAL,2025,5,0.08695652173913043,23,2,0.10526315789473684,38,4
BUF,2025,5,0.09302325581395349,43,4,0.2,40,8
CAR,2025,5,0.18421052631578946,38,7,0.07142857142857142,42,3
CIN,2025,5,0.1836734693877551,49,9,0.25,28,7
CLE,2025,5,0.08571428571428572,35,3,0.06666666666666667,45,3
DAL,2025,5,0.09090909090909091,33,3,0.21666666666666667,60,13
DEN,2025,5,0.17391304347826086,46,8,0.18,50,9
DET,2025,5,0.25,28,7,0.1836734693877551,49,9
HOU,2025,5,0.10526315789473684,38,4,0.08695652173913043,23,2
IND,2025,5,0.07894736842105263,38,3,0.11627906976744186,43,5
JAX,2025,5,0.1794871794871795,39,7,0.08695652173913043,46,4
KC,2025,5,0.08695652173913043,46,4,0.1794871794871795,39,7
LA,2025,5,0.04,50,2,0.17307692307692307,52,9
LAC,2025,5,0.1951219512195122,41,8,0.029411764705882353,34,1
LV,2025,5,0.11627906976744186,43,5,0.07894736842105263,38,3
MIA,2025,5,0.07142857142857142,42,3,0.18421052631578946,38,7
MIN,2025,5,0.06666666666666667,45,3,0.08571428571428572,35,3
NE,2025,5,0.2,40,8,0.09302325581395349,43,4
NO,2025,5,0.02857142857142857,35,1,0.125,48,6
NYG,2025,5,0.125,48,6,0.02857142857142857,35,1
NYJ,2025,5,0.21666666666666667,60,13,0.09090909090909091,33,3
PHI,2025,5,0.18,50,9,0.17391304347826086,46,8
SEA,2025,5,0.05128205128205128,39,2,0.024390243902439025,41,1
SF,2025,5,0.17307692307692307,52,9,0.04,50,2
TB,2025,5,0.024390243902439025,41,1,0.05128205128205128,39,2
TEN,2025,5,0.09090909090909091,44,4,0.125,40,5
WAS,2025,5,0.029411764705882353,34,1,0.1951219512195122,41,8
ARI,2025,6,0.24,50,12,0.18181818181818182,33,6
ATL,2025,6,0.10526315789473684,38,4,0.16216216216216217,37,6
BAL,2025,6,0.2682926829268293,41,11,0.06666666666666667,30,2
BUF,2025,6,0.16216216216216217,37,6,0.10526315789473684,38,4
CAR,2025,6,0.1724137931034483,29,5,0.05555555555555555,36,2
CHI,2025,6,0.10526315789473684,38,4,0.075,40,3
CIN,2025,6,0.10638297872340426,47,5,0.12121212121212122,33,4
CLE,2025,6,0.23076923076923078,65,15,0.0967741935483871,31,3
DAL,2025,6,0.05555555555555555,36,2,0.1724137931034483,29,5
DEN,2025,6,0.08333333333333333,36,3,0.3793103448275862,29,11
DET,2025,6,0.125,32,4,0.1,40,4
GB,2025,6,0.12121212121212122,33,4,0.10638297872340426,47,5
IND,2025,6,0.18181818181818182,33,6,0.24,50,12
JAX,2025,6,0.24528301886792453,53,13,0.13793103448275862,29,4
KC,2025,6,0.1,40,4,0.125,32,4
LA,2025,6,0.06666666666666667,30,2,0.2682926829268293,41,11
LAC,2025,6,0.1794871794871795,39,7,0.10256410256410256,39,4
LV,2025,6,0.2413793103448276,29,7,0.2,45,9
MIA,2025,6,0.10256410256410256,39,4,0.1794871794871795,39,7
NE,2025,6,0.11428571428571428,35,4,0.11428571428571428,35,4
NO,2025,6,0.11428571428571428,35,4,0.11428571428571428,35,4
NYG,2025,6,0.08571428571428572,35,3,0.07692307692307693,39,3
NYJ,2025,6,0.3793103448275862,29,11,0.08333333333333333,36,3
PHI,2025,6,0.07692307692307693,39,3,0.08571428571428572,35,3
PIT,2025,6,0.0967741935483871,31,3,0.23076923076923078,65,15
SEA,2025,6,0.13793103448275862,29,4,0.24528301886792453,53,13
SF,2025,6,0.16666666666666666,48,8,0.038461538461538464,26,1
TB,2025,6,0.038461538461538464,26,1,0.16666666666666666,48,8
TEN,2025,6,0.2,45,9,0.2413793103448276,29,7
WAS,2025,6,0.075,40,3,0.10526315789473684,38,4
ARI,2025,7,0.21568627450980393,51,11,0.05555555555555555,36,2
ATL,2025,7,0.10638297872340426,47,5,0.14285714285714285,28,4
CAR,2025,7,0.1891891891891892,37,7,0.2,45,9
CHI,2025,7,0.14285714285714285,28,4,0.1794871794871795,39,7
CIN,2025,7,0.09615384615384616,52,5,0.05405405405405406,37,2
CLE,2025,7,0.11538461538461539,26,3,0.1891891891891892,37,7
DAL,2025,7,0.10526315789473684,38,4,0.16666666666666666,42,7
DEN,2025,7,0.08771929824561403,57,5,0.18181818181818182,44,8
DET,2025,7,0.24324324324324326,37,9,0.14035087719298245,57,8
GB,2025,7,0.05555555555555555,36,2,0.21568627450980393,51,11
HOU,2025,7,0.11475409836065574,61,7,0.13157894736842105,38,5
IND,2025,7,0.1388888888888889,36,5,0.23809523809523808,63,15
JAX,2025,7,0.2033898305084746,59,12,0.09523809523809523,42,4
KC,2025,7,0.06818181818181818,44,3,0.08695652173913043,23,2
LA,2025,7,0.09523809523809523,42,4,0.2033898305084746,59,12
LAC,2025,7,0.23809523809523808,63,15,0.1388888888888889,36,5
LV,2025,7,0.08695652173913043,23,2,0.06818181818181818,44,3
MIA,2025,7,0.1891891891891892,37,7,0.11538461538461539,26,3
MIN,2025,7,0.16666666666666666,48,8,0.15384615384615385,26,4
NE,2025,7,0.1388888888888889,36,5,0.15,40,6
NO,2025,7,0.1794871794871795,39,7,0.14285714285714285,28,4
NYG,2025,7,0.18181818181818182,44,8,0.08771929824561403,57,5
NYJ,2025,7,0.2,45,9,0.1891891891891892,37,7
PHI,2025,7,0.15384615384615385,26,4,0.16666666666666666,48,8
PIT,2025,7,0.05405405405405406,37,2,0.09615384615384616,52,5
SEA,2025,7,0.13157894736842105,38,5,0.11475409836065574,61,7
SF,2025,7,0.14285714285714285,28,4,0.10638297872340426,47,5
TB,2025,7,0.14035087719298245,57,8,0.24324324324324326,37,9
TEN,2025,7,0.15,40,6,0.1388888888888889,36,5
WAS,2025,7,0.16666666666666666,42,7,0.10526315789473684,38,4
ATL,2025,8,0.12121212121212122,33,4,0.06451612903225806,31,2
BAL,2025,8,0.1111111111111111,27,3,0.09523809523809523,42,4
BUF,2025,8,0.07692307692307693,26,2,0.2647058823529412,34,9
CAR,2025,8,0.2647058823529412,34,9,0.07692307692307693,26,2
CHI,2025,8,0.09523809523809523,42,4,0.1111111111111111,27,3
CIN,2025,8,0.05405405405405406,37,2,0.02631578947368421,38,1
CLE,2025,8,0.05,40,2,0.21621621621621623,37,8
DAL,2025,8,0.17391304347826086,46,8,0.029411764705882353,34,1
DEN,2025,8,0.029411764705882353,34,1,0.17391304347826086,46,8
GB,2025,8,0.13157894736842105,38,5,0.1111111111111111,45,5
HOU,2025,8,0.044444444444444446,45,2,0.15789473684210525,38,6
IND,2025,8,0.17142857142857143,35,6,0.13043478260869565,46,6
KC,2025,8,0.16666666666666666,42,7,0.1111111111111111,36,4
