posteam,season,week,red_zone_trips,red_zone_trips_per_game,red_zone_td_pct,red_zone_fg_pct
ARI,2022,1,3,3.0,1.0,1.0
ARI,2022,2,4,4.0,0.75,1.0
ARI,2022,3,2,2.0,0.0,1.0
ARI,2022,4,6,6.0,0.5,1.0
ARI,2022,5,3,3.0,0.6666666666666666,1.0
ARI,2022,6,2,2.0,0.0,1.0
ARI,2022,7,4,4.0,0.75,1.0
ARI,2022,8,4,4.0,0.75,1.0
ARI,2022,9,2,2.0,1.0,1.0
ARI,2022,10,4,4.0,0.75,1.0
ARI,2022,11,2,2.0,0.5,1.0
ARI,2022,12,3,3.0,1.0,1.0
ARI,2022,14,3,3.0,0.3333333333333333,1.0
ARI,2022,15,1,1.0,1.0,1.0
ARI,2022,16,3,3.0,0.3333333333333333,1.0
ARI,2022,17,4,4.0,0.25,1.0
ARI,2022,18,2,2.0,1.0,1.0
ARI,2023,1,2,2.0,0.0,1.0
ARI,2023,2,5,5.0,0.6,1.0
ARI,2023,3,3,3.0,1.0,1.0
ARI,2023,4,4,4.0,0.5,1.0
ARI,2023,5,4,4.0,0.75,1.0
ARI,2023,6,3,3.0,0.0,1.0
ARI,2023,7,3,3.0,0.3333333333333333,1.0
ARI,2023,8,3,3.0,1.0,1.0
ARI,2023,10,4,4.0,0.5,1.0
ARI,2023,11,2,2.0,1.0,1.0
ARI,2023,12,2,2.0,1.0,1.0
ARI,2023,13,4,4.0,0.75,1.0
ARI,2023,15,4,4.0,0.75,1.0
ARI,2023,16,2,2.0,1.0,1.0
ARI,2023,17,7,7.0,0.7142857142857143,1.0
ARI,2023,18,4,4.0,0.5,1.0
ARI,2024,1,5,5.0,0.6,1.0
ARI,2024,2,6,6.0,0.8333333333333334,1.0
ARI,2024,3,1,1.0,1.0,1.0
ARI,2024,4,2,2.0,1.0,1.0
ARI,2024,5,5,5.0,0.4,1.0
ARI,2024,6,3,3.0,0.3333333333333333,1.0
ARI,2024,7,3,3.0,0.6666666666666666,1.0
ARI,2024,8,4,4.0,0.75,1.0
ARI,2024,9,5,5.0,0.6,1.0
ARI,2024,10,5,5.0,0.8,1.0
ARI,2024,12,2,2.0,0.0,1.0
ARI,2024,13,6,6.0,0.16666666666666666,1.0
ARI,2024,14,4,4.0,0.5,1.0
ARI,2024,15,4,4.0,0.75,1.0
ARI,2024,16,4,4.0,0.75,1.0
ARI,2024,17,4,4.0,0.25,1.0
ARI,2024,18,6,6.0,1.0,1.0
ARI,2025,1,3,3.0,0.6666666666666666,1.0
ARI,2025,2,4,4.0,0.5,1.0
ARI,2025,3,4,4.0,0.25,1.0
ARI,2025,4,3,3.0,0.6666666666666666,1.0
ARI,2025,5,4,4.0,0.75,1.0
ARI,2025,6,6,6.0,0.5,1.0
ARI,2025,7,4,4.0,0.5,1.0
ATL,2022,1,4,4.0,0.5,1.0
ATL,2022,2,6,6.0,0.3333333333333333,1.0
ATL,2022,3,4,4.0,0.75,1.0
ATL,2022,4,4,4.0,0.5,1.0
ATL,2022,5,2,2.0,1.0,1.0
ATL,2022,6,3,3.0,1.0,1.0
ATL,2022,7,2,2.0,1.0,1.0
ATL,2022,8,5,5.0,0.6,1.0
ATL,2022,9,4,4.0,0.5,1.0
ATL,2022,10,3,3.0,0.6666666666666666,1.0
ATL,2022,11,4,4.0,0.75,1.0
ATL,2022,12,2,2.0,0.5,1.0
ATL,2022,13,2,2.0,0.5,1.0
ATL,2022,15,3,3.0,0.6666666666666666,1.0
ATL,2022,16,4,4.0,0.0,1.0
ATL,2022,17,5,5.0,0.4,1.0
ATL,2022,18,4,4.0,0.75,1.0
ATL,2023,1,3,3.0,1.0,1.0
ATL,2023,2,5,5.0,0.4,1.0
ATL,2023,3,1,1.0,0.0,1.0
ATL,2023,4,2,2.0,0.5,1.0
ATL,2023,5,4,4.0,0.5,1.0
ATL,2023,6,3,3.0,0.6666666666666666,1.0
ATL,2023,7,5,5.0,0.2,1.0
ATL,2023,8,3,3.0,0.6666666666666666,1.0
ATL,2023,9,4,4.0,0.5,1.0
ATL,2023,10,4,4.0,0.75,1.0
ATL,2023,12,3,3.0,0.6666666666666666,1.0
ATL,2023,13,2,2.0,0.5,1.0
ATL,2023,14,4,4.0,0.75,1.0
ATL,2023,15,2,2.0,0.5,1.0
ATL,2023,16,5,5.0,0.4,1.0
ATL,2023,17,3,3.0,0.6666666666666666,1.0
ATL,2023,18,4,4.0,0.5,1.0
ATL,2024,1,2,2.0,0.5,1.0
ATL,2024,2,4,4.0,0.5,1.0
ATL,2024,3,4,4.0,0.5,1.0
ATL,2024,4,1,1.0,0.0,1.0
ATL,2024,5,5,5.0,0.6,1.0
ATL,2024,6,8,8.0,0.5,1.0
ATL,2024,7,2,2.0,1.0,1.0
ATL,2024,8,4,4.0,1.0,1.0
ATL,2024,9,4,4.0,1.0,1.0
ATL,2024,10,4,4.0,0.5,1.0
ATL,2024,11,1,1.0,0.0,1.0
ATL,2024,13,4,4.0,0.25,1.0
ATL,2024,14,5,5.0,0.4,1.0
ATL,2024,15,2,2.0,0.5,1.0
ATL,2024,16,4,4.0,0.5,1.0
ATL,2024,17,3,3.0,1.0,1.0
ATL,2024,18,6,6.0,0.8333333333333334,1.0
ATL,2025,1,3,3.0,0.6666666666666666,1.0
ATL,2025,2,5,5.0,0.2,1.0
ATL,2025,4,6,6.0,0.6666666666666666,1.0
ATL,2025,6,5,5.0,0.6,1.0
ATL,2025,7,2,2.0,0.5,1.0
ATL,2025,8,2,2.0,0.5,1.0
ATL,2025,9,4,4.0,0.75,1.0
BAL,2022,1,4,4.0,0.75,1.0
BAL,2022,2,6,6.0,0.8333333333333334,1.0
BAL,2022,3,5,5.0,1.0,1.0
BAL,2022,4,4,4.0,0.5,1.0
BAL,2022,5,3,3.0,0.3333333333333333,1.0
BAL,2022,6,4,4.0,0.5,1.0
BAL,2022,7,4,4.0,0.5,1.0
BAL,2022,8,6,6.0,0.5,1.0
BAL,2022,9,5,5.0,0.6,1.0
BAL,2022,11,4,4.0,0.25,1.0
BAL,2022,12,5,5.0,0.4,1.0
BAL,2022,13,2,2.0,0.5,1.0
BAL,2022,14,3,3.0,0.3333333333333333,1.0
BAL,2022,15,2,2.0,0.0,1.0
BAL,2022,16,4,4.0,0.25,1.0
BAL,2022,17,2,2.0,0.5,1.0
BAL,2022,18,3,3.0,0.3333333333333333,1.0
BAL,2022,19,5,5.0,0.6,1.0
BAL,2023,1,5,5.0,0.6,1.0
BAL,2023,2,4,4.0,0.75,1.0
BAL,2023,3,3,3.0,0.6666666666666666,1.0
BAL,2023,4,4,4.0,1.0,1.0
BAL,2023,5,3,3.0,0.3333333333333333,1.0
BAL,2023,6,6,6.0,0.16666666666666666,1.0
BAL,2023,7,6,6.0,0.8333333333333334,1.0
