game_id,season,week,home_team,away_team,home_rest_days,away_rest_days,roof,surface,temp,wind,is_dome
2022_01_BUF_LA,2022,1,LA,BUF,7,7,dome,matrixturf,,,True
2022_01_NO_ATL,2022,1,ATL,NO,7,7,closed,fieldturf,,,False
2022_01_CLE_CAR,2022,1,CAR,CLE,7,7,outdoors,grass,,,False
2022_01_SF_CHI,2022,1,CHI,SF,7,7,outdoors,grass,,,False
2022_01_PIT_CIN,2022,1,CIN,PIT,7,7,outdoors,fieldturf,,,False
2022_01_PHI_DET,2022,1,DET,PHI,7,7,dome,fieldturf,,,True
2022_01_IND_HOU,2022,1,HOU,IND,7,7,closed,astroturf,,,False
2022_01_NE_MIA,2022,1,MIA,NE,7,7,outdoors,grass,,,False
2022_01_BAL_NYJ,2022,1,NYJ,BAL,7,7,outdoors,fieldturf,,,False
2022_01_JAX_WAS,2022,1,WAS,JAX,7,7,outdoors,grass,,,False
2022_01_KC_ARI,2022,1,ARI,KC,7,7,closed,grass,,,False
2022_01_LV_LAC,2022,1,LAC,LV,7,7,dome,matrixturf,,,True
2022_01_GB_MIN,2022,1,MIN,GB,7,7,dome,sportturf,,,True
2022_01_NYG_TEN,2022,1,TEN,NYG,7,7,outdoors,grass,,,False
2022_01_TB_DAL,2022,1,DAL,TB,7,7,closed,matrixturf,,,False
2022_01_DEN_SEA,2022,1,SEA,DEN,7,7,outdoors,fieldturf,,,False
2022_02_LAC_KC,2022,2,KC,LAC,4,4,outdoors,grass,,,False
2022_02_MIA_BAL,2022,2,BAL,MIA,7,7,outdoors,grass,,,False
2022_02_NYJ_CLE,2022,2,CLE,NYJ,7,7,outdoors,grass,,,False
2022_02_WAS_DET,2022,2,DET,WAS,7,7,dome,fieldturf,,,True
2022_02_IND_JAX,2022,2,JAX,IND,7,7,outdoors,grass,,,False
2022_02_TB_NO,2022,2,NO,TB,7,7,dome,sportturf,,,True
2022_02_CAR_NYG,2022,2,NYG,CAR,7,7,outdoors,fieldturf,,,False
2022_02_NE_PIT,2022,2,PIT,NE,7,7,outdoors,grass,,,False
2022_02_ATL_LA,2022,2,LA,ATL,10,7,dome,matrixturf,,,True
2022_02_SEA_SF,2022,2,SF,SEA,7,6,outdoors,grass,,,False
2022_02_CIN_DAL,2022,2,DAL,CIN,7,7,closed,matrixturf,,,False
2022_02_HOU_DEN,2022,2,DEN,HOU,6,7,outdoors,grass,,,False
2022_02_ARI_LV,2022,2,LV,ARI,7,7,dome,grass,,,True
2022_02_CHI_GB,2022,2,GB,CHI,7,7,outdoors,grass,,,False
2022_02_TEN_BUF,2022,2,BUF,TEN,11,8,outdoors,a_turf,,,False
2022_02_MIN_PHI,2022,2,PHI,MIN,8,8,outdoors,grass,,,False
2022_03_PIT_CLE,2022,3,CLE,PIT,4,4,outdoors,grass,,,False
2022_03_NO_CAR,2022,3,CAR,NO,7,7,outdoors,grass,,,False
2022_03_HOU_CHI,2022,3,CHI,HOU,7,7,outdoors,grass,,,False
2022_03_KC_IND,2022,3,IND,KC,7,10,open,fieldturf,,,False
2022_03_BUF_MIA,2022,3,MIA,BUF,7,6,outdoors,grass,,,False
2022_03_DET_MIN,2022,3,MIN,DET,6,7,dome,sportturf,,,True
2022_03_BAL_NE,2022,3,NE,BAL,7,7,outdoors,fieldturf,,,False
2022_03_CIN_NYJ,2022,3,NYJ,CIN,7,7,outdoors,fieldturf,,,False
