posteam,season,punt_net_yards,field_goal_make_pct,kick_return_avg,punt_return_avg
ARI,2022,41.84804,0.882051282051282,8.02563,3.8225489
ARI,2023,45.56379,0.8444444444444444,4.3784313,4.5739493
ARI,2024,43.369606,0.921875,7.159524,3.797059
ARI,2025,44.261223,0.888888888888889,20.942858,5.8857145
ATL,2022,41.621567,0.8416666666666667,7.047339,5.895833
ATL,2023,43.18651,0.8888888888888888,3.012255,3.2558823
ATL,2024,41.96042,0.709375,8.988376,4.5176473
ATL,2025,41.95238,0.738095238095238,18.004763,2.654762
BAL,2022,41.678837,0.9009259259259258,8.863757,4.4243383
BAL,2023,42.497932,0.8725490196078431,5.0991855,4.805827
BAL,2024,43.160187,0.7678571428571429,10.995363,3.2754385
BAL,2025,42.980953,0.9285714285714286,20.831972,7.1333337
BUF,2022,42.593628,0.8529411764705883,12.600132,4.1990743
BUF,2023,42.7693,0.8020833333333334,4.65188,4.081579
BUF,2024,40.25375,0.8508771929824561,9.640833,6.6991224
BUF,2025,40.47959,0.9166666666666667,23.062586,2.5204082
CAR,2022,45.569748,0.9611111111111111,9.171709,2.8631651
CAR,2023,42.998386,0.8125,8.225443,3.6452382
CAR,2024,42.438515,0.8642857142857143,9.6833105,3.4624999
CAR,2025,45.129166,0.8125,16.327976,2.7604167
CHI,2022,41.07591,0.9358974358974359,10.976821,3.6323528
CHI,2023,42.91732,0.9366666666666666,7.819328,3.113889
CHI,2024,42.1208,0.8452380952380952,9.257003,5.9058824
CHI,2025,40.792515,0.8416666666666667,20.636225,7.87415
CIN,2022,39.830135,0.8240740740740741,8.120552,5.1723685
CIN,2023,37.958683,0.8901960784313725,5.046078,5.95014
CIN,2024,44.073017,0.7291666666666667,15.256093,4.1825895
CIN,2025,49.161457,0.9166666666666666,18.709673,3.8125
CLE,2022,44.784172,0.7916666666666667,11.345402,3.470982
CLE,2023,46.561264,0.9422222222222223,3.9298944,2.8761022
CLE,2024,43.397503,0.65,11.197479,5.239893
CLE,2025,41.51964,0.75,20.888393,3.0770833
DAL,2022,45.702755,0.875,6.997995,4.335053
DAL,2023,48.81131,0.9607843137254901,5.132738,1.5481791
DAL,2024,46.57465,0.8284313725490197,10.858894,2.2842262
DAL,2025,44.514584,1.0,17.292362,2.4958332
DEN,2022,42.30252,0.7999999999999999,5.1907563,4.10997
DEN,2023,40.32269,0.85,4.009804,5.7752104
DEN,2024,41.822353,0.8529411764705883,4.7950397,4.9332013
DEN,2025,42.217113,0.8571428571428572,22.560417,5.382823
DET,2022,44.33631,0.8452380952380952,10.646686,4.680357
DET,2023,40.946667,0.9589743589743589,4.50375,5.2941666
DET,2024,43.122223,0.9010416666666666,6.9712963,6.0235295
DET,2025,43.787075,0.75,23.130953,3.5272107
GB,2022,36.283752,0.875,14.287535,5.8159666
GB,2023,42.299732,0.8379629629629629,9.605889,2.8046365
GB,2024,43.439816,0.8431372549019608,10.062963,2.5787036
GB,2025,47.511906,0.8095238095238094,19.821428,3.4285715
HOU,2022,43.743137,0.9509803921568628,5.8236694,4.754902
HOU,2023,41.844986,0.8229166666666666,8.426692,4.470614
