posteam,season,week,punt_net_yards,field_goal_make_pct,kick_return_avg,punt_return_avg
ARI,2022,1,51.5,0.882051282051282,8.5,-0.5
ARI,2022,2,38.333332,0.882051282051282,6.6666665,7.0
ARI,2022,3,36.0,1.0,0.0,4.0
ARI,2022,4,53.666668,1.0,21.5,3.0
ARI,2022,5,46.5,0.5,3.8,2.5
ARI,2022,6,38.0,1.0,8.8,2.5
ARI,2022,7,44.25,1.0,9.6,0.0
ARI,2022,8,43.733334,1.0,3.0,2.6
ARI,2022,9,45.666668,0.882051282051282,13.5,2.3333333
ARI,2022,10,39.4,1.0,3.5,8.0
ARI,2022,11,41.5,1.0,0.0,3.75
ARI,2022,12,47.5,0.5,3.8,2.5
ARI,2022,14,45.666668,0.6666666666666666,26.8,2.8333333
ARI,2022,15,47.63333,1.0,4.6,2.2
ARI,2022,16,31.8,1.0,2.8333333,14.2
ARI,2022,17,12.333334,0.8,6.25,4.6666665
ARI,2022,18,47.93333,0.882051282051282,13.285714,3.4
ARI,2023,1,43.0,1.0,0.0,4.0
ARI,2023,2,48.666668,0.6666666666666666,3.1666667,0.0
ARI,2023,3,37.5,1.0,5.6,9.5
ARI,2023,4,39.0,1.0,2.1666667,0.0
ARI,2023,5,47.416668,0.8444444444444444,0.0,7.3333335
ARI,2023,6,40.666668,1.0,0.0,4.0
ARI,2023,7,45.333332,0.5,5.6,2.6666667
ARI,2023,8,49.55,1.0,3.6666667,2.2
ARI,2023,9,44.253967,0.8444444444444444,5.0,6.857143
ARI,2023,10,38.0,1.0,4.4,14.0
ARI,2023,11,52.0,1.0,5.75,1.5
ARI,2023,12,45.6,0.0,0.0,0.0
ARI,2023,13,44.4,1.0,8.0,6.0
ARI,2023,15,56.0,1.0,0.0,0.0
ARI,2023,16,51.36667,1.0,14.5,0.8
ARI,2023,18,46.266666,0.5,4.25,4.4
ARI,2024,1,36.0,1.0,17.571428,3.0
ARI,2024,2,52.5,1.0,0.0,7.5
ARI,2024,3,52.0,1.0,0.0,0.0
ARI,2024,4,44.0,0.921875,18.571428,4.0
ARI,2024,5,52.0,0.75,13.2,1.0
ARI,2024,6,52.75,1.0,22.285715,0.0
ARI,2024,7,44.5,1.0,10.8,0.0
ARI,2024,8,53.333332,1.0,3.0,0.0
ARI,2024,9,30.5,1.0,0.0,16.25
ARI,2024,10,40.0,1.0,0.0,0.0
ARI,2024,12,51.666668,0.6666666666666666,19.75,0.0
ARI,2024,13,37.0,0.8333333333333334,4.3333335,5.0
ARI,2024,14,40.8,0.5,0.0,4.2
ARI,2024,15,42.0,1.0,0.0,6.5
ARI,2024,16,36.733334,1.0,5.2,2.6
ARI,2024,17,38.5,1.0,7.0,2.5
ARI,2024,18,33.0,1.0,0.0,12.0
ARI,2025,1,39.5,0.6666666666666666,18.25,7.5
