posteam,season,off_anya,def_anya_allowed
ARI,2022,4.3142433,6.2937965
ARI,2023,4.828931,6.896229
ARI,2024,6.317982,6.130269
ARI,2025,5.0428534,5.8326087
ATL,2022,5.5637655,6.7046776
ATL,2023,5.2045474,5.8688526
ATL,2024,5.826802,6.617065
ATL,2025,6.2535734,4.7439947
BAL,2022,5.2774725,5.332192
BAL,2023,6.9249434,3.96982
BAL,2024,9.359297,5.6686277
BAL,2025,6.220476,6.878478
BUF,2022,6.434136,4.8318133
BUF,2023,6.4138637,4.830437
BUF,2024,7.7982397,6.0902166
BUF,2025,6.9451466,5.001572
CAR,2022,5.3503685,6.0660505
CAR,2023,3.615083,5.572827
CAR,2024,4.650309,7.0701547
CAR,2025,4.517174,6.3223453
CHI,2022,3.9409475,6.6239734
CHI,2023,4.6364937,5.7009697
CHI,2024,4.5626945,6.3030887
CHI,2025,6.8012323,6.335941
CIN,2022,6.3563604,5.8439116
CIN,2023,5.4690356,6.275728
CIN,2024,6.757301,6.203662
CIN,2025,5.1397614,7.497735
CLE,2022,5.3453927,5.4024997
CLE,2023,4.5887923,4.793684
CLE,2024,3.6281602,6.7082853
CLE,2025,3.509559,5.637343
DAL,2022,6.154703,5.129847
DAL,2023,6.6050434,5.7382107
DAL,2024,5.3195047,7.010937
DAL,2025,7.161248,8.005909
DEN,2022,5.030705,5.1955643
DEN,2023,5.488561,6.4445515
DEN,2024,6.053609,5.353378
DEN,2025,5.969837,4.313657
DET,2022,7.112209,6.765627
DET,2023,6.9737,6.4608154
DET,2024,7.5343103,6.0134134
DET,2025,7.7762527,5.3015456
GB,2022,6.046559,5.4469275
GB,2023,7.003137,5.9128556
GB,2024,7.5763144,5.243704
GB,2025,7.793928,4.795233
HOU,2022,4.600001,4.9864206
HOU,2023,6.973349,5.4541087
HOU,2024,5.021817,5.156832
HOU,2025,5.6206503,3.8499522
IND,2022,4.1311483,5.883363
IND,2023,5.8238626,5.710085
IND,2024,5.11523,6.3953805
IND,2025,7.4622836,5.134884
JAX,2022,5.8819427,5.9295907
JAX,2023,5.7637043,5.9639816
JAX,2024,5.3932567,7.3414264
JAX,2025,4.964806,6.2309504
KC,2022,7.8147635,5.299751
KC,2023,6.1599565,4.5814786
KC,2024,5.5640917,5.843493
KC,2025,6.7685237,5.398651
LA,2022,4.5047364,5.7012634
LA,2023,6.4054403,6.0348883
LA,2024,6.561356,6.1522956
LA,2025,7.839058,4.6339736
LAC,2022,6.08305,5.6393566
LAC,2023,5.7176056,6.4542947
LAC,2024,6.3497844,5.2582235
LAC,2025,6.1515956,4.670244
LV,2022,5.8688865,6.8929086
LV,2023,4.843625,5.5375566
LV,2024,4.7877316,5.852824
LV,2025,4.310432,6.4560623
MIA,2022,6.6196847,6.135027
MIA,2023,7.2560544,6.096379
MIA,2024,5.52447,5.745219
MIA,2025,5.00019,7.200713
MIN,2022,5.99603,6.416511
MIN,2023,5.569416,5.731361
MIN,2024,6.3879266,5.0319834
MIN,2025,4.4814053,6.577976
NE,2022,5.25783,5.0140333
NE,2023,3.9683213,5.309695
NE,2024,4.639563,6.6493917
NE,2025,7.720721,6.1109085
NO,2022,6.246623,4.8428555
NO,2023,6.3092527,5.244409
NO,2024,5.9948826,5.755885
NO,2025,4.813365,7.140768
NYG,2022,5.296053,6.0507646
NYG,2023,4.0071373,5.786156
NYG,2024,4.8521843,6.7134285
NYG,2025,5.254012,6.4176474
NYJ,2022,4.957675,4.6818733
NYJ,2023,3.4237275,4.231753
NYJ,2024,5.8412743,5.7282767
NYJ,2025,4.597746,7.4096756
PHI,2022,6.7214828,4.1485376
PHI,2023,5.7540307,6.394678
PHI,2024,6.5831065,4.381742
PHI,2025,6.8161507,5.6229
PIT,2022,4.863205,5.684832
PIT,2023,5.5722213,5.7918854
PIT,2024,5.89968,5.630021
PIT,2025,6.41675,6.2290616
SEA,2022,6.088425,6.020896
SEA,2023,5.8573723,6.0210752
SEA,2024,5.4686584,5.833411
SEA,2025,9.230938,4.623543
SF,2022,7.337428,5.0825815
SF,2023,8.2629385,4.4252625
SF,2024,6.6758423,5.8181143
SF,2025,6.046658,7.0123243
TB,2022,5.757672,6.0916796
TB,2023,6.230105,5.894088
TB,2024,7.160031,6.418757
TB,2025,6.9451065,5.741683
TEN,2022,4.7468133,6.212324
TEN,2023,4.81482,6.137172
TEN,2024,4.51688,6.003353
TEN,2025,3.5361214,6.697695
WAS,2022,5.0193105,5.8556633
WAS,2023,4.206271,7.5040345
WAS,2024,6.6264772,6.0376415
WAS,2025,5.8018994,8.19135
