posteam,season,week,avg_plays_per_drive,total_drives
ARI,2022,1,6.9,10
ARI,2022,2,9.222222222222221,9
ARI,2022,3,9.88888888888889,9
ARI,2022,4,6.083333333333333,12
ARI,2022,5,8.11111111111111,9
ARI,2022,6,6.909090909090909,11
ARI,2022,7,7.333333333333333,9
ARI,2022,8,6.25,12
ARI,2022,9,6.7,10
ARI,2022,10,7.1,10
ARI,2022,11,6.909090909090909,11
ARI,2022,12,6.2727272727272725,11
ARI,2022,14,6.166666666666667,12
ARI,2022,15,5.3076923076923075,13
ARI,2022,16,5.928571428571429,14
ARI,2022,17,8.444444444444445,9
ARI,2022,18,4.333333333333333,12
ARI,2023,1,6.0,11
ARI,2023,2,6.7,10
ARI,2023,3,6.444444444444445,9
ARI,2023,4,10.285714285714286,7
ARI,2023,5,4.6923076923076925,13
ARI,2023,6,7.090909090909091,11
ARI,2023,7,6.363636363636363,11
ARI,2023,8,6.416666666666667,12
ARI,2023,9,4.071428571428571,14
ARI,2023,10,6.7,10
ARI,2023,11,6.2,10
ARI,2023,12,6.545454545454546,11
ARI,2023,13,6.6,10
ARI,2023,15,7.8,10
ARI,2023,16,5.583333333333333,12
ARI,2023,17,9.25,8
ARI,2023,18,8.444444444444445,9
ARI,2024,1,7.111111111111111,9
ARI,2024,2,7.222222222222222,9
ARI,2024,3,5.454545454545454,11
ARI,2024,4,6.888888888888889,9
ARI,2024,5,6.888888888888889,9
ARI,2024,6,6.1,10
ARI,2024,7,6.444444444444445,9
ARI,2024,8,7.444444444444445,9
ARI,2024,9,5.7272727272727275,11
ARI,2024,10,8.285714285714286,7
ARI,2024,12,6.5,10
ARI,2024,13,8.3,10
ARI,2024,14,6.2727272727272725,11
ARI,2024,15,7.555555555555555,9
ARI,2024,16,6.363636363636363,11
ARI,2024,17,7.9,10
ARI,2024,18,5.75,12
ARI,2025,1,7.555555555555555,9
ARI,2025,2,7.285714285714286,7
ARI,2025,3,7.2,10
ARI,2025,4,6.363636363636363,11
ARI,2025,5,5.916666666666667,12
ARI,2025,6,7.4,10
ARI,2025,7,8.222222222222221,9
ATL,2022,1,6.076923076923077,13
ATL,2022,2,5.9,10
ATL,2022,3,6.111111111111111,9
ATL,2022,4,6.444444444444445,9
ATL,2022,5,7.666666666666667,9
ATL,2022,6,7.625,8
ATL,2022,7,5.777777777777778,9
ATL,2022,8,5.615384615384615,13
ATL,2022,9,7.333333333333333,9
ATL,2022,10,5.416666666666667,12
ATL,2022,11,5.888888888888889,9
ATL,2022,12,6.777777777777778,9
ATL,2022,13,7.375,8
ATL,2022,15,7.6,10
ATL,2022,16,8.222222222222221,9
