posteam,season,off_yards_per_play,off_yards_per_pass_attempt,def_yards_per_play_allowed,def_yards_per_pass_allowed
ARI,2022,4.835494,5.2703047,5.641043,6.3466525
ARI,2023,5.1070633,5.5324316,5.8661017,6.9734325
ARI,2024,5.933537,6.7075844,5.632994,6.515968
ARI,2025,4.9814835,5.6206737,5.4407086,6.2789164
ATL,2022,5.458028,6.2022247,5.7452393,6.765379
ATL,2023,5.2276993,6.320813,5.107063,6.087345
ATL,2024,5.8320127,6.7926683,5.6497717,6.6013665
ATL,2025,5.5128126,6.319092,4.9801865,5.628551
BAL,2022,5.648428,5.9985676,5.249599,6.1141257
BAL,2023,5.938412,6.849794,4.6462297,4.8967676
BAL,2024,6.989246,8.5279045,5.230487,6.0541563
BAL,2025,5.9528146,6.951394,5.7714224,6.602729
BUF,2022,6.270738,7.0191913,5.085901,5.658451
BUF,2023,5.8317847,6.969046,5.3908787,5.864407
BUF,2024,6.041669,7.322852,5.661834,6.6014085
BUF,2025,6.2699575,7.404223,5.4256115,5.8028135
CAR,2022,5.320023,6.253172,5.4722085,6.3078537
CAR,2023,4.108001,4.3922215,5.124035,5.789749
CAR,2024,5.064399,5.459761,6.069894,6.94245
CAR,2025,4.993284,5.187148,5.686434,6.6122837
CHI,2022,5.3490353,5.631374,6.2698913,7.282209
CHI,2023,5.032349,5.7458577,5.3579574,6.2983246
CHI,2024,4.530134,5.0004253,5.9434357,7.1098943
CHI,2025,5.9445324,6.9372363,6.3410234,7.5182695
CIN,2022,5.5487766,6.4416194,5.4433403,6.393092
CIN,2023,5.2467456,5.936284,6.092307,7.00293
CIN,2024,5.8007927,6.6743937,5.5254335,6.510946
CIN,2025,5.203636,5.5499234,6.476272,7.2758822
CLE,2022,5.428423,6.191994,5.506287,6.0270977
CLE,2023,4.8497963,5.6510916,4.8266263,5.3958035
CLE,2024,4.546144,4.834828,5.791218,6.804302
CLE,2025,4.1394534,4.456837,4.9294252,5.9127197
DAL,2022,5.5116744,6.5314903,5.1176753,5.90749
DAL,2023,5.726445,6.6569495,5.2278304,6.307162
DAL,2024,5.0822268,5.738583,5.9077797,7.395999
DAL,2025,6.075116,6.9249153,6.395874,7.5534716
DEN,2022,5.209713,5.9188943,5.161369,5.7551312
DEN,2023,5.125845,5.8306613,5.8731575,6.682848
DEN,2024,5.327511,6.2103662,5.0305996,5.990073
DEN,2025,5.5482593,6.066576,4.363689,4.751409
DET,2022,5.9832053,6.896411,6.263741,7.2301292
DET,2023,6.0871572,7.0289216,5.7811494,6.973307
DET,2024,6.446677,7.6704383,5.7866845,6.71616
DET,2025,5.872482,7.177041,5.1391788,5.7554216
GB,2022,5.5774326,6.3021836,5.8959565,6.597672
GB,2023,5.747965,6.9572215,5.4350257,6.2741346
GB,2024,6.179485,7.7626743,5.191853,5.9792495
GB,2025,5.961643,7.5371113,4.630143,4.9949007
HOU,2022,4.755819,5.4810166,5.819134,6.279783
HOU,2023,5.5173173,6.905646,5.1530967,6.290063
HOU,2024,5.2420287,5.7565746,5.12695,6.126583
