posteam,season,week,off_yards_per_play,off_yards_per_pass_attempt,def_yards_per_play_allowed,def_yards_per_pass_allowed
ARI,2022,1,4.453125,4.5652175,7.3939395,8.902439
ARI,2022,2,5.2125,5.226415,5.3114753,6.1707315
ARI,2022,3,4.5061727,4.887097,7.75,9.0
ARI,2022,4,5.0147057,6.1666665,4.230769,4.6153846
ARI,2022,5,5.4179106,5.8095236,5.114286,6.2
ARI,2022,6,4.4366198,4.5957446,4.4848485,5.0526314
ARI,2022,7,5.4262295,6.121212,7.071429,8.288462
ARI,2022,8,5.357143,6.25,5.602941,5.404762
ARI,2022,9,4.295082,4.409091,6.220588,7.5263157
ARI,2022,10,4.671875,5.55,4.355932,4.75
ARI,2022,11,4.4225354,5.1836734,7.072727,7.862069
ARI,2022,12,5.71875,6.2727275,4.90625,5.296296
ARI,2022,14,4.6811595,4.5576925,6.1296296,6.135135
ARI,2022,15,4.0,4.097561,5.0153847,4.7272725
ARI,2022,16,4.452055,4.3541665,5.155844,5.8541665
ARI,2022,17,4.9130435,5.0,4.983333,6.0689654
ARI,2022,18,5.2244897,6.548387,5.0983605,6.0384617
ARI,2023,1,3.6206896,3.4545455,3.8153846,4.282051
ARI,2023,2,6.2459016,7.84375,6.552239,7.822222
ARI,2023,3,7.5849056,7.4166665,5.5466666,5.6666665
ARI,2023,4,5.3235292,6.1702127,7.7843137,12.318182
ARI,2023,5,5.1578946,4.3428574,4.8846154,5.901961
ARI,2023,6,4.8055553,5.826087,7.207547,7.8846154
ARI,2023,7,3.952381,3.2564104,5.714286,7.607143
ARI,2023,8,4.3472223,4.7380953,4.559322,4.34375
ARI,2023,9,1.2083334,1.40625,4.6571426,7.121212
ARI,2023,10,5.9,6.756757,3.9230769,3.75
ARI,2023,11,5.40678,6.4594593,6.3636365,7.3333335
ARI,2023,12,4.4545455,4.38,6.9242425,6.7941175
ARI,2023,13,4.75,5.5185184,5.5789475,6.5333333
ARI,2023,15,5.972603,4.8913045,8.0,9.703704
ARI,2023,16,5.1,5.404762,6.2686567,6.6060605
ARI,2023,17,6.236111,7.029412,5.8510637,7.88
ARI,2023,18,6.753623,9.15625,6.0925927,7.0
ARI,2024,1,4.55,5.0789475,6.1929827,8.5
ARI,2024,2,7.887097,11.807693,4.7115383,6.0
ARI,2024,3,5.226415,6.0540543,5.681818,7.4615383
ARI,2024,4,5.1034484,4.3703704,6.632353,7.1621623
ARI,2024,5,6.482143,6.212121,6.095238,6.4390244
ARI,2024,6,5.509091,6.25,6.4558825,7.8
ARI,2024,7,6.207547,7.2413793,6.269841,8.0
ARI,2024,8,6.290323,8.405405,5.890625,6.0
ARI,2024,9,6.140351,5.9565215,3.5072465,3.56
ARI,2024,10,7.267857,10.36,3.7636364,3.368421
ARI,2024,12,5.321429,5.9302325,4.8644066,6.0540543
ARI,2024,13,5.3421054,5.78,5.48,5.8461537
ARI,2024,14,5.698413,6.0,6.704918,7.766667
ARI,2024,15,6.285714,6.75,6.3469386,7.464286
ARI,2024,16,5.96875,5.3414636,6.140625,6.6060605
ARI,2024,17,5.3513513,5.5185184,4.8679247,6.090909
ARI,2024,18,6.2380953,6.9722223,6.1549296,6.652174
ARI,2025,1,4.52459,4.2702703,4.7014923,4.87234
ARI,2025,2,6.2765956,8.448276,4.525641,5.1864405
ARI,2025,3,4.0625,4.525,5.9333334,6.878049
ARI,2025,4,3.953125,3.9607842,6.0,8.433333
ARI,2025,5,5.625,5.5945945,5.491803,5.9761906
ARI,2025,6,5.714286,6.893617,6.375,6.818182
ARI,2025,7,4.714286,5.652174,5.0576925,5.787879
ATL,2022,1,5.9428573,7.135135,6.7894735,6.282051
ATL,2022,2,4.614035,5.757576,5.3492064,7.3513513
ATL,2022,3,7.4615383,8.6,6.0869565,6.695652
ATL,2022,4,6.4615383,6.55,5.6760564,6.105263
ATL,2022,5,4.2419353,4.142857,5.821918,6.6603775
ATL,2022,6,5.160714,8.0,6.0701756,7.1904764
ATL,2022,7,4.7555556,6.5263157,8.276923,10.2
ATL,2022,8,6.1666665,7.83871,6.4864864,8.657895
ATL,2022,9,5.25,4.5925927,5.0149255,5.6363635
ATL,2022,10,4.9322033,5.361111,5.203125,5.9411764
ATL,2022,11,5.8958335,6.2727275,4.3636365,5.354839
ATL,2022,12,6.0363636,6.3461537,5.338983,6.0
ATL,2022,13,5.773585,6.4,5.5,6.967742
ATL,2022,15,4.6,3.5714285,6.462963,10.190476
ATL,2022,16,4.8088236,5.891892,6.2040815,6.7777777
ATL,2022,17,4.983333,6.0689654,4.9130435,5.0
ATL,2022,18,5.7014923,6.382353,4.111111,4.0
ATL,2023,1,4.7234044,4.1363635,3.9027777,3.5
ATL,2023,2,5.805195,6.7894735,4.8913045,6.0740743
ATL,2023,3,2.8153846,3.0434783,5.9180326,7.2352943
ATL,2023,4,5.0350876,4.611111,4.9836063,6.5
ATL,2023,5,6.178082,8.95,5.3965516,7.114286
ATL,2023,6,5.088608,6.1568627,4.0625,4.206897
ATL,2023,7,6.265625,9.607142,5.15625,6.2391305
ATL,2023,8,5.276923,5.116279,5.90625,7.21875
ATL,2023,9,5.6060605,6.8292685,5.0136986,6.1875
ATL,2023,10,3.9230769,3.75,5.9,6.756757
ATL,2023,12,6.508197,8.416667,6.742424,7.6
ATL,2023,13,3.0952382,3.4666667,3.8656716,4.7674417
ATL,2023,14,6.3188405,7.8444443,4.328358,4.645161
ATL,2023,15,4.1,7.285714,4.766667,5.928571
ATL,2023,16,6.4444447,7.029412,3.925373,4.3913045
ATL,2023,17,5.2033896,5.6153846,6.0,7.1842103
ATL,2023,18,6.483333,8.805555,6.060606,7.935484
ATL,2024,1,4.612245,5.0740743,4.090909,5.4666667
ATL,2024,2,6.7894735,7.3125,5.4117646,6.542857
ATL,2024,3,5.672727,7.387097,5.188406,5.8809524
ATL,2024,4,6.1764708,6.3055553,5.2285714,6.3157897
ATL,2024,5,6.962025,7.819672,6.68,7.2
ATL,2024,6,6.6153846,7.5,5.403226,6.0
ATL,2024,7,5.285714,5.4871793,6.053571,7.6060605
ATL,2024,8,6.5666666,8.6875,6.1857142,6.8
ATL,2024,9,5.9444447,7.7777777,5.135135,4.909091
ATL,2024,10,6.410959,7.0,7.1764708,10.62963
ATL,2024,11,4.109091,5.1764708,6.6666665,8.514286
ATL,2024,13,4.5454545,5.85,4.3636365,4.4333334
ATL,2024,14,7.0140843,8.894737,8.226415,9.588235
ATL,2024,15,4.5789475,4.5238094,3.890625,4.688889
ATL,2024,16,5.269841,7.172414,4.2545457,4.5
ATL,2024,17,5.616667,5.631579,5.4342103,5.5833335
ATL,2024,18,6.974026,7.875,6.65625,7.5641026
ATL,2025,1,5.1285715,6.617021,4.7454543,5.3783784
ATL,2025,2,5.274194,4.5,4.304348,4.8
ATL,2025,3,5.030303,4.6666665,4.1666665,4.5185184
ATL,2025,4,7.180328,11.142858,5.8039217,5.7
ATL,2025,6,6.830769,6.857143,5.388889,5.852941
ATL,2025,7,4.866667,5.6190476,5.09375,5.642857
ATL,2025,8,4.4583335,5.25,5.2,7.035714
ATL,2025,9,5.3333335,5.9,5.1384616,6.1
BAL,2022,1,5.4117646,6.470588,4.810127,4.790323
BAL,2022,2,8.759259,11.193548,7.927536,9.039216
