posteam,season,turnovers_forced,turnovers_lost,turnover_margin
ARI,2022,1.2352941176470589,1.411764705882353,-0.17647058823529413
ARI,2023,0.9411764705882353,1.1176470588235294,-0.17647058823529413
ARI,2024,0.9411764705882353,1.2352941176470589,-0.29411764705882354
ARI,2025,1.0,1.1428571428571428,-0.14285714285714285
ATL,2022,1.0588235294117647,1.1176470588235294,-0.058823529411764705
ATL,2023,0.9411764705882353,1.6470588235294117,-0.7058823529411765
ATL,2024,1.0,1.4705882352941178,-0.47058823529411764
ATL,2025,1.0,1.2857142857142858,-0.2857142857142857
BAL,2022,1.3888888888888888,1.3333333333333333,0.05555555555555555
BAL,2023,1.4736842105263157,1.3157894736842106,0.15789473684210525
BAL,2024,0.8947368421052632,0.7368421052631579,0.15789473684210525
BAL,2025,0.5714285714285714,1.4285714285714286,-0.8571428571428571
BUF,2022,1.6111111111111112,1.7222222222222223,-0.1111111111111111
BUF,2023,1.7894736842105263,1.4210526315789473,0.3684210526315789
BUF,2024,1.75,0.45,1.3
BUF,2025,1.1428571428571428,0.8571428571428571,0.2857142857142857
CAR,2022,1.0588235294117647,1.1764705882352942,-0.11764705882352941
CAR,2023,0.5882352941176471,1.2352941176470589,-0.6470588235294118
CAR,2024,0.9411764705882353,1.3529411764705883,-0.4117647058823529
CAR,2025,1.0,1.375,-0.375
CHI,2022,1.3529411764705883,1.4705882352941178,-0.11764705882352941
CHI,2023,1.7058823529411764,1.411764705882353,0.29411764705882354
CHI,2024,1.4705882352941178,0.8823529411764706,0.5882352941176471
CHI,2025,2.2857142857142856,0.8571428571428571,1.4285714285714286
CIN,2022,1.5263157894736843,1.0526315789473684,0.47368421052631576
CIN,2023,1.4705882352941178,1.0,0.47058823529411764
CIN,2024,1.4705882352941178,1.2352941176470589,0.23529411764705882
CIN,2025,1.125,1.375,-0.25
CLE,2022,1.1764705882352942,1.2352941176470589,-0.058823529411764705
CLE,2023,1.5555555555555556,2.1666666666666665,-0.6111111111111112
CLE,2024,0.8235294117647058,1.8823529411764706,-1.0588235294117647
CLE,2025,1.25,1.25,0.0
DAL,2022,1.8421052631578947,1.3157894736842106,0.5263157894736842
DAL,2023,1.5,0.9444444444444444,0.5555555555555556
DAL,2024,1.2941176470588236,1.6470588235294117,-0.35294117647058826
DAL,2025,0.875,1.0,-0.125
DEN,2022,1.3529411764705883,1.411764705882353,-0.058823529411764705
DEN,2023,1.4705882352941178,1.3529411764705883,0.11764705882352941
DEN,2024,1.3333333333333333,1.1111111111111112,0.2222222222222222
DEN,2025,1.0,0.875,0.125
DET,2022,1.2352941176470589,0.9411764705882353,0.29411764705882354
DET,2023,1.3,1.2,0.1
DET,2024,1.3333333333333333,1.1111111111111112,0.2222222222222222
DET,2025,1.5714285714285714,0.7142857142857143,0.8571428571428571
GB,2022,1.5294117647058822,1.1764705882352942,0.35294117647058826
GB,2023,1.105263157894737,1.0,0.10526315789473684
GB,2024,1.6666666666666667,1.3333333333333333,0.3333333333333333
GB,2025,0.5714285714285714,0.42857142857142855,0.14285714285714285
HOU,2022,1.5294117647058822,1.7058823529411764,-0.17647058823529413
HOU,2023,1.263157894736842,0.8421052631578947,0.42105263157894735
HOU,2024,1.6842105263157894,1.2105263157894737,0.47368421052631576
HOU,2025,1.5714285714285714,1.0,0.5714285714285714
IND,2022,1.1764705882352942,2.0588235294117645,-0.8823529411764706
IND,2023,1.5294117647058822,1.1176470588235294,0.4117647058823529
IND,2024,1.4705882352941178,1.7058823529411764,-0.23529411764705882
IND,2025,1.5,0.5,1.0
JAX,2022,1.4736842105263157,1.4736842105263157,0.0
JAX,2023,1.5294117647058822,1.8235294117647058,-0.29411764705882354
JAX,2024,0.5294117647058824,1.411764705882353,-0.8823529411764706
JAX,2025,2.0,0.8571428571428571,1.1428571428571428
KC,2022,1.45,1.0,0.45
KC,2023,1.1428571428571428,1.4761904761904763,-0.3333333333333333
KC,2024,1.0,0.95,0.05
KC,2025,1.125,0.5,0.625
LA,2022,1.2352941176470589,1.411764705882353,-0.17647058823529413
LA,2023,0.8888888888888888,0.9444444444444444,-0.05555555555555555
LA,2024,1.105263157894737,0.8947368421052632,0.21052631578947367
LA,2025,1.4285714285714286,1.0,0.42857142857142855
LAC,2022,1.3888888888888888,1.2222222222222223,0.16666666666666666
LAC,2023,1.1764705882352942,1.2941176470588236,-0.11764705882352941
LAC,2024,1.3888888888888888,0.6666666666666666,0.7222222222222222
LAC,2025,1.0,1.375,-0.375
LV,2022,0.7647058823529411,1.2352941176470589,-0.47058823529411764
LV,2023,1.2352941176470589,1.4705882352941178,-0.23529411764705882
LV,2024,0.7647058823529411,1.7058823529411764,-0.9411764705882353
LV,2025,1.0,1.7142857142857142,-0.7142857142857143
MIA,2022,0.9444444444444444,1.2777777777777777,-0.3333333333333333
MIA,2023,1.5,1.5,0.0
MIA,2024,1.0,1.1764705882352942,-0.17647058823529413
MIA,2025,0.875,1.5,-0.625
MIN,2022,1.2777777777777777,1.3888888888888888,-0.1111111111111111
MIN,2023,1.2941176470588236,2.0,-0.7058823529411765
MIN,2024,1.8333333333333333,1.2777777777777777,0.5555555555555556
MIN,2025,1.2857142857142858,1.5714285714285714,-0.2857142857142857
NE,2022,1.588235294117647,1.5294117647058822,0.058823529411764705
NE,2023,1.0,1.7647058823529411,-0.7647058823529411
