posteam,season,week,turnovers_forced,turnovers_lost,turnover_margin,recent_margin,rolling_margin,regression_factor
ARI,2022,1,1.0,0,1.0,1.0,1.0,1.0
ARI,2022,2,1.0,1,0.0,0.5,0.0,1.0
ARI,2022,3,1.0,0,1.0,0.5,1.0,1.0
ARI,2022,4,3.0,1,2.0,1.5,2.0,1.0
ARI,2022,5,0.0,1,-1.0,0.5,-1.0,1.0
ARI,2022,6,1.0,2,-1.0,-1.0,-1.0,1.0
ARI,2022,7,3.0,0,3.0,1.0,3.0,1.0
ARI,2022,8,2.0,2,0.0,1.5,0.625,0.9825
ARI,2022,9,1.0,1,0.0,0.0,0.5,1.01
ARI,2022,10,2.0,0,2.0,1.0,0.75,0.995
ARI,2022,11,0.0,2,-2.0,0.0,0.375,1.0075
ARI,2022,12,0.0,2,-2.0,-2.0,-0.125,1.0375
ARI,2022,14,1.0,2,-1.0,-1.5,-0.125,1.0275
ARI,2022,15,2.0,3,-1.0,-1.0,-0.125,1.0175
ARI,2022,16,2.0,3,-1.0,-1.0,-0.625,1.0075
ARI,2022,17,1.0,0,1.0,0.0,-0.5,0.99
ARI,2022,18,0.0,4,-4.0,-1.5,-1.0,1.01
ARI,2023,1,3.0,2,1.0,-1.5,-1.125,1.0075
ARI,2023,2,1.0,0,1.0,1.0,-0.75,0.965
ARI,2023,3,1.0,0,1.0,1.0,-0.375,0.9725
ARI,2023,4,0.0,0,0.0,0.5,-0.25,0.985
ARI,2023,5,1.0,3,-2.0,-1.0,-0.375,1.0125
ARI,2023,6,0.0,3,-3.0,-2.5,-0.625,1.0375
ARI,2023,7,2.0,1,1.0,-1.0,-0.625,1.0075
ARI,2023,8,0.0,2,-2.0,-0.5,-0.375,1.0025
ARI,2023,9,0.0,3,-3.0,-2.5,-0.875,1.0325
ARI,2023,10,0.0,1,-1.0,-2.0,-1.125,1.0175
ARI,2023,11,4.0,1,3.0,1.0,-0.875,0.9625
ARI,2023,12,1.0,0,1.0,2.0,-0.75,0.95
ARI,2023,13,1.0,0,1.0,1.0,-0.375,0.9725
ARI,2023,15,0.0,2,-2.0,-0.5,-0.25,1.005
ARI,2023,16,1.0,0,1.0,-0.5,-0.25,1.005
ARI,2023,17,1.0,1,0.0,0.5,0.0,0.99
ARI,2023,18,0.0,0,0.0,0.0,0.375,1.0075
ARI,2024,1,1.0,1,0.0,0.0,0.5,1.01
ARI,2024,2,1.0,1,0.0,0.0,0.125,1.0025
ARI,2024,3,1.0,1,0.0,0.0,0.0,1.0
ARI,2024,4,1.0,1,0.0,0.0,-0.125,0.9975
ARI,2024,5,3.0,1,2.0,1.0,0.375,0.9875
ARI,2024,6,1.0,3,-2.0,0.0,0.0,1.0
ARI,2024,7,1.0,2,-1.0,-1.5,-0.125,1.0275
ARI,2024,8,0.0,0,0.0,-0.5,-0.125,1.0075
ARI,2024,9,0.0,2,-2.0,-1.0,-0.375,1.0125
ARI,2024,10,1.0,0,1.0,-0.5,-0.25,1.005
ARI,2024,12,1.0,1,0.0,0.5,-0.25,0.985
ARI,2024,13,1.0,2,-1.0,-0.5,-0.375,1.0025
ARI,2024,14,0.0,2,-2.0,-1.5,-0.875,1.0125
ARI,2024,15,1.0,0,1.0,-0.5,-0.5,1.0
ARI,2024,16,0.0,2,-2.0,-0.5,-0.625,0.9975
ARI,2024,17,0.0,2,-2.0,-2.0,-0.875,1.0225
ARI,2024,18,3.0,0,3.0,0.5,-0.25,0.985
ARI,2025,1,0.0,0,0.0,1.5,-0.375,0.9625
ARI,2025,2,2.0,1,1.0,0.5,-0.25,0.985
ARI,2025,3,1.0,0,1.0,1.0,0.0,0.98
ARI,2025,4,0.0,3,-3.0,-1.0,-0.125,1.0175
ARI,2025,5,3.0,2,1.0,-1.0,-0.125,1.0175
ARI,2025,6,1.0,1,0.0,0.5,0.125,0.9925
ARI,2025,7,0.0,1,-1.0,-0.5,0.25,1.015
ATL,2022,1,1.0,2,-1.0,-1.0,-1.0,1.0
ATL,2022,2,3.0,3,0.0,-0.5,0.0,1.0
ATL,2022,3,1.0,2,-1.0,-0.5,-1.0,1.0
ATL,2022,4,2.0,1,1.0,0.0,1.0,1.0
ATL,2022,5,0.0,0,0.0,0.5,0.0,1.0
ATL,2022,6,3.0,0,3.0,1.5,3.0,1.0
ATL,2022,7,0.0,0,0.0,1.5,0.0,1.0
ATL,2022,8,1.0,2,-1.0,-0.5,0.125,1.0125
ATL,2022,9,2.0,1,1.0,0.0,0.375,1.0075
ATL,2022,10,0.0,1,-1.0,0.0,0.25,1.005
ATL,2022,11,2.0,1,1.0,0.0,0.5,1.01
ATL,2022,12,1.0,1,0.0,0.5,0.375,0.9975
ATL,2022,13,0.0,1,-1.0,-0.5,0.25,1.015
ATL,2022,15,1.0,1,0.0,-0.5,-0.125,1.0075
ATL,2022,16,0.0,1,-1.0,-0.5,-0.25,1.005
ATL,2022,17,0.0,1,-1.0,-1.0,-0.25,1.015
ATL,2022,18,1.0,1,0.0,-0.5,-0.375,1.0025
ATL,2023,1,3.0,0,3.0,1.5,0.125,0.9725
ATL,2023,2,0.0,1,-1.0,1.0,-0.125,0.9775
ATL,2023,3,1.0,1,0.0,-0.5,-0.125,1.0075
ATL,2023,4,0.0,3,-3.0,-1.5,-0.375,1.0225
ATL,2023,5,0.0,2,-2.0,-2.5,-0.625,1.0375
ATL,2023,6,0.0,3,-3.0,-2.5,-0.875,1.0325
ATL,2023,7,2.0,3,-1.0,-2.0,-0.875,1.0225
ATL,2023,8,1.0,1,0.0,-0.5,-0.875,0.9925
ATL,2023,9,2.0,2,0.0,0.0,-1.25,0.975
ATL,2023,10,1.0,0,1.0,0.5,-1.0,0.97
ATL,2023,12,2.0,2,0.0,0.5,-1.0,0.97
ATL,2023,13,3.0,0,3.0,1.5,-0.25,0.965
ATL,2023,14,0.0,1,-1.0,1.0,-0.125,0.9775
ATL,2023,15,0.0,2,-2.0,-1.5,0.0,1.03
ATL,2023,16,1.0,0,1.0,-0.5,0.25,1.015
ATL,2023,17,0.0,4,-4.0,-1.5,-0.25,1.025
ATL,2023,18,0.0,3,-3.0,-3.5,-0.625,1.05
ATL,2024,1,0.0,3,-3.0,-3.0,-1.125,1.0375
ATL,2024,2,1.0,0,1.0,-1.0,-1.0,1.0
ATL,2024,3,1.0,1,0.0,0.5,-1.375,0.9625
ATL,2024,4,1.0,2,-1.0,-0.5,-1.375,0.9825
ATL,2024,5,1.0,1,0.0,-0.5,-1.125,0.9875
ATL,2024,6,2.0,1,1.0,0.5,-1.125,0.9675
ATL,2024,7,0.0,3,-3.0,-1.0,-1.0,1.0
ATL,2024,8,3.0,0,3.0,0.0,-0.25,0.995
ATL,2024,9,0.0,1,-1.0,1.0,0.0,0.98
ATL,2024,10,0.0,1,-1.0,-1.0,-0.25,1.015
ATL,2024,11,0.0,1,-1.0,-1.0,-0.375,1.0125
ATL,2024,13,1.0,4,-3.0,-2.0,-0.625,1.0275
ATL,2024,14,0.0,3,-3.0,-3.0,-1.0,1.04
ATL,2024,15,3.0,1,2.0,-0.5,-0.875,0.9925
ATL,2024,16,3.0,1,2.0,2.0,-0.25,0.955
ATL,2024,17,1.0,1,0.0,1.0,-0.625,0.9675
ATL,2024,18,0.0,1,-1.0,-0.5,-0.625,0.9975
ATL,2025,1,0.0,0,0.0,-0.5,-0.5,1.0
ATL,2025,2,3.0,2,1.0,0.5,-0.25,0.985
ATL,2025,3,0.0,4,-4.0,-1.5,-0.375,1.0225
ATL,2025,4,1.0,1,0.0,-2.0,0.0,1.04
ATL,2025,6,2.0,0,2.0,1.0,0.0,0.98
ATL,2025,7,1.0,1,0.0,1.0,-0.25,0.975
ATL,2025,8,0.0,1,-1.0,-0.5,-0.375,1.0025
BAL,2022,1,2.0,1,1.0,1.0,1.0,1.0
BAL,2022,2,2.0,0,2.0,1.5,2.0,1.0
BAL,2022,3,4.0,2,2.0,2.0,2.0,1.0
BAL,2022,4,2.0,2,0.0,1.0,0.0,1.0
BAL,2022,5,1.0,1,0.0,0.0,0.0,1.0
BAL,2022,6,1.0,2,-1.0,-0.5,-1.0,1.0
BAL,2022,7,2.0,1,1.0,0.0,1.0,1.0
BAL,2022,8,0.0,1,-1.0,0.0,0.5,1.01
BAL,2022,9,1.0,0,1.0,0.0,0.5,1.01
BAL,2022,11,3.0,1,2.0,1.5,0.5,0.98
BAL,2022,12,1.0,2,-1.0,0.5,0.125,0.9925
BAL,2022,13,0.0,2,-2.0,-1.5,-0.125,1.0275
BAL,2022,14,3.0,0,3.0,0.5,0.25,0.995
BAL,2022,15,0.0,2,-2.0,0.5,0.125,0.9925
BAL,2022,16,1.0,0,1.0,-0.5,0.125,1.0125
BAL,2022,17,0.0,1,-1.0,0.0,0.125,1.0025
BAL,2022,18,1.0,4,-3.0,-2.0,-0.375,1.0325
BAL,2022,19,1.0,2,-1.0,-2.0,-0.75,1.025
BAL,2023,1,1.0,2,-1.0,-1.0,-0.75,1.005
BAL,2023,2,1.0,0,1.0,0.0,-0.375,0.9925
BAL,2023,3,0.0,2,-2.0,-0.5,-1.0,0.99
BAL,2023,4,3.0,1,2.0,0.0,-0.5,0.99
BAL,2023,5,0.0,4,-4.0,-1.0,-1.125,0.9975
BAL,2023,6,1.0,2,-1.0,-2.5,-1.125,1.0275
BAL,2023,7,1.0,1,0.0,-0.5,-0.75,0.995
BAL,2023,8,2.0,0,2.0,1.0,-0.375,0.9725
BAL,2023,9,2.0,2,0.0,1.0,-0.25,0.975
BAL,2023,10,1.0,3,-2.0,-1.0,-0.625,1.0075
BAL,2023,11,0.0,0,0.0,-1.0,-0.375,1.0125
BAL,2023,12,4.0,0,4.0,2.0,-0.125,0.9575
BAL,2023,14,0.0,1,-1.0,1.5,0.25,0.975
BAL,2023,15,2.0,1,1.0,0.0,0.5,1.01
BAL,2023,16,5.0,0,5.0,3.0,1.125,0.9625
BAL,2023,17,3.0,1,2.0,3.5,1.125,0.9525
BAL,2023,18,2.0,2,0.0,1.0,1.125,1.0025
BAL,2023,20,0.0,0,0.0,0.0,1.375,1.0275
BAL,2023,21,0.0,3,-3.0,-1.5,1.0,1.05
BAL,2024,1,1.0,1,0.0,-1.5,0.5,1.04
BAL,2024,2,1.0,1,0.0,0.0,0.625,1.0125
BAL,2024,3,1.0,0,1.0,0.5,0.625,1.0025
BAL,2024,4,1.0,1,0.0,0.5,0.0,0.99
BAL,2024,5,1.0,1,0.0,0.0,-0.25,0.995
BAL,2024,6,0.0,1,-1.0,-0.5,-0.375,1.0025
BAL,2024,7,2.0,1,1.0,0.0,-0.25,0.995
BAL,2024,8,1.0,0,1.0,1.0,0.25,0.985
BAL,2024,9,1.0,0,1.0,1.0,0.375,0.9875
BAL,2024,10,1.0,0,1.0,1.0,0.5,0.99
BAL,2024,11,1.0,3,-2.0,-0.5,0.125,1.0125
