away_team,home_team,season,week,away_power_rank_overall,away_power_rank_offense,away_power_rank_defense,home_power_rank_overall,home_power_rank_offense,home_power_rank_defense,away_qb_name,home_qb_name
LV,DEN,2025,10,25,29,23,8,12,1,G. Smith,B. Nix
ATL,IND,2025,10,20,22,17,12,1,15,M. Penix Jr.,D. Jones
NO,CAR,2025,10,32,30,21,21,26,24,T. Shough,B. Young
NYG,CHI,2025,10,26,23,30,17,7,19,J. Dart,C. Williams
JAX,HOU,2025,10,18,17,13,19,21,2,T. Lawrence,D. Mills
BUF,MIA,2025,10,1,2,10,28,25,28,J. Allen,T. Tagovailoa
BAL,MIN,2025,10,5,16,26,13,28,14,L. Jackson,J. McCarthy
CLE,NYJ,2025,10,29,31,6,30,27,25,D. Gabriel,J. Fields
NE,TB,2025,10,16,10,7,11,20,4,D. Maye,B. Mayfield
ARI,SEA,2025,10,22,15,16,9,13,9,J. Brissett,S. Darnold
LAR,SF,2025,10,3,5,3,14,14,22,M. Stafford,M. Jones
DET,WAS,2025,10,6,8,5,24,19,29,J. Goff,M. Mariota
PIT,LAC,2025,10,15,18,20,10,11,18,A. Rodgers,J. Herbert
PHI,GB,2025,10,7,6,11,4,4,12,J. Hurts,J. Love
